#A Z BE
81.0 30 8.359193
157 62 8.187064
82.0 30 8.30112
156 62 8.20501
83.0 30 8.226
155 62 8.211226
84.0 31 8.3075
154 61 8.20472
85.0 31 8.2536
153 61 8.22115
86.0 31 8.182
152 61 8.22613
87 31 8.124
151 61 8.24127
88.0 32 8.236
150 60 8.249579
89.0 33 8.304
149 59 8.3282
90.0 33 8.24
148 59 8.24954
91 34 8.335
147 58 8.25253
92.0 34 8.38491
146 58 8.27851
93.0 35 8.346
145 57 8.26609
94.0 35 8.287
144 57 8.28143
95 34 8.245
143 58 8.324676
96.0 35 8.184
142 57 8.32083
97 36 8.33087
141 56 8.32608
98.0 37 8.33073
140 55 8.31432
99.0 37 8.2953
139 55 8.34234
100.0 37 8.24451
138 55 8.36014
101.0 37 8.20618
137 55 8.388958
102 37 8.152
136 55 8.3989772
103.0 37 8.112
135 55 8.401339
104.0 38 8.206
134 54 8.413699
105 38 8.152
133 54 8.412648
106 38 8.114
132 54 8.427626
107.0 39 8.178
131 53 8.422298
108.0 39 8.129
130 53 8.421101
109.0 39 8.089
129 53 8.435991
110.0 40 8.171
128 52 8.448754
111.0 40 8.118
127 52 8.446109
112.0 40 8.081
126 52 8.464324
113.0 41 8.143
125 51 8.458161
114.0 41 8.097
124 51 8.456152
115.0 41 8.061
123 51 8.47232
116.0 42 8.143
122 50 8.487897
117.0 42 8.096
121 50 8.485196
118.0 42 8.067
120 50 8.504488
119.0 46 8.36896
