# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  2.783000e+00  4.499000e+01  3.000000e-04
1.099990e-02  2.919000e+00  4.769000e+01  3.000000e-04
1.199990e-02  3.049000e+00  5.029000e+01  3.000000e-04
1.299990e-02  3.173000e+00  5.280000e+01  3.000000e-04
1.399990e-02  3.293000e+00  5.522000e+01  3.000000e-04
1.499990e-02  3.409000e+00  5.756000e+01  4.000000e-04
1.599990e-02  3.521000e+00  5.983000e+01  4.000000e-04
1.699990e-02  3.629000e+00  6.203000e+01  4.000000e-04
1.799990e-02  3.734000e+00  6.418000e+01  4.000000e-04
1.999990e-02  3.936000e+00  6.832000e+01  4.000000e-04
2.249990e-02  4.175000e+00  7.322000e+01  4.000000e-04
2.499990e-02  4.401000e+00  7.787000e+01  4.000000e-04
2.749990e-02  4.615000e+00  8.229000e+01  4.000000e-04
2.999990e-02  4.821000e+00  8.653000e+01  5.000000e-04
3.249990e-02  5.018000e+00  9.060000e+01  5.000000e-04
3.499990e-02  5.207000e+00  9.451000e+01  5.000000e-04
3.749990e-02  5.390000e+00  9.828000e+01  5.000000e-04
3.999990e-02  5.566000e+00  1.019000e+02  5.000000e-04
4.499990e-02  5.904000e+00  1.089000e+02  5.000000e-04
4.999990e-02  6.223000e+00  1.155000e+02  6.000000e-04
5.499990e-02  6.527000e+00  1.217000e+02  6.000000e-04
5.999990e-02  6.817000e+00  1.276000e+02  6.000000e-04
6.499990e-02  7.096000e+00  1.333000e+02  6.000000e-04
6.999990e-02  7.364000e+00  1.387000e+02  7.000000e-04
7.999990e-02  7.872000e+00  1.490000e+02  7.000000e-04
8.999990e-02  8.350000e+00  1.586000e+02  7.000000e-04
9.999990e-02  8.801000e+00  1.676000e+02  8.000000e-04
1.100000e-01  9.231000e+00  1.761000e+02  8.000000e-04
1.200000e-01  9.641000e+00  1.841000e+02  8.000000e-04
1.300000e-01  1.004000e+01  1.918000e+02  9.000000e-04
1.399990e-01  1.041000e+01  1.991000e+02  9.000000e-04
1.499990e-01  1.078000e+01  2.061000e+02  9.000000e-04
1.599990e-01  1.113000e+01  2.128000e+02  9.000000e-04
1.699990e-01  1.148000e+01  2.192000e+02  1.000000e-03
1.799990e-01  1.181000e+01  2.254000e+02  1.000000e-03
1.999990e-01  1.245000e+01  2.373000e+02  1.000000e-03
2.249990e-01  1.320000e+01  2.510000e+02  1.100000e-03
2.499990e-01  1.392000e+01  2.638000e+02  1.200000e-03
2.749990e-01  1.460000e+01  2.757000e+02  1.200000e-03
2.999990e-01  1.524000e+01  2.870000e+02  1.300000e-03
3.249990e-01  1.587000e+01  2.976000e+02  1.300000e-03
3.499990e-01  1.647000e+01  3.076000e+02  1.400000e-03
3.749990e-01  1.704000e+01  3.172000e+02  1.400000e-03
3.999990e-01  1.760000e+01  3.263000e+02  1.500000e-03
4.499990e-01  1.867000e+01  3.433000e+02  1.500000e-03
4.999990e-01  1.968000e+01  3.590000e+02  1.600000e-03
5.499990e-01  2.064000e+01  3.735000e+02  1.700000e-03
5.999990e-01  2.156000e+01  3.871000e+02  1.800000e-03
6.499990e-01  2.244000e+01  3.998000e+02  1.900000e-03
6.999990e-01  2.329000e+01  4.118000e+02  1.900000e-03
7.999990e-01  2.489000e+01  4.338000e+02  2.100000e-03
8.999990e-01  2.640000e+01  4.536000e+02  2.200000e-03
9.999990e-01  2.783000e+01  4.716000e+02  2.400000e-03
1.100000e+00  2.919000e+01  4.882000e+02  2.500000e-03
1.200000e+00  3.049000e+01  5.035000e+02  2.600000e-03
1.300000e+00  3.173000e+01  5.177000e+02  2.700000e-03
1.400000e+00  3.293000e+01  5.309000e+02  2.900000e-03
1.500000e+00  3.409000e+01  5.433000e+02  3.000000e-03
1.600000e+00  3.521000e+01  5.549000e+02  3.100000e-03
1.700000e+00  3.629000e+01  5.659000e+02  3.200000e-03
1.800000e+00  3.734000e+01  5.762000e+02  3.300000e-03
2.000000e+00  3.936000e+01  5.954000e+02  3.500000e-03
2.250000e+00  4.175000e+01  6.167000e+02  3.800000e-03
2.500000e+00  4.401000e+01  6.358000e+02  4.000000e-03
2.750000e+00  4.615000e+01  6.529000e+02  4.300000e-03
3.000000e+00  4.821000e+01  6.685000e+02  4.500000e-03
3.250000e+00  5.018000e+01  6.826000e+02  4.800000e-03
3.500000e+00  5.207000e+01  6.956000e+02  5.000000e-03
3.750000e+00  5.390000e+01  7.075000e+02  5.200000e-03
4.000000e+00  5.566000e+01  7.186000e+02  5.500000e-03
4.500000e+00  5.904000e+01  7.383000e+02  5.900000e-03
5.000000e+00  6.224000e+01  7.555000e+02  6.400000e-03
5.500000e+00  6.527000e+01  7.706000e+02  6.800000e-03
6.000000e+00  6.818000e+01  7.839000e+02  7.200000e-03
6.500000e+00  7.096000e+01  7.958000e+02  7.600000e-03
7.000000e+00  7.364000e+01  8.064000e+02  8.000000e-03
8.000000e+00  7.872000e+01  8.245000e+02  8.900000e-03
9.000000e+00  8.350000e+01  8.393000e+02  9.700000e-03
1.000000e+01  8.801000e+01  8.515000e+02  1.040000e-02
1.100000e+01  9.231000e+01  8.616000e+02  1.120000e-02
1.200000e+01  9.642000e+01  8.701000e+02  1.200000e-02
1.300000e+01  1.004000e+02  8.771000e+02  1.280000e-02
1.400000e+01  1.041000e+02  8.830000e+02  1.350000e-02
1.500000e+01  1.078000e+02  8.879000e+02  1.430000e-02
1.600000e+01  1.113000e+02  8.919000e+02  1.500000e-02
1.700000e+01  1.148000e+02  8.952000e+02  1.580000e-02
1.800000e+01  1.181000e+02  8.979000e+02  1.650000e-02
2.000000e+01  1.245000e+02  9.017000e+02  1.800000e-02
2.250000e+01  1.320000e+02  9.041000e+02  1.990000e-02
2.500000e+01  1.392000e+02  9.045000e+02  2.170000e-02
2.750000e+01  1.460000e+02  9.035000e+02  2.360000e-02
3.000000e+01  1.524000e+02  9.013000e+02  2.540000e-02
3.250000e+01  1.587000e+02  8.982000e+02  2.730000e-02
3.500000e+01  1.647000e+02  8.945000e+02  2.910000e-02
3.750000e+01  1.704000e+02  8.903000e+02  3.100000e-02
4.000000e+01  1.760000e+02  8.857000e+02  3.280000e-02
4.500000e+01  1.867000e+02  8.755000e+02  3.650000e-02
