#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  176.6  2323.0  0.0075099933422074355
11.0  185.2  2419.0  0.007933473388119481
12.0  193.4  2509.0  0.008263776376451629
13.0  201.3  2593.0  0.008572630868059117
14.0  208.9  2672.0  0.008902808545621994
15.0  216.2  2747.0  0.009233092656309694
16.0  223.3  2819.0  0.009419660291114537
17.0  230.2  2886.0  0.009749871794028885
18.0  236.9  2951.0  0.010058826969383657
20.0  249.7  3071.0  0.010575916035975325
22.5  264.8  3208.0  0.011236102527122116
25.0  279.2  3333.0  0.01187518420909756
27.5  292.8  3447.0  0.012485992151206887
30.0  305.8  3552.0  0.013097327971765844
32.5  318.3  3649.0  0.013642580401082488
35.0  330.3  3740.0  0.014254122210785203
37.5  341.9  3825.0  0.01477193284577208
40.0  353.1  3904.0  0.015316984037335812
45.0  374.5  4049.0  0.016352675622050356
50.0  394.8  4179.0  0.017388789492083688
55.0  414.1  4296.0  0.018357287381309907
60.0  432.5  4403.0  0.01929922278227805
65.0  450.1  4500.0  0.020241294425011463
70.0  467.1  4589.0  0.02116341182323871
80.0  499.4  4748.0  0.022953431116066285
90.0  529.7  4886.0  0.024629047890651398
100.0  558.3  5006.0  0.026279459659589655
110.0  585.6  5112.0  0.027935819300675614
120.0  611.6  5206.0  0.029492032822442067
130.0  636.6  5290.0  0.03104851043125902
140.0  660.6  5366.0  0.03262958780003204
150.0  683.8  5434.0  0.034167089428278785
160.0  706.3  5496.0  0.035628780501162256
170.0  728.0  5552.0  0.03707155243579638
180.0  749.1  5604.0  0.03862861633556139
200.0  789.6  5693.0  0.04143826733829492
225.0  837.5  5786.0  0.044957980381685296
250.0  882.8  5861.0  0.04845967395680661
275.0  925.9  5923.0  0.05188467981976954
300.0  967.1  5973.0  0.05526897864082527
325.0  1007.0  6013.0  0.058598720122541935
350.0  1045.0  6047.0  0.06188812487060826
375.0  1081.0  6073.0  0.06517798708152929
400.0  1117.0  6094.0  0.06839429800794801
450.0  1184.0  6123.0  0.07478328690289028
500.0  1317.0  6137.0  0.08117302507606822
550.0  1426.0  6140.0  0.08744586897046654
600.0  1511.0  6135.0  0.09362718622280602
650.0  1581.0  6124.0  0.09969162452282539
700.0  1638.0  6107.0  0.10575656008021442
800.0  1729.0  6062.0  0.117867128581297
900.0  1803.0  6006.0  0.12998319122101903
1000.0  1867.0  5944.0  0.14208043496555042
1100.0  1928.0  5877.0  0.1542559237112144
1200.0  1986.0  5808.0  0.16635567318249175
1300.0  2043.0  5738.0  0.17851795427911446
1400.0  2101.0  5667.0  0.19077845790340167
1500.0  2158.0  5596.0  0.2030555342757247
1600.0  2216.0  5526.0  0.21531806705429993
1700.0  2275.0  5457.0  0.22756278254582843
1800.0  2334.0  5389.0  0.23992409216250044
2000.0  2453.0  5257.0  0.2647127121994711
2250.0  2603.0  5100.0  0.2956990023655812
2500.0  2751.0  4951.0  0.3267690315804116
2750.0  2896.0  4811.0  0.35781103951667004
3000.0  3038.0  4680.0  0.38893688433986306
3250.0  3175.0  4556.0  0.4199514733871046
3500.0  3308.0  4439.0  0.45103610720207316
3750.0  3435.0  4329.0  0.4819932053462995
4000.0  3557.0  4225.0  0.5129534189378213
4500.0  3786.0  4034.0  0.5748094988776717
5000.0  3994.0  3862.0  0.6363349668217204
5500.0  4184.0  3706.0  0.6977821723145412
6000.0  4356.0  3565.0  0.7588740145768599
6500.0  4514.0  3435.0  0.819945485992819
7000.0  4658.0  3316.0  0.8807748463710803
8000.0  4913.0  3106.0  1.0022781749594272
9000.0  5132.0  2924.0  1.118363809321457
10000.0  5326.0  2766.0  1.2393339380489827
11000.0  5502.0  2627.0  1.3602287491447902
12000.0  5666.0  2503.0  1.4810366639621046
13000.0  5822.0  2392.0  1.6017829877982848
14000.0  5974.0  2292.0  1.7224694046629683
15000.0  6126.0  2202.0  1.8430955618198424
16000.0  6278.0  2119.0  1.9537951299970016
17000.0  6432.0  2043.0  2.074310690325825
18000.0  6590.0  1973.0  2.1848933635305867
20000.0  6920.0  1849.0  2.4159067904205247
22500.0  7360.0  1717.0  2.6871306071718957
25000.0  7831.0  1604.0  2.958048714947068
27500.0  8332.0  1508.0  3.2088946944391927
30000.0  8857.0  1424.0  3.4595007154212296
