#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  146.9  1875.0  0.007794228634059949
11.0  154.1  1952.0  0.008205485969764377
12.0  160.9  2023.0  0.008577295611088614
13.0  167.5  2090.0  0.008905054744357275
14.0  173.8  2153.0  0.009276852914647296
15.0  179.9  2213.0  0.009604686356149273
16.0  185.8  2269.0  0.009848350115628506
17.0  191.5  2323.0  0.010176443386566841
18.0  197.1  2374.0  0.010547985589675405
20.0  207.7  2470.0  0.01108873302050329
22.5  220.3  2578.0  0.011788553770501285
25.0  232.3  2676.0  0.012445481107614923
27.5  243.6  2767.0  0.013145341380123987
30.0  254.4  2849.0  0.013802898246382896
32.5  264.8  2926.0  0.014417350658147981
35.0  274.8  2997.0  0.015075145107095985
37.5  284.5  3064.0  0.015617298101784445
40.0  293.8  3126.0  0.01618981161101018
45.0  311.6  3240.0  0.017346181135915767
50.0  328.5  3342.0  0.01846131089603336
55.0  344.5  3434.0  0.019576771950451894
60.0  359.8  3517.0  0.02056550509955931
65.0  374.5  3593.0  0.021594906806930193
70.0  388.6  3663.0  0.022594910931446485
80.0  415.5  3787.0  0.02452692398161661
90.0  440.7  3893.0  0.02639033914143583
100.0  464.5  3986.0  0.028264996019812208
110.0  487.2  4068.0  0.030042303506888416
120.0  508.9  4141.0  0.03181996228784692
130.0  529.6  4206.0  0.0335694801866219
140.0  549.6  4264.0  0.035347701481143017
150.0  568.9  4316.0  0.03700986355014026
160.0  587.6  4363.0  0.038672212246004235
170.0  605.7  4406.0  0.0403248062611589
180.0  623.2  4445.0  0.04198737905609256
200.0  656.9  4513.0  0.0451869450173388
225.0  696.8  4583.0  0.04913705322869902
250.0  734.5  4639.0  0.053060814166388366
275.0  770.3  4684.0  0.05692354521636895
300.0  804.6  4721.0  0.060759690585123954
325.0  837.4  4750.0  0.06456020446064278
350.0  869.1  4773.0  0.06827202941175838
375.0  899.6  4792.0  0.07198430384465769
400.0  940.6  4806.0  0.07567073410506865
450.0  1066.0  4824.0  0.0830072888365835
500.0  1154.0  4832.0  0.09013284639907919
550.0  1218.0  4831.0  0.09719562747366776
600.0  1269.0  4824.0  0.10423387165408372
650.0  1312.0  4812.0  0.11124792132889497
700.0  1349.0  4797.0  0.11825413312015781
800.0  1415.0  4757.0  0.13216285408540482
900.0  1473.0  4709.0  0.14622342493595203
1000.0  1527.0  4657.0  0.16028742932619514
1100.0  1578.0  4603.0  0.17433020392347393
1200.0  1628.0  4546.0  0.1884669997638844
1300.0  1676.0  4489.0  0.2026420736174993
1400.0  1723.0  4432.0  0.21693489806852195
1500.0  1768.0  4376.0  0.23120696356295153
1600.0  1813.0  4320.0  0.24559594866365367
1700.0  1856.0  4265.0  0.26002478727998224
1800.0  1897.0  4211.0  0.27445584344298446
2000.0  1977.0  4106.0  0.30360088932676077
2250.0  2070.0  3982.0  0.34024112038376547
2500.0  2155.0  3865.0  0.37727239496151854
2750.0  2234.0  3755.0  0.4144989987925182
3000.0  2305.0  3652.0  0.45204736477497576
3250.0  2370.0  3555.0  0.48994827277989256
3500.0  2430.0  3464.0  0.5280153880333414
3750.0  2484.0  3378.0  0.5664644295981877
4000.0  2534.0  3297.0  0.6051658367753421
4500.0  2622.0  3148.0  0.6833201153193137
5000.0  2696.0  3014.0  0.7626404198572222
5500.0  2759.0  2893.0  0.8429682378358037
6000.0  2815.0  2783.0  0.9242984041963938
6500.0  2865.0  2682.0  1.0065642354067623
7000.0  2911.0  2590.0  1.0862445627021569
8000.0  2997.0  2426.0  1.2615383664399589
9000.0  3079.0  2285.0  1.4271955191913968
10000.0  3164.0  2162.0  1.6022457395792944
11000.0  3254.0  2054.0  1.777134719147651
12000.0  3353.0  1957.0  1.9518181908159378
13000.0  3461.0  1871.0  2.1262707118332793
14000.0  3579.0  1793.0  2.3004640749205367
15000.0  3706.0  1722.0  2.4743991614127254
16000.0  3844.0  1658.0  2.6480288518065658
17000.0  3992.0  1599.0  2.8213571787350857
18000.0  4150.0  1544.0  2.9847638181269884
20000.0  4491.0  1448.0  3.310662441264588
22500.0  4960.0  1344.0  3.697020791123577
25000.0  5467.0  1257.0  4.0524748105324475
27500.0  6002.0  1181.0  4.396586459970962
30000.0  6557.0  1116.0  4.719857668404843
