#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  47.66  67.93  0.06497668812735842
11.0  49.99  66.49  0.07101422392732318
12.0  52.21  65.09  0.07705588880805932
13.0  54.34  63.75  0.08305245330512519
14.0  56.39  62.46  0.0891325978528619
15.0  58.37  61.22  0.09518056524312093
16.0  60.29  60.04  0.10130098716202128
17.0  62.14  58.9  0.10730862034338155
18.0  63.95  57.81  0.11335453233108944
20.0  67.4  55.75  0.1254568053156145
22.5  72.8  53.41  0.14035145172031532
25.0  81.08  51.29  0.15496625439107703
27.5  86.72  49.35  0.16907279497305297
30.0  90.95  47.58  0.1830353244595152
32.5  94.45  45.95  0.19689560685805055
35.0  97.58  44.45  0.21062262461568557
37.5  100.5  43.06  0.2243638116987675
40.0  103.5  41.77  0.23805978240769693
45.0  109.4  39.45  0.26513221230171186
50.0  115.6  37.41  0.2918639066414345
55.0  121.9  35.6  0.31803125632553797
60.0  128.4  33.99  0.34371818398216875
65.0  134.8  32.54  0.3687022918290582
70.0  141.1  31.23  0.39329125339880117
80.0  153.4  28.95  0.4407356237020103
90.0  165.0  27.02  0.4861421397081311
100.0  175.8  25.37  0.529866926690089
110.0  186.1  23.93  0.5719986013968916
120.0  195.8  22.67  0.6127316133512289
130.0  205.0  21.56  0.6523060707980572
140.0  213.9  20.56  0.6906281850605289
150.0  222.4  19.67  0.7280516808578907
160.0  230.6  18.86  0.7644134614199307
170.0  238.6  18.12  0.7998960932521174
180.0  246.4  17.44  0.8346156061325477
200.0  261.3  16.25  0.9017340295231183
225.0  278.8  15.0  0.9818422785763506
250.0  295.2  13.94  1.0609649805719321
275.0  310.7  13.05  1.131052169442241
300.0  325.3  12.27  1.2009075942802592
325.0  339.3  11.59  1.270641806332532
350.0  352.9  10.99  1.3402574976473738
375.0  366.3  10.45  1.4001312795591705
400.0  379.6  9.973  1.4598922049247334
450.0  406.5  9.147  1.579265145566127
500.0  434.0  8.46  1.6886918961136752
550.0  462.1  7.879  1.797932812982732
600.0  490.4  7.38  1.89730993250971
650.0  518.8  6.946  1.986822682073063
700.0  546.8  6.564  2.076225349040898
800.0  601.1  5.925  2.245090376800008
900.0  651.9  5.409  2.403977246148557
1000.0  698.5  4.983  2.5430902854597988
1100.0  740.5  4.625  2.682105823788465
1200.0  778.0  4.318  2.8013828156822838
1300.0  811.2  4.053  2.9304988397882026
1400.0  840.4  3.822  3.049713183235433
1500.0  865.9  3.617  3.1590526950337505
1600.0  888.0  3.435  3.268395474846947
1700.0  907.3  3.272  3.3777356823765827
1800.0  923.9  3.125  3.487087840878116
2000.0  950.5  2.87  3.6959734766364334
2250.0  973.8  2.608  3.9546979113454417
2500.0  988.7  2.393  4.203575055830453
2750.0  997.6  2.213  4.45252824583966
3000.0  1002.0  2.061  4.701543033941091
3250.0  1003.0  1.929  4.9506344825688755
3500.0  1002.0  1.814  5.199780111697032
3750.0  998.3  1.713  5.449002048999431
4000.0  993.4  1.624  5.698276084922527
4500.0  980.7  1.472  6.197183922557084
5000.0  965.2  1.348  6.7062094099424
5500.0  948.0  1.244  7.225333656655588
6000.0  929.8  1.156  7.75456389811832
6500.0  911.2  1.081  8.303846782064323
7000.0  892.5  1.015  8.853240807749442
8000.0  855.7  0.9063  9.992846553910454
9000.0  820.6  0.8198  11.182573976504695
10000.0  787.7  0.7493  12.422408069694058
