#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  61.73  2055.0  0.007614459928320591
11.0  64.74  2125.0  0.007945438943192504
12.0  67.62  2189.0  0.008367197858303579
13.0  70.38  2249.0  0.00873212459828649
14.0  73.04  2304.0  0.009153687781435414
15.0  75.6  2356.0  0.0094847245611035
16.0  78.08  2404.0  0.00979081201943945
17.0  80.48  2450.0  0.01021273714534943
18.0  82.81  2492.0  0.010543718509140881
20.0  87.29  2572.0  0.011181234278915724
22.5  92.59  2660.0  0.01193440404879942
25.0  97.6  2738.0  0.012779280104919839
27.5  102.4  2808.0  0.013532922818075926
30.0  106.9  2871.0  0.014262538343506742
32.5  111.3  2929.0  0.014924476540234167
35.0  115.5  2981.0  0.015654392354863222
37.5  119.5  3029.0  0.01640822964246905
40.0  123.5  3073.0  0.01704640724610321
45.0  130.9  3152.0  0.01843854658046561
50.0  138.0  3220.0  0.01970786644972002
55.0  144.8  3279.0  0.021100236965494013
60.0  151.2  3331.0  0.022347035597591013
65.0  157.4  3377.0  0.023554405108174564
70.0  163.3  3418.0  0.024801612850780492
80.0  174.6  3487.0  0.027226825007701502
90.0  185.2  3542.0  0.02968181261311378
100.0  195.2  3586.0  0.03210778721743372
110.0  204.7  3622.0  0.03444096398186323
120.0  213.8  3652.0  0.03675241488664385
130.0  222.6  3675.0  0.03905764969887462
140.0  231.0  3694.0  0.041369795745205225
150.0  239.1  3709.0  0.04361009057546201
160.0  246.9  3721.0  0.04592254348356589
170.0  254.5  3730.0  0.04811382337748685
180.0  261.9  3737.0  0.05042677860026357
200.0  276.1  3743.0  0.054952797926948176
225.0  292.8  3743.0  0.06052123594243595
250.0  308.6  3735.0  0.0661844392587865
275.0  323.7  3722.0  0.07177436868409225
300.0  370.4  3705.0  0.07741194998189879
325.0  405.4  3685.0  0.08293599942124048
350.0  431.8  3663.0  0.08850677940135433
375.0  452.4  3639.0  0.09414616295951737
400.0  469.2  3613.0  0.0996914239039648
450.0  496.4  3561.0  0.1109528278143464
500.0  519.9  3506.0  0.12231062913745477
550.0  542.6  3451.0  0.13385966532155982
600.0  566.1  3396.0  0.14541007530429245
650.0  590.7  3342.0  0.15715180558937272
700.0  616.4  3288.0  0.16889467131913902
800.0  671.2  3186.0  0.1928065610916807
900.0  728.8  3089.0  0.21703695537857146
1000.0  788.1  2998.0  0.24150339542126525
1100.0  847.8  2912.0  0.2661950037096865
1200.0  907.2  2831.0  0.29109874613264825
1300.0  965.7  2756.0  0.31617405016857414
1400.0  1023.0  2684.0  0.34134804818542613
1500.0  1079.0  2617.0  0.36657585845224455
1600.0  1134.0  2554.0  0.3919986862222883
1700.0  1186.0  2494.0  0.4174984790391458
1800.0  1238.0  2437.0  0.44298431123460796
2000.0  1337.0  2333.0  0.4942423393437677
2250.0  1453.0  2216.0  0.558446362688486
2500.0  1562.0  2112.0  0.6227384764088373
2750.0  1665.0  2019.0  0.6869482440475411
3000.0  1764.0  1936.0  0.7510612025660759
3250.0  1860.0  1860.0  0.8150327662125002
3500.0  1952.0  1790.0  0.8786034088256203
3750.0  2043.0  1727.0  0.9418395670176529
4000.0  2132.0  1669.0  1.0046769082645426
4500.0  2307.0  1565.0  1.1304453502934144
5000.0  2480.0  1475.0  1.2522102059957825
5500.0  2652.0  1397.0  1.3737394585582814
6000.0  2825.0  1327.0  1.48527931716563
6500.0  2998.0  1265.0  1.6063551568691152
7000.0  3173.0  1210.0  1.717468910926774
8000.0  3525.0  1114.0  1.929464723699296
9000.0  3881.0  1034.0  2.131025398722408
10000.0  4237.0  966.7  2.322236329489314
11000.0  4594.0  908.4  2.5031765618909105
12000.0  4948.0  857.6  2.673932334596371
13000.0  5298.0  812.9  2.8345349265796673
14000.0  5644.0  773.2  2.9948760942650035
15000.0  5983.0  737.6  3.1353153796707596
16000.0  6315.0  705.6  3.2854215330760836
17000.0  6639.0  676.5  3.415665572037169
18000.0  6955.0  650.0  3.5457643943161252
20000.0  7560.0  603.5  3.795872034197149
22500.0  8267.0  554.9  4.08584784469515
25000.0  8920.0  514.3  4.355667325450831
27500.0  9519.0  479.9  4.60544166068793
30000.0  10070.0  450.2  4.845106836799371
