#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.639  5.549  0.00017320508075688773
0.0012  0.639  5.846  0.00017320508075688773
0.0013000000000000002  0.6651  6.132  0.00017320508075688773
0.0014  0.6902  6.407  0.00017320508075688773
0.0015  0.7144  6.674  0.00017320508075688773
0.0016  0.7379  6.932  0.00017320508075688773
0.0017  0.7606  7.183  0.00017320508075688773
0.0018000000000000002  0.7826  7.427  0.00017320508075688773
0.002  0.8249  7.895  0.0003
0.0022500000000000003  0.875  8.45  0.0003
0.00249999  0.9223  8.975  0.0003
0.00274999  0.9673  9.474  0.0003
0.00299999  1.01  9.95  0.0003
0.00324999  1.052  10.41  0.0003
0.00349999  1.091  10.85  0.00034641016151377546
0.00374999  1.13  11.27  0.00034641016151377546
0.00399999  1.167  11.68  0.00034641016151377546
0.004499990000000001  1.237  12.45  0.00034641016151377546
0.00499999  1.304  13.18  0.00034641016151377546
0.005499990000000001  1.368  13.88  0.00034641016151377546
0.00599999  1.429  14.54  0.00046904157598234294
0.006499990000000001  1.487  15.16  0.00046904157598234294
0.00699999  1.543  15.76  0.00046904157598234294
0.00799999  1.65  16.9  0.00046904157598234294
0.008999990000000001  1.75  17.95  0.00046904157598234294
0.00999999  1.845  18.93  0.00046904157598234294
0.0109999  1.935  19.86  0.0005196152422706632
0.0119999  2.021  20.73  0.0005830951894845301
0.0129999  2.103  21.57  0.0006403124237432849
0.013999900000000001  2.183  22.36  0.0006403124237432849
0.0149999  2.259  23.11  0.0006403124237432849
0.0159999  2.333  23.84  0.0006403124237432849
0.016999900000000002  2.405  24.53  0.0006403124237432849
0.0179999  2.475  25.2  0.0006403124237432849
0.0199999  2.609  26.47  0.0006403124237432849
0.0224999  2.767  27.94  0.000812403840463596
0.024999900000000002  2.917  29.3  0.000812403840463596
0.0274999  3.059  30.56  0.000812403840463596
0.0299999  3.195  31.75  0.0008774964387392122
0.0324999  3.325  32.86  0.0009380831519646859
0.0349999  3.451  33.92  0.0009380831519646859
0.037499899999999996  3.572  34.92  0.0009848857801796104
0.0399999  3.689  35.87  0.0009848857801796104
0.044999899999999995  3.913  37.64  0.0011090536506409416
0.0499999  4.125  39.26  0.0011090536506409416
0.0549999  4.326  40.76  0.0012206555615733704
0.059999899999999995  4.518  42.16  0.0012806248474865698
0.0649999  4.703  43.45  0.001345362404707371
0.0699999  4.88  44.67  0.001345362404707371
0.0799999  5.217  46.9  0.00151657508881031
0.0899999  5.534  48.89  0.00151657508881031
0.0999999  5.833  50.7  0.0016881943016134131
0.11  6.118  52.35  0.0018138357147217054
0.12  6.39  53.86  0.0018601075237738274
0.13  6.651  55.25  0.001984943324127921
0.13999899999999998  6.902  56.55  0.002051828452868319
0.149999  7.144  57.76  0.0021563858652847824
0.159999  7.379  58.88  0.002222611077089287
0.169999  7.606  59.94  0.002349468024894146
0.179999  7.826  60.94  0.0023937418407171647
0.199999  8.25  62.77  0.0025199206336708304
0.224999  8.75  64.79  0.0027586228448267442
0.249999  9.223  66.58  0.002929163703175362
0.27499900000000005  9.673  68.17  0.003168595903550972
0.299999  10.1  69.6  0.0033391615714128
0.32499900000000004  10.52  70.9  0.0034655446902326914
