#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  166.1  1893.0  0.007918333157931662
11.0  174.2  1972.0  0.008289752710425083
12.0  182.0  2045.0  0.008618004409374597
13.0  189.4  2113.0  0.008946507698538017
14.0  196.5  2178.0  0.009317725044236924
15.0  203.4  2239.0  0.009615612304996494
16.0  210.1  2297.0  0.0099443451267542
17.0  216.6  2353.0  0.010273266277090262
18.0  222.9  2405.0  0.010516653460107927
20.0  234.9  2504.0  0.011131037687475503
22.5  249.2  2616.0  0.011874763155532831
25.0  262.6  2717.0  0.01257457752769452
27.5  275.5  2810.0  0.013203408650799234
30.0  287.7  2896.0  0.013817018491700734
32.5  299.5  2976.0  0.014475841944425893
35.0  310.8  3050.0  0.0150189879818848
37.5  321.7  3119.0  0.015591664439693408
40.0  332.2  3184.0  0.016251153805191803
45.0  352.4  3303.0  0.017407469661039194
50.0  371.4  3410.0  0.018367906794188607
55.0  389.6  3506.0  0.019484609310940777
60.0  406.9  3593.0  0.020514141463878033
65.0  423.5  3673.0  0.021504418150696383
70.0  439.5  3746.0  0.02250533270138436
80.0  469.8  3877.0  0.024370679104202247
90.0  498.3  3990.0  0.026275083253911875
100.0  525.3  4089.0  0.028053342046893453
110.0  550.9  4176.0  0.029803858810563442
120.0  575.4  4254.0  0.031554872840814936
130.0  598.9  4323.0  0.033207830401879614
140.0  621.5  4386.0  0.034959405029262154
150.0  643.3  4443.0  0.036585516259853436
160.0  664.4  4494.0  0.0381599266246674
170.0  684.9  4541.0  0.03978642984737384
180.0  704.7  4583.0  0.04132420598148257
200.0  742.9  4658.0  0.04452561060782884
225.0  787.9  4736.0  0.048326079915507324
250.0  830.5  4799.0  0.05212763182804299
275.0  871.1  4851.0  0.05584030802207309
300.0  909.8  4893.0  0.059527304659290604
325.0  947.0  4928.0  0.06311584587090631
350.0  982.7  4956.0  0.06671386662456315
375.0  1017.0  4980.0  0.07027745015294735
400.0  1051.0  4998.0  0.07386711040781277
450.0  1156.0  5024.0  0.08088071463581414
500.0  1253.0  5039.0  0.0877057010689727
550.0  1327.0  5044.0  0.09447290616891173
600.0  1384.0  5042.0  0.10127497222907544
650.0  1430.0  5035.0  0.10795346219552202
700.0  1469.0  5024.0  0.11460833303036914
800.0  1533.0  4992.0  0.1280034374538434
900.0  1588.0  4950.0  0.14135412975926812
1000.0  1638.0  4903.0  0.1547081122630614
1100.0  1686.0  4852.0  0.16815653421737736
1200.0  1733.0  4799.0  0.18160715844921974
1300.0  1778.0  4745.0  0.19512032185295308
1400.0  1824.0  4690.0  0.20870529461419995
1500.0  1868.0  4635.0  0.2222924650095005
1600.0  1913.0  4581.0  0.23597400280539382
1700.0  1956.0  4527.0  0.24971932244021489
1800.0  1999.0  4473.0  0.2634969829049282
2000.0  2083.0  4369.0  0.29108890394516934
2250.0  2184.0  4245.0  0.3259204504169691
2500.0  2280.0  4127.0  0.36086637416085193
2750.0  2372.0  4016.0  0.3960919211496241
3000.0  2459.0  3911.0  0.43146223473207945
3250.0  2543.0  3812.0  0.4669699454997077
3500.0  2624.0  3719.0  0.5026720402011634
3750.0  2702.0  3630.0  0.538438455164562
4000.0  2777.0  3547.0  0.5743240287503214
4500.0  2920.0  3392.0  0.6464435242153795
5000.0  3054.0  3253.0  0.718923646849928
5500.0  3182.0  3126.0  0.7915093113792157
6000.0  3303.0  3011.0  0.8642514101810884
6500.0  3418.0  2905.0  0.9370641546873939
7000.0  3529.0  2808.0  1.0097968013417353
8000.0  3740.0  2635.0  1.1539914427758986
9000.0  3940.0  2486.0  1.298108608707299
10000.0  4132.0  2355.0  1.4418487750107498
11000.0  4318.0  2239.0  1.585271068303462
12000.0  4502.0  2136.0  1.7283787345370805
13000.0  4683.0  2044.0  1.8712255876831099
14000.0  4863.0  1960.0  2.0041437797722996
15000.0  5044.0  1884.0  2.146451548486478
16000.0  5225.0  1815.0  2.2788777632861312
17000.0  5406.0  1752.0  2.4110460406222027
18000.0  5589.0  1693.0  2.5429963507641924
20000.0  5958.0  1588.0  2.7966698500180533
22500.0  6427.0  1477.0  3.100640456421866
25000.0  6903.0  1382.0  3.403537173294865
27500.0  7383.0  1300.0  3.6763616361832523
30000.0  7866.0  1229.0  3.948384982496008
