#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  59.26  1154.0  0.009489467845985885
11.0  62.15  1185.0  0.0100269636480841
12.0  64.91  1213.0  0.010642368157510807
13.0  67.56  1239.0  0.011092790451459904
14.0  70.12  1263.0  0.011708543888972703
15.0  72.58  1285.0  0.012195490970026587
16.0  74.96  1305.0  0.01268266533501535
17.0  77.26  1324.0  0.013183702059740277
18.0  79.5  1341.0  0.013670771741200276
20.0  83.8  1373.0  0.01469489707347418
22.5  88.89  1407.0  0.01587734234687909
25.0  93.7  1436.0  0.017060480649735518
27.5  98.27  1462.0  0.01817745856823775
30.0  102.6  1484.0  0.019361043360315064
32.5  106.8  1504.0  0.02046484791050254
35.0  110.9  1521.0  0.02156872736162243
37.5  114.8  1536.0  0.02263757937589618
40.0  118.5  1550.0  0.02374152480360097
45.0  125.7  1574.0  0.02586696735220424
50.0  132.5  1592.0  0.02804050641482782
55.0  139.0  1607.0  0.030085877085436617
60.0  145.2  1620.0  0.032212730402746054
65.0  151.1  1629.0  0.034271124872113555
70.0  156.8  1637.0  0.03631693819693505
80.0  167.6  1648.0  0.040328401902381406
90.0  177.8  1654.0  0.044469090388718324
100.0  187.4  1656.0  0.0485282392015206
110.0  196.5  1656.0  0.052508475506340885
120.0  205.3  1654.0  0.05656827732925938
130.0  213.7  1650.0  0.06054964904935454
140.0  221.7  1644.0  0.06460982897361671
150.0  229.5  1638.0  0.06867495904622004
160.0  239.9  1631.0  0.07269037075156516
170.0  258.1  1624.0  0.07667333304350347
180.0  273.0  1616.0  0.08073995293533431
200.0  295.8  1598.0  0.08873978814489022
225.0  316.6  1576.0  0.09884543489711602
250.0  333.6  1553.0  0.10898486133404034
275.0  349.2  1529.0  0.11917776638282832
300.0  364.5  1506.0  0.12945644055048017
325.0  379.8  1483.0  0.1398210642213826
350.0  395.2  1461.0  0.15027182037893866
375.0  410.8  1439.0  0.1608088927889251
400.0  426.6  1418.0  0.1713782658332147
450.0  458.6  1378.0  0.1926596480843874
500.0  490.8  1339.0  0.21411758451841362
550.0  522.9  1303.0  0.23573826587976762
600.0  554.7  1270.0  0.25742169683226
650.0  586.0  1238.0  0.27918499243333267
700.0  616.8  1208.0  0.30100915268476475
800.0  676.6  1153.0  0.3447880653386947
900.0  733.8  1103.0  0.3887151527789983
1000.0  788.8  1059.0  0.43260154877207735
1100.0  841.7  1019.0  0.4764096661487884
1200.0  892.9  981.8  0.5200163651270987
1300.0  942.6  948.1  0.5635217298383444
1400.0  991.1  917.1  0.606817147087984
1500.0  1039.0  888.4  0.6498017236049778
1600.0  1085.0  861.8  0.6925502797631375
1700.0  1131.0  837.1  0.7349390178783544
1800.0  1176.0  814.0  0.7769694524239675
2000.0  1266.0  772.1  0.8601755402242034
2250.0  1376.0  726.4  0.9619717511444918
2500.0  1484.0  686.7  1.0613092574739937
2750.0  1593.0  651.8  1.1547172207947711
3000.0  1701.0  620.9  1.2490069815657556
3250.0  1809.0  593.2  1.342664205972588
3500.0  1918.0  568.2  1.4357056279056652
3750.0  2026.0  545.6  1.5189919091292092
4000.0  2135.0  525.1  1.6017832219123787
4500.0  2352.0  488.8  1.7659790768862467
5000.0  2568.0  458.0  1.9100845661907224
5500.0  2781.0  431.3  2.0528766986840687
6000.0  2992.0  408.0  2.194667421273665
6500.0  3200.0  387.4  2.316772103595863
7000.0  3403.0  369.0  2.447572685335412
8000.0  3798.0  337.7  2.679220142130915
9000.0  4174.0  311.8  2.8901764409807233
10000.0  4532.0  290.1  3.0903253453317827
11000.0  4871.0  271.5  3.27043643876471
12000.0  5193.0  255.5  3.4498217881508024
13000.0  5498.0  241.4  3.619060056147176
14000.0  5786.0  229.0  3.778286644763735
15000.0  6060.0  217.9  3.9371908627852927
16000.0  6320.0  208.0  4.086171729137189
17000.0  6567.0  199.0  4.2253028530508905
18000.0  6803.0  190.9  4.36424298704827
20000.0  7242.0  176.6  4.632122444409259
22500.0  7740.0  161.8  4.9397510159926075
25000.0  8191.0  149.5  5.23722419035122
27500.0  8603.0  139.1  5.524716508564037
30000.0  8983.0  130.2  5.792497959429938
