# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.583000e+00  1.370000e+01  4.000000e-04
1.099990e-02  1.660000e+00  1.443000e+01  4.000000e-04
1.199990e-02  1.734000e+00  1.512000e+01  5.000000e-04
1.299990e-02  1.805000e+00  1.578000e+01  5.000000e-04
1.399990e-02  1.873000e+00  1.641000e+01  5.000000e-04
1.499990e-02  1.939000e+00  1.702000e+01  5.000000e-04
1.599990e-02  2.003000e+00  1.760000e+01  5.000000e-04
1.699990e-02  2.064000e+00  1.816000e+01  5.000000e-04
1.799990e-02  2.124000e+00  1.871000e+01  6.000000e-04
1.999990e-02  2.239000e+00  1.974000e+01  6.000000e-04
2.249990e-02  2.375000e+00  2.096000e+01  6.000000e-04
2.499990e-02  2.503000e+00  2.209000e+01  6.000000e-04
2.749990e-02  2.625000e+00  2.316000e+01  7.000000e-04
2.999990e-02  2.742000e+00  2.416000e+01  7.000000e-04
3.249990e-02  2.854000e+00  2.512000e+01  7.000000e-04
3.499990e-02  2.962000e+00  2.602000e+01  8.000000e-04
3.749990e-02  3.066000e+00  2.689000e+01  8.000000e-04
3.999990e-02  3.166000e+00  2.772000e+01  8.000000e-04
4.499990e-02  3.358000e+00  2.928000e+01  9.000000e-04
4.999990e-02  3.540000e+00  3.073000e+01  9.000000e-04
5.499990e-02  3.713000e+00  3.208000e+01  1.000000e-03
5.999990e-02  3.878000e+00  3.334000e+01  1.000000e-03
6.499990e-02  4.036000e+00  3.453000e+01  1.100000e-03
6.999990e-02  4.189000e+00  3.566000e+01  1.100000e-03
7.999990e-02  4.478000e+00  3.775000e+01  1.200000e-03
8.999990e-02  4.750000e+00  3.965000e+01  1.300000e-03
9.999990e-02  5.007000e+00  4.140000e+01  1.300000e-03
1.100000e-01  5.251000e+00  4.301000e+01  1.400000e-03
1.200000e-01  5.484000e+00  4.451000e+01  1.500000e-03
1.300000e-01  5.708000e+00  4.591000e+01  1.600000e-03
1.399990e-01  5.924000e+00  4.722000e+01  1.600000e-03
1.499990e-01  6.132000e+00  4.846000e+01  1.700000e-03
1.599990e-01  6.333000e+00  4.963000e+01  1.800000e-03
1.699990e-01  6.528000e+00  5.074000e+01  1.800000e-03
1.799990e-01  6.717000e+00  5.180000e+01  1.900000e-03
1.999990e-01  7.080000e+00  5.376000e+01  2.000000e-03
2.249990e-01  7.510000e+00  5.597000e+01  2.200000e-03
2.499990e-01  7.916000e+00  5.797000e+01  2.300000e-03
2.749990e-01  8.302000e+00  5.979000e+01  2.400000e-03
2.999990e-01  8.672000e+00  6.146000e+01  2.600000e-03
3.249990e-01  9.026000e+00  6.300000e+01  2.700000e-03
3.499990e-01  9.366000e+00  6.442000e+01  2.900000e-03
3.749990e-01  9.695000e+00  6.574000e+01  3.000000e-03
3.999990e-01  1.001000e+01  6.697000e+01  3.100000e-03
4.499990e-01  1.062000e+01  6.921000e+01  3.400000e-03
4.999990e-01  1.119000e+01  7.120000e+01  3.600000e-03
5.499990e-01  1.174000e+01  7.297000e+01  3.900000e-03
5.999990e-01  1.226000e+01  7.457000e+01  4.100000e-03
6.499990e-01  1.276000e+01  7.602000e+01  4.400000e-03
6.999990e-01  1.325000e+01  7.734000e+01  4.600000e-03
7.999990e-01  1.416000e+01  7.965000e+01  5.100000e-03
8.999990e-01  1.502000e+01  8.162000e+01  5.500000e-03
9.999990e-01  1.583000e+01  8.332000e+01  6.000000e-03
1.100000e+00  1.660000e+01  8.478000e+01  6.400000e-03
1.200000e+00  1.734000e+01  8.607000e+01  6.800000e-03
1.300000e+00  1.805000e+01  8.719000e+01  7.300000e-03
1.400000e+00  1.873000e+01  8.819000e+01  7.700000e-03
1.500000e+00  1.939000e+01  8.907000e+01  8.100000e-03
1.600000e+00  2.003000e+01  8.986000e+01  8.500000e-03
1.700000e+00  2.064000e+01  9.056000e+01  9.000000e-03
1.800000e+00  2.124000e+01  9.118000e+01  9.400000e-03
2.000000e+00  2.239000e+01  9.224000e+01  1.020000e-02
2.250000e+00  2.375000e+01  9.326000e+01  1.120000e-02
2.500000e+00  2.503000e+01  9.404000e+01  1.230000e-02
2.750000e+00  2.625000e+01  9.461000e+01  1.330000e-02
3.000000e+00  2.742000e+01  9.502000e+01  1.430000e-02
3.250000e+00  2.854000e+01  9.530000e+01  1.530000e-02
3.500000e+00  2.962000e+01  9.548000e+01  1.630000e-02
3.750000e+00  3.066000e+01  9.557000e+01  1.740000e-02
4.000000e+00  3.166000e+01  9.559000e+01  1.840000e-02
4.500000e+00  3.359000e+01  9.545000e+01  2.040000e-02
5.000000e+00  3.540000e+01  9.513000e+01  2.240000e-02
5.500000e+00  3.713000e+01  9.469000e+01  2.450000e-02
6.000000e+00  3.878000e+01  9.415000e+01  2.650000e-02
6.500000e+00  4.036000e+01  9.355000e+01  2.860000e-02
7.000000e+00  4.189000e+01  9.289000e+01  3.060000e-02
8.000000e+00  4.478000e+01  9.148000e+01  3.480000e-02
9.000000e+00  4.750000e+01  9.000000e+01  3.890000e-02
1.000000e+01  5.007000e+01  8.849000e+01  4.310000e-02
1.100000e+01  5.251000e+01  8.698000e+01  4.740000e-02
1.200000e+01  5.484000e+01  8.549000e+01  5.160000e-02
1.300000e+01  5.708000e+01  8.403000e+01  5.590000e-02
1.400000e+01  5.924000e+01  8.261000e+01  6.020000e-02
1.500000e+01  6.132000e+01  8.122000e+01  6.450000e-02
1.600000e+01  6.333000e+01  7.988000e+01  6.890000e-02
1.700000e+01  6.528000e+01  7.858000e+01  7.320000e-02
1.800000e+01  6.717000e+01  7.732000e+01  7.760000e-02
2.000000e+01  7.080000e+01  7.492000e+01  8.650000e-02
2.250000e+01  7.510000e+01  7.214000e+01  9.760000e-02
2.500000e+01  8.242000e+01  6.959000e+01  1.086000e-01
2.750000e+01  9.118000e+01  6.723000e+01  1.194000e-01
3.000000e+01  9.676000e+01  6.505000e+01  1.300000e-01
3.250000e+01  1.005000e+02  6.303000e+01  1.406000e-01
3.500000e+01  1.033000e+02  6.115000e+01  1.512000e-01
3.750000e+01  1.055000e+02  5.940000e+01  1.620000e-01
4.000000e+01  1.076000e+02  5.776000e+01  1.728000e-01
4.500000e+01  1.117000e+02  5.479000e+01  1.948000e-01
5.000000e+01  1.162000e+02  5.215000e+01  2.169000e-01
5.500000e+01  1.211000e+02  4.980000e+01  2.390000e-01
6.000000e+01  1.266000e+02  4.769000e+01  2.610000e-01
6.500000e+01  1.323000e+02  4.578000e+01  2.828000e-01
7.000000e+01  1.383000e+02  4.404000e+01  3.043000e-01
8.000000e+01  1.506000e+02  4.099000e+01  3.465000e-01
9.000000e+01  1.631000e+02  3.839000e+01  3.873000e-01
1.000000e+02  1.753000e+02  3.615000e+01  4.267000e-01
1.100000e+02  1.873000e+02  3.419000e+01  4.648000e-01
