#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  50.62  1624.0  0.00837137981458254
11.0  53.09  1682.0  0.008777812939451377
12.0  55.45  1736.0  0.009231467922275418
13.0  57.71  1787.0  0.009556673061269807
14.0  59.89  1834.0  0.010044401425669924
15.0  61.99  1878.0  0.010416813332300814
16.0  64.03  1919.0  0.010742439201596628
17.0  66.0  1959.0  0.011114854924829205
18.0  67.91  1996.0  0.01144071676076285
20.0  71.58  2064.0  0.012139192724394815
22.5  75.93  2141.0  0.013081666560496029
25.0  80.03  2210.0  0.013896042602122375
27.5  83.94  2272.0  0.01472311108427835
30.0  87.67  2329.0  0.015505160431288675
32.5  91.25  2380.0  0.016236686854158393
35.0  94.7  2428.0  0.01701910690958841
37.5  98.02  2472.0  0.017718352067841975
40.0  101.2  2512.0  0.018533483212823217
45.0  107.4  2585.0  0.019932134858062747
50.0  113.2  2649.0  0.021330963410029092
55.0  118.7  2706.0  0.022686119103980745
60.0  124.0  2756.0  0.024085265205099987
65.0  129.1  2801.0  0.025441108466417107
70.0  133.9  2841.0  0.0267127310471992
80.0  143.2  2911.0  0.02922498930709813
90.0  151.9  2969.0  0.03182294769502034
100.0  160.1  3017.0  0.034281919432843894
110.0  167.9  3058.0  0.0367647929410734
120.0  175.3  3093.0  0.03915124519092592
130.0  182.5  3122.0  0.041538054841313884
140.0  189.4  3148.0  0.04396669193832987
150.0  196.0  3169.0  0.046323752006934844
160.0  202.5  3188.0  0.04871118967957978
170.0  208.7  3203.0  0.05106897296793818
180.0  214.8  3217.0  0.05334088488204897
200.0  226.4  3238.0  0.05796015872994138
225.0  240.1  3255.0  0.06379412198627707
250.0  253.1  3264.0  0.06957154590779194
275.0  265.4  3268.0  0.07528047555641502
300.0  300.8  3267.0  0.08100160492237177
325.0  331.2  3263.0  0.08662493867241697
350.0  353.4  3256.0  0.09229658715250527
375.0  370.1  3246.0  0.09792088643389621
400.0  383.3  3235.0  0.10360501918343532
450.0  404.1  3209.0  0.1148760636512237
500.0  421.9  3179.0  0.1263358223149713
550.0  439.2  3147.0  0.1378470529246092
600.0  456.9  3113.0  0.14939856090337686
650.0  475.3  3079.0  0.16112830291416838
700.0  494.5  3044.0  0.1728215843001099
800.0  535.2  2975.0  0.196516615073637
900.0  578.1  2906.0  0.22063598981127264
1000.0  622.1  2840.0  0.24486375803699495
1100.0  666.4  2776.0  0.2693114368161887
1200.0  710.5  2715.0  0.2939949999574823
1300.0  754.0  2657.0  0.3187360820490834
1400.0  796.6  2601.0  0.34377571176568017
1500.0  838.2  2548.0  0.3688733251402167
1600.0  878.7  2497.0  0.3941195884500034
1700.0  918.2  2448.0  0.4194599623325211
1800.0  956.5  2402.0  0.4449743700484332
2000.0  1030.0  2315.0  0.49631720703598425
2250.0  1117.0  2216.0  0.5608591445273938
2500.0  1199.0  2126.0  0.6258676377637687
2750.0  1277.0  2045.0  0.6911875722262373
3000.0  1352.0  1971.0  0.7565921622644527
3250.0  1424.0  1903.0  0.822279824633926
3500.0  1494.0  1840.0  0.8879062844692565
3750.0  1563.0  1782.0  0.9536122220273816
4000.0  1631.0  1728.0  1.019160953922392
4500.0  1765.0  1632.0  1.1539773394655546
5000.0  1898.0  1547.0  1.2802803013402964
5500.0  2032.0  1472.0  1.406040888452395
6000.0  2167.0  1405.0  1.5312289737331903
6500.0  2303.0  1345.0  1.6558878856975796
7000.0  2441.0  1291.0  1.7800588894752893
8000.0  2722.0  1196.0  2.0176250518864998
9000.0  3008.0  1117.0  2.243974966437906
10000.0  3297.0  1048.0  2.4498293756912948
11000.0  3587.0  989.1  2.6637841222591594
12000.0  3877.0  937.1  2.8575686903379944
13000.0  4165.0  891.0  3.0407764041441787
14000.0  4449.0  849.9  3.223096886536301
15000.0  4729.0  812.9  3.39513621081688
16000.0  5004.0  779.4  3.556953124515419
17000.0  5273.0  748.9  3.708587473688601
18000.0  5535.0  721.0  3.8693629152613744
20000.0  6041.0  671.8  4.151327908031357
22500.0  6635.0  620.0  4.492407921148747
25000.0  7187.0  576.5  4.803046591487532
27500.0  7699.0  539.4  5.102948114570635
30000.0  8174.0  507.3  5.382654826384468
