#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  84.96  851.2  0.01097360469490313
11.0  89.11  866.9  0.011666619047521865
12.0  93.07  880.7  0.012369721096289924
13.0  96.87  893.0  0.013062924634246345
14.0  100.5  903.8  0.013765899897936204
15.0  104.1  913.5  0.01445925309274307
16.0  107.5  922.2  0.015111584959890872
17.0  110.8  930.0  0.015805378831271335
18.0  114.0  937.0  0.016457824886661056
20.0  120.2  949.1  0.017767667263881324
22.5  127.4  961.1  0.019407730418572907
25.0  134.3  970.5  0.021047802735677662
27.5  140.9  977.8  0.02252309925387712
30.0  147.2  983.4  0.0241141037569303
32.5  153.2  987.6  0.02566904750862408
35.0  159.0  990.7  0.027193565415369866
37.5  164.5  992.9  0.028784891870562934
40.0  169.9  994.4  0.030260700586734603
45.0  180.2  995.3  0.03332821627390221
50.0  190.0  994.4  0.036312119189053124
55.0  199.3  992.1  0.039344631145812006
60.0  208.1  988.7  0.04229704481402927
65.0  216.6  984.5  0.04531787726714481
70.0  224.8  979.8  0.04835100826249645
80.0  240.3  969.1  0.05428977804338493
90.0  254.9  957.3  0.06031011523782723
100.0  268.7  945.1  0.06628446273449005
110.0  280.2  932.6  0.0723061546481349
120.0  291.8  920.1  0.07840982081346698
130.0  304.4  907.7  0.08438613630212015
140.0  317.4  895.5  0.09049077301029095
150.0  330.6  883.6  0.0965499352666795
160.0  343.7  871.9  0.10265768358968558
170.0  356.5  860.5  0.10871802978347245
180.0  369.0  849.4  0.11486117707911582
200.0  392.7  828.1  0.12710397318730834
225.0  420.0  803.1  0.1423431768649274
250.0  444.6  779.8  0.15775176702655344
275.0  467.0  758.1  0.17308616351401404
300.0  487.4  737.8  0.18862415009748884
325.0  506.1  718.9  0.20408875520224037
350.0  523.4  701.1  0.21972462310810778
375.0  539.7  684.3  0.2353209510434632
400.0  555.0  668.6  0.25108936656099157
450.0  583.8  639.6  0.28264721827748457
500.0  610.9  613.6  0.3143473556434029
550.0  637.0  590.1  0.3463196355969439
600.0  662.7  568.7  0.3782058434239218
650.0  688.5  549.2  0.4101512038261012
700.0  714.4  531.2  0.4420761699074041
800.0  767.9  499.2  0.5055751378380864
900.0  823.9  471.6  0.5682892661312547
1000.0  882.6  447.5  0.6298249042392655
1100.0  943.9  426.1  0.690117526222889
1200.0  1008.0  407.1  0.7489305041190405
1300.0  1073.0  390.0  0.8061035727498048
1400.0  1141.0  374.5  0.861701972842119
1500.0  1210.0  360.4  0.9155398735172597
1600.0  1280.0  347.5  0.9677805588045258
1700.0  1351.0  335.7  1.0184532242572557
1800.0  1423.0  324.8  1.0675297513418538
2000.0  1569.0  305.3  1.1577789858172414
2250.0  1753.0  284.4  1.2712030404305994
2500.0  1936.0  266.6  1.3740273141389876
2750.0  2119.0  251.2  1.4664489421728941
3000.0  2298.0  237.7  1.5578780215408394
3250.0  2475.0  225.8  1.6392451342004954
3500.0  2648.0  215.2  1.7199793981324312
3750.0  2818.0  205.7  1.800210512690113
4000.0  2982.0  197.1  1.8707011118829218
4500.0  3299.0  182.1  2.0012141314711926
5000.0  3597.0  169.5  2.1307163208648867
5500.0  3877.0  158.7  2.2500781164217387
6000.0  4139.0  149.4  2.3594214990119933
6500.0  4385.0  141.2  2.468344157527471
7000.0  4615.0  134.0  2.5674701887266385
8000.0  5032.0  121.8  2.7555321682027234
9000.0  5398.0  111.8  2.933439101123458
10000.0  5719.0  103.5  3.1013601016328307
11000.0  6003.0  96.52  3.259415722180894
12000.0  6255.0  90.47  3.4076195224819332
13000.0  6480.0  85.21  3.5557393394342056
14000.0  6681.0  80.58  3.703811195242004
15000.0  6863.0  76.48  3.8421280106211975
16000.0  7029.0  72.81  3.9804257121569293
17000.0  7180.0  69.52  4.11874872746566
18000.0  7319.0  66.54  4.247302184916915
20000.0  7567.0  61.34  4.504516654425866
22500.0  7831.0  55.98  4.821277660537713
25000.0  8057.0  51.55  5.128370506310947
27500.0  8253.0  47.83  5.425723292797008
30000.0  8425.0  44.65  5.713380019743129
