#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.82  9.644  0.0002449489742783178
0.0012  0.82  10.23  0.0002449489742783178
0.0013000000000000002  0.8534  10.8  0.0002449489742783178
0.0014  0.8857  11.36  0.0002449489742783178
0.0015  0.9167  11.9  0.0002449489742783178
0.0016  0.9468  12.43  0.0002449489742783178
0.0017  0.9759  12.95  0.0002449489742783178
0.0018000000000000002  1.004  13.45  0.0002449489742783178
0.002  1.059  14.43  0.0002449489742783178
0.0022500000000000003  1.123  15.61  0.0002449489742783178
0.00249999  1.184  16.74  0.0002449489742783178
0.00274999  1.241  17.83  0.0002449489742783178
0.00299999  1.296  18.88  0.0002449489742783178
0.00324999  1.349  19.9  0.0002449489742783178
0.00349999  1.4  20.89  0.00033166247903554
0.00374999  1.449  21.85  0.00033166247903554
0.00399999  1.497  22.79  0.00033166247903554
0.004499990000000001  1.588  24.6  0.00033166247903554
0.00499999  1.674  26.34  0.00033166247903554
0.005499990000000001  1.755  28.0  0.00033166247903554
0.00599999  1.833  29.61  0.00033166247903554
0.006499990000000001  1.908  31.16  0.0003741657386773942
0.00699999  1.98  32.66  0.0003741657386773942
0.00799999  2.117  35.54  0.000458257569495584
0.008999990000000001  2.246  38.28  0.000458257569495584
0.00999999  2.367  40.89  0.000458257569495584
0.0109999  2.483  43.39  0.000458257569495584
0.0119999  2.593  45.8  0.0004898979485566356
0.0129999  2.699  48.12  0.0004898979485566356
0.013999900000000001  2.801  50.36  0.0004898979485566356
0.0149999  2.899  52.54  0.0005744562646538029
0.0159999  2.994  54.65  0.0005744562646538029
0.016999900000000002  3.086  56.71  0.0005744562646538029
0.0179999  3.176  58.71  0.0005744562646538029
0.0199999  3.347  62.56  0.0005744562646538029
0.0224999  3.551  67.15  0.0006164414002968976
0.024999900000000002  3.743  71.5  0.0007000000000000001
0.0274999  3.925  75.66  0.0007000000000000001
0.0299999  4.1  79.64  0.0007000000000000001
0.0324999  4.267  83.46  0.0007000000000000001
0.0349999  4.428  87.15  0.0007000000000000001
0.037499899999999996  4.584  90.71  0.0007874007874011811
0.0399999  4.734  94.16  0.0007874007874011811
0.044999899999999995  5.021  100.8  0.000818535277187245
0.0499999  5.293  107.0  0.0008602325267042626
0.0549999  5.551  112.9  0.0009433981132056604
0.059999899999999995  5.798  118.6  0.0009433981132056604
0.0649999  6.035  124.0  0.0009433981132056604
0.0699999  6.263  129.2  0.0009433981132056604
0.0799999  6.695  139.1  0.0010295630140987001
0.0899999  7.101  148.3  0.001072380529476361
0.0999999  7.485  156.9  0.0011874342087037917
0.11  7.851  165.1  0.0011874342087037917
0.12  8.2  172.9  0.0012727922061357855
0.13  8.534  180.4  0.0012727922061357855
0.13999899999999998  8.857  187.5  0.0013152946437965905
0.149999  9.167  194.3  0.0014000000000000002
0.159999  9.468  200.9  0.0014000000000000002
0.169999  9.759  207.2  0.0014000000000000002
0.179999  10.04  213.3  0.0014866068747318507
0.199999  10.59  225.0  0.0015165750888103103
0.224999  11.23  238.5  0.0016431676725154984
0.249999  11.84  251.2  0.0016431676725154984
0.27499900000000005  12.41  263.1  0.0017291616465790584
0.299999  12.96  274.3  0.0018867962264113207
0.32499900000000004  13.49  284.9  0.0018867962264113207
0.349999  14.0  295.0  0.001972308292331602
0.374999  14.5  304.6  0.001972308292331602
0.39999900000000005  14.97  313.8  0.0021000000000000003
0.44999900000000004  15.88  331.1  0.002215851980616034
0.499999  16.74  347.0  0.0023021728866442675
0.549999  17.55  361.9  0.002428991560298224
0.5999990000000001  18.33  375.8  0.002515949125081825
0.649999  19.08  388.9  0.0026720778431774776
0.699999  19.8  401.3  0.0027586228448267447
0.799999  21.17  424.1  0.0028861739379323625
0.899999  22.46  444.9  0.0030886890422961006
0.9999990000000001  23.67  463.9  0.0032155870381627054
1.1  24.83  481.4  0.0034190641994557517
1.2  25.93  497.6  0.0035454195802471678
1.3  26.99  512.7  0.0037881393849751623
1.4  28.01  526.9  0.0038755644750152205
1.5  28.99  540.3  0.0040024992192379
1.6  29.94  552.8  0.004205948168962618
1.7  30.86  564.7  0.004332435804486894
1.8  31.76  576.0  0.004448595283907045
2.0  33.47  597.0  0.004750789408087881
2.25  35.51  620.5  0.0049929950931279716
2.5  37.43  641.8  0.0053235326616824655
2.75  39.25  661.0  0.005654201977290872
3.0  41.0  678.6  0.005957348403442592
3.25  42.67  694.7  0.006199193495931548
3.5  44.28  709.6  0.0065299310869258035
3.75  45.84  723.4  0.0067446274915669
4.0  47.34  736.2  0.007039176088151226
4.5  50.21  759.4  0.007584853327520579
5.0  52.93  779.8  0.008067837380611982
5.5  55.51  798.0  0.008577878525602935
6.0  57.98  814.3  0.009033825324855468
