#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  56.17  1578.0  0.00840535543567314
11.0  58.92  1633.0  0.008858893836140042
12.0  61.54  1685.0  0.009231467922275418
13.0  64.05  1732.0  0.00971905345185425
14.0  66.47  1777.0  0.010091580649234292
15.0  68.8  1818.0  0.010416813332300814
16.0  71.06  1857.0  0.010904586191139947
17.0  73.24  1894.0  0.0112769676775275
18.0  75.37  1929.0  0.011602585918664856
20.0  79.44  1993.0  0.012300812981262663
22.5  84.26  2066.0  0.013243111416883873
25.0  88.82  2130.0  0.01410319112825179
27.5  93.16  2188.0  0.014884219831754704
30.0  97.3  2240.0  0.015744205283214522
32.5  101.3  2288.0  0.01652573750245356
35.0  105.1  2332.0  0.01730780170905595
37.5  108.8  2372.0  0.018039401320442985
40.0  112.3  2410.0  0.018821795876058166
45.0  119.2  2477.0  0.020303940504246956
50.0  125.6  2535.0  0.02173476477903545
55.0  131.7  2587.0  0.023217450333746812
60.0  137.6  2632.0  0.024616457909293125
65.0  143.2  2673.0  0.025971907900652968
70.0  148.6  2709.0  0.027371152697685204
80.0  158.9  2771.0  0.029998833310647267
90.0  168.5  2822.0  0.0326700168350125
100.0  177.6  2864.0  0.035267690596351785
110.0  186.3  2900.0  0.037780947579434794
120.0  194.6  2929.0  0.04029454057313472
130.0  202.5  2954.0  0.04283888420582404
140.0  210.2  2975.0  0.04528068020690502
150.0  217.6  2993.0  0.047795083429156185
160.0  224.7  3007.0  0.050182267784547166
170.0  231.6  3020.0  0.05269696385941035
180.0  238.3  3030.0  0.05517055374019732
200.0  251.2  3044.0  0.05995740154476343
225.0  266.5  3055.0  0.06603317348121322
250.0  280.9  3059.0  0.07202360724095955
275.0  295.1  3058.0  0.07810153647656363
300.0  310.6  3053.0  0.08409334099677572
325.0  326.5  3045.0  0.09010405096331685
350.0  342.3  3034.0  0.09618414630280814
375.0  357.9  3022.0  0.10219677098617158
400.0  373.2  3009.0  0.10815086684812102
450.0  402.7  2978.0  0.12033428439144017
500.0  430.7  2945.0  0.13245289728805482
550.0  457.0  2910.0  0.14472777895069075
600.0  481.8  2875.0  0.15693810882000583
650.0  505.3  2839.0  0.16932669606414696
700.0  527.7  2803.0  0.18171706028879073
800.0  569.9  2732.0  0.20692097525383937
900.0  609.8  2664.0  0.23235862368330557
1000.0  648.4  2598.0  0.25815749069124455
1100.0  686.1  2535.0  0.28422906255342717
1200.0  723.4  2476.0  0.31057363056125675
1300.0  760.3  2419.0  0.3370908779542988
1400.0  797.0  2365.0  0.36388169780850477
1500.0  833.6  2314.0  0.390881478200234
1600.0  870.1  2265.0  0.41796918546706285
1700.0  906.4  2218.0  0.4452665943005381
1800.0  942.6  2174.0  0.4726480614579944
2000.0  1015.0  2092.0  0.527815763311404
2250.0  1103.0  1998.0  0.5970825236095929
2500.0  1191.0  1914.0  0.6666509881489714
2750.0  1277.0  1838.0  0.7362365924076308
3000.0  1362.0  1769.0  0.8057773265611289
3250.0  1446.0  1706.0  0.8750667803087945
3500.0  1528.0  1648.0  0.9440747533961493
3750.0  1608.0  1594.0  1.012603061421404
4000.0  1688.0  1545.0  1.0807383309571286
4500.0  1844.0  1456.0  1.2192590249819764
5000.0  1998.0  1379.0  1.3457100021921513
5500.0  2149.0  1310.0  1.4807543212835812
6000.0  2298.0  1249.0  1.605833095312212
6500.0  2446.0  1195.0  1.73026486411763
7000.0  2593.0  1146.0  1.8541220051550007
8000.0  2884.0  1060.0  2.081598736548425
9000.0  3172.0  988.2  2.3071917843993814
10000.0  3458.0  926.8  2.521796506461217
11000.0  3741.0  873.5  2.725609788652807
12000.0  4021.0  826.9  2.918771494995797
13000.0  4297.0  785.7  3.111004379617618
14000.0  4570.0  748.9  3.2833420488886014
15000.0  4837.0  715.8  3.4549737148059467
16000.0  5101.0  686.0  3.616429932958746
17000.0  5359.0  658.8  3.777395405567175
18000.0  5612.0  634.0  3.928282908600143
20000.0  6101.0  590.2  4.219458701065813
22500.0  6681.0  544.3  4.560145397901255
25000.0  7225.0  505.7  4.88015428137267
27500.0  7735.0  472.8  5.179818051823829
30000.0  8213.0  444.4  5.459331074408292
