#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  139.1  1730.0  0.008038034585643434
11.0  145.9  1796.0  0.00841011296000238
12.0  152.4  1857.0  0.008820997676000149
13.0  158.6  1913.0  0.009192932067626737
14.0  164.6  1967.0  0.009520504188329523
15.0  170.3  2017.0  0.009892421341612983
16.0  175.9  2064.0  0.010220078277586723
17.0  181.3  2109.0  0.01059197809665409
18.0  186.6  2151.0  0.010919706955774959
20.0  196.7  2230.0  0.011619380362136356
22.5  208.6  2319.0  0.012434629065637625
25.0  219.9  2399.0  0.013134306224540374
27.5  230.6  2472.0  0.013875878350576586
30.0  240.9  2538.0  0.014575664650368438
32.5  250.7  2599.0  0.015275470532851028
35.0  260.2  2656.0  0.015975293424535277
37.5  269.3  2708.0  0.01663279892261071
40.0  278.2  2757.0  0.017332628190785147
45.0  295.0  2845.0  0.018532673849177835
50.0  311.0  2923.0  0.01980504986108341
55.0  326.2  2992.0  0.021047327621339484
60.0  340.7  3055.0  0.022162581077121865
65.0  354.6  3111.0  0.023364502990648017
70.0  368.0  3162.0  0.024509997960016235
80.0  393.4  3251.0  0.02678227025477863
90.0  417.2  3327.0  0.028887886734754415
100.0  439.8  3391.0  0.03100467706653304
110.0  461.3  3446.0  0.03315086725864046
120.0  481.8  3495.0  0.035141713105652665
130.0  501.5  3537.0  0.03724916106437835
140.0  520.4  3573.0  0.039240795098978314
150.0  538.7  3606.0  0.04114498754404964
160.0  556.3  3634.0  0.043137106996181375
170.0  573.5  3659.0  0.04512948038699316
180.0  590.1  3681.0  0.047034030233438426
200.0  622.0  3718.0  0.0508934180420219
225.0  659.7  3753.0  0.05554079581712888
250.0  695.4  3778.0  0.06024997925310847
275.0  729.4  3796.0  0.06489884436567418
300.0  761.8  3807.0  0.06943212512951048
325.0  792.9  3814.0  0.07401797079088294
350.0  771.6  3816.0  0.07851553986313793
375.0  759.5  3816.0  0.08311275473716413
400.0  759.6  3813.0  0.08773699333804413
450.0  783.3  3800.0  0.0970136588321459
500.0  824.6  3781.0  0.10620258942229235
550.0  873.3  3758.0  0.11535709774435209
600.0  924.0  3732.0  0.12460296946702355
650.0  973.9  3703.0  0.13373488699662478
700.0  1021.0  3673.0  0.14285783142691197
800.0  1107.0  3610.0  0.16108187359228227
900.0  1179.0  3546.0  0.17925038354212802
1000.0  1240.0  3482.0  0.1975698863693554
1100.0  1291.0  3418.0  0.2158689648837924
1200.0  1334.0  3356.0  0.23437723865597532
1300.0  1371.0  3296.0  0.25304722879336183
1400.0  1404.0  3237.0  0.27178820798555625
1500.0  1432.0  3181.0  0.290614056783219
1600.0  1458.0  3126.0  0.30975023809514657
1700.0  1482.0  3073.0  0.3289484002089082
1800.0  1504.0  3023.0  0.34834248951283564
2000.0  1545.0  2926.0  0.38751934145278477
2250.0  1593.0  2815.0  0.4374130313559485
2500.0  1639.0  2713.0  0.4880818066676938
2750.0  1687.0  2620.0  0.5395877963779389
3000.0  1735.0  2534.0  0.5916538261517456
3250.0  1785.0  2454.0  0.6442293613302641
3500.0  1836.0  2380.0  0.6971509305738608
3750.0  1888.0  2311.0  0.7505416444142191
4000.0  1941.0  2247.0  0.8041652753010415
4500.0  2051.0  2130.0  0.9118749201507848
5000.0  2164.0  2027.0  1.0199069516382364
5500.0  2278.0  1936.0  1.1261375448851707
6000.0  2394.0  1853.0  1.2304613646921223
6500.0  2511.0  1779.0  1.3439614317382773
7000.0  2629.0  1711.0  1.4477656336576028
8000.0  2866.0  1592.0  1.6546588198175478
9000.0  3104.0  1491.0  1.8605536487830712
10000.0  3343.0  1404.0  2.0559219683635854
11000.0  3584.0  1328.0  2.2504070209630966
12000.0  3826.0  1261.0  2.4345567563727077
13000.0  4069.0  1201.0  2.6083550563525666
14000.0  4313.0  1148.0  2.7814828221651844
15000.0  4557.0  1100.0  2.954024796781503
16000.0  4803.0  1056.0  3.1164119191788493
17000.0  5049.0  1016.0  3.2686821090463964
18000.0  5295.0  979.5  3.4205217043603158
20000.0  5787.0  914.7  3.7134736851094017
22500.0  6397.0  846.3  4.056172136386719
25000.0  6999.0  788.5  4.368204802891
27500.0  7588.0  739.0  4.6693388311408714
30000.0  8162.0  696.1  4.9403299454591085
