#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  106.6  1695.0  0.008080222769206304
11.0  111.8  1758.0  0.008405950273467005
12.0  116.8  1817.0  0.008860586888011425
13.0  121.5  1872.0  0.009233092656309694
14.0  126.1  1923.0  0.009592184318495971
15.0  130.5  1971.0  0.009964436762808022
16.0  134.8  2017.0  0.01029077256575035
17.0  139.0  2060.0  0.01066302021005306
18.0  143.0  2100.0  0.010989540481748997
20.0  150.7  2176.0  0.011688455843266894
22.5  159.9  2261.0  0.012470765814495917
25.0  168.5  2337.0  0.013285706605220514
27.5  176.7  2407.0  0.013984991955664473
30.0  184.6  2470.0  0.014684345405907613
32.5  192.1  2528.0  0.015467708298258023
35.0  199.4  2581.0  0.016167250848551834
37.5  206.4  2631.0  0.016823198269056927
40.0  213.2  2677.0  0.017522842235208305
45.0  226.1  2760.0  0.018794414063758414
50.0  238.3  2833.0  0.020066140635408694
55.0  249.9  2899.0  0.02130680642423918
60.0  261.1  2957.0  0.022578751072634642
65.0  271.7  3009.0  0.023777720664521232
70.0  282.0  3057.0  0.02496457490124757
80.0  301.5  3140.0  0.02732050511978137
90.0  319.7  3209.0  0.029550126903280807
100.0  337.0  3268.0  0.03176570477732235
110.0  353.5  3319.0  0.03399617625557322
120.0  369.2  3363.0  0.03614097397691435
130.0  384.3  3400.0  0.038256372018266455
140.0  398.8  3433.0  0.04040173263611352
150.0  412.8  3462.0  0.042420396037755236
160.0  426.3  3487.0  0.04453683868439699
170.0  439.4  3509.0  0.046555987799637544
180.0  452.2  3528.0  0.04858590330538273
200.0  476.6  3560.0  0.05263544433174285
225.0  505.6  3588.0  0.057646942676953826
250.0  532.9  3608.0  0.06262060363809982
275.0  558.9  3621.0  0.06751814570913511
300.0  583.8  3628.0  0.07237796626045803
325.0  620.2  3631.0  0.07730472171866348
350.0  652.4  3630.0  0.08216586882641722
375.0  678.3  3627.0  0.0869014384230779
400.0  700.2  3621.0  0.09176388178362989
450.0  737.5  3603.0  0.10133696265430497
500.0  771.2  3580.0  0.11091208229945014
550.0  804.2  3554.0  0.12048875466200155
600.0  836.8  3525.0  0.13015582968119407
650.0  869.1  3494.0  0.13985081336910415
700.0  901.0  3462.0  0.14949454839558532
800.0  962.7  3396.0  0.16891799785694836
900.0  1021.0  3330.0  0.18846463859302626
1000.0  1076.0  3264.0  0.20810617482429491
1100.0  1126.0  3200.0  0.227841896937328
1200.0  1173.0  3138.0  0.24772720884069235
1300.0  1216.0  3078.0  0.26777307556959495
1400.0  1256.0  3020.0  0.2879375800412305
1500.0  1293.0  2964.0  0.30813810215551085
1600.0  1328.0  2910.0  0.3285815728247706
1700.0  1360.0  2859.0  0.3491431941195474
1800.0  1390.0  2809.0  0.36980911292178836
2000.0  1444.0  2715.0  0.41162067489376675
2250.0  1506.0  2608.0  0.46461583055251143
2500.0  1561.0  2509.0  0.5182985433126356
2750.0  1614.0  2420.0  0.5727478502796847
3000.0  1664.0  2337.0  0.6278046591098222
3250.0  1712.0  2261.0  0.6834138863090214
3500.0  1761.0  2191.0  0.7394176424727773
3750.0  1810.0  2125.0  0.7959129977579208
4000.0  1859.0  2064.0  0.8526825728253158
4500.0  1961.0  1954.0  0.9668743713637259
5000.0  2067.0  1857.0  1.0795462935881908
5500.0  2178.0  1771.0  1.194371721868866
6000.0  2294.0  1694.0  1.3089010237600092
6500.0  2415.0  1624.0  1.423093285768716
7000.0  2540.0  1561.0  1.5369881489458532
8000.0  2802.0  1450.0  1.754359145101139
9000.0  3075.0  1357.0  1.960948160967036
10000.0  3355.0  1276.0  2.1662643536743156
11000.0  3639.0  1206.0  2.3609490676420783
12000.0  3925.0  1144.0  2.545055702730296
13000.0  4211.0  1089.0  2.71871900901877
14000.0  4495.0  1040.0  2.891588802025627
15000.0  4776.0  995.9  3.0541589889853475
16000.0  5054.0  955.7  3.2161393781986503
17000.0  5328.0  919.2  3.3679686236662008
18000.0  5597.0  885.6  3.519353663671783
20000.0  6120.0  826.4  3.79210836343056
22500.0  6746.0  763.8  4.124040826665032
25000.0  7340.0  711.2  4.425465952868692
27500.0  7905.0  666.1  4.71608369412588
30000.0  8442.0  627.1  4.986425962550732
