# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.345000e+00  1.888000e+01  4.000000e-04
1.099990e-02  1.410000e+00  1.993000e+01  4.000000e-04
1.199990e-02  1.473000e+00  2.093000e+01  5.000000e-04
1.299990e-02  1.533000e+00  2.190000e+01  5.000000e-04
1.399990e-02  1.591000e+00  2.282000e+01  5.000000e-04
1.499990e-02  1.647000e+00  2.371000e+01  5.000000e-04
1.599990e-02  1.701000e+00  2.457000e+01  5.000000e-04
1.699990e-02  1.753000e+00  2.541000e+01  5.000000e-04
1.799990e-02  1.804000e+00  2.621000e+01  5.000000e-04
1.999990e-02  1.902000e+00  2.776000e+01  6.000000e-04
2.249990e-02  2.017000e+00  2.957000e+01  6.000000e-04
2.499990e-02  2.126000e+00  3.128000e+01  6.000000e-04
2.749990e-02  2.230000e+00  3.289000e+01  7.000000e-04
2.999990e-02  2.329000e+00  3.442000e+01  7.000000e-04
3.249990e-02  2.424000e+00  3.588000e+01  7.000000e-04
3.499990e-02  2.516000e+00  3.727000e+01  7.000000e-04
3.749990e-02  2.604000e+00  3.861000e+01  8.000000e-04
3.999990e-02  2.689000e+00  3.990000e+01  8.000000e-04
4.499990e-02  2.852000e+00  4.233000e+01  8.000000e-04
4.999990e-02  3.007000e+00  4.459000e+01  9.000000e-04
5.499990e-02  3.154000e+00  4.672000e+01  9.000000e-04
5.999990e-02  3.294000e+00  4.874000e+01  1.000000e-03
6.499990e-02  3.428000e+00  5.064000e+01  1.000000e-03
6.999990e-02  3.558000e+00  5.245000e+01  1.000000e-03
7.999990e-02  3.803000e+00  5.584000e+01  1.100000e-03
8.999990e-02  4.034000e+00  5.894000e+01  1.200000e-03
9.999990e-02  4.252000e+00  6.182000e+01  1.200000e-03
1.100000e-01  4.460000e+00  6.451000e+01  1.300000e-03
1.200000e-01  4.658000e+00  6.702000e+01  1.400000e-03
1.300000e-01  4.848000e+00  6.939000e+01  1.400000e-03
1.399990e-01  5.031000e+00  7.162000e+01  1.500000e-03
1.499990e-01  5.208000e+00  7.374000e+01  1.500000e-03
1.599990e-01  5.379000e+00  7.576000e+01  1.600000e-03
1.699990e-01  5.544000e+00  7.768000e+01  1.600000e-03
1.799990e-01  5.705000e+00  7.952000e+01  1.700000e-03
1.999990e-01  6.014000e+00  8.297000e+01  1.800000e-03
2.249990e-01  6.378000e+00  8.691000e+01  1.900000e-03
2.499990e-01  6.723000e+00  9.051000e+01  2.000000e-03
2.749990e-01  7.052000e+00  9.382000e+01  2.100000e-03
2.999990e-01  7.365000e+00  9.688000e+01  2.300000e-03
