#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  72.57  914.8  0.010564563407921787
11.0  76.11  933.1  0.011294689017409909
12.0  79.5  949.4  0.011960769206033534
13.0  82.74  964.0  0.01265424829849644
14.0  85.87  977.0  0.013306389442670015
15.0  88.88  988.7  0.013921925154230647
16.0  91.8  999.3  0.014537537618180048
17.0  94.62  1009.0  0.015189799208679489
18.0  97.37  1018.0  0.015805378831271335
20.0  102.6  1033.0  0.017115490060176482
22.5  108.9  1048.0  0.018627130750601392
25.0  114.7  1061.0  0.02010248740827861
27.5  120.3  1071.0  0.021577998053572994
30.0  125.7  1079.0  0.02305363311931549
32.5  130.8  1085.0  0.024529370150902775
35.0  135.8  1091.0  0.02595650207558792
37.5  140.5  1095.0  0.027432462521618434
40.0  145.1  1098.0  0.028908476265621475
45.0  153.9  1102.0  0.031732317910924825
50.0  162.3  1104.0  0.03455633082374343
55.0  170.2  1104.0  0.03737766712891537
60.0  177.8  1102.0  0.04020211437225659
65.0  185.0  1100.0  0.042991394487734404
70.0  192.0  1096.0  0.0458159360921503
80.0  205.3  1088.0  0.05146387082216028
90.0  217.7  1078.0  0.05699666656919508
100.0  229.5  1067.0  0.06264606931005329
110.0  240.7  1055.0  0.06829597352699499
120.0  267.4  1044.0  0.07399358080266152
130.0  290.4  1032.0  0.07951641340000189
140.0  307.7  1020.0  0.08508730810173748
150.0  320.8  1008.0  0.09065881093418333
160.0  331.0  996.0  0.09626484301135073
170.0  339.3  984.5  0.10183717395921786
180.0  346.1  973.2  0.10753762132388832
200.0  357.0  951.3  0.11884923222301438
225.0  368.3  925.3  0.1332845452406242
250.0  378.7  900.7  0.14797205817315648
275.0  389.3  877.7  0.162823155601407
300.0  400.4  856.0  0.1778832482275945
325.0  412.1  835.5  0.19307376828559597
350.0  424.4  816.2  0.2084670237711471
375.0  437.2  798.0  0.2240308907271495
400.0  450.6  780.8  0.23958626838781893
450.0  478.2  748.9  0.2709994280436769
500.0  506.8  720.1  0.3025491199788888
550.0  535.9  693.9  0.33427928443144667
600.0  565.1  670.0  0.36586296614989605
650.0  594.3  648.0  0.3974596960699286
700.0  623.5  627.8  0.4290703671893458
800.0  681.3  591.6  0.49174885866669793
900.0  738.5  560.1  0.5536191922251251
1000.0  795.3  532.5  0.6145923933795471
1100.0  851.7  507.9  0.6745101555944136
1200.0  907.8  486.0  0.7333047524733493
1300.0  963.8  466.2  0.7909525459849029
1400.0  1020.0  448.2  0.8475096223642539
1500.0  1075.0  431.8  0.9027607601131099
1600.0  1131.0  416.8  0.9568746521880492
1700.0  1187.0  403.0  1.0097152766993278
1800.0  1243.0  390.2  1.0615208570725305
2000.0  1355.0  367.3  1.1646544423132554
2250.0  1496.0  342.8  1.2802455155164574
2500.0  1638.0  321.8  1.3942987484753762
2750.0  1781.0  303.6  1.4979657572855263
3000.0  1923.0  287.6  1.600518615949218
3250.0  2067.0  273.5  1.692978594076133
3500.0  2210.0  260.9  1.784619141441669
3750.0  2353.0  249.5  1.875657178164496
4000.0  2495.0  239.2  1.9568398708121215
4500.0  2778.0  221.4  2.1178508564108096
5000.0  3057.0  206.3  2.2587217712679886
5500.0  3330.0  193.4  2.389097105602868
6000.0  3597.0  182.2  2.518648069897817
6500.0  3855.0  172.3  2.628625848233255
7000.0  4106.0  163.6  2.747606452896775
8000.0  4582.0  148.9  2.9464801577475455
9000.0  5023.0  136.8  3.1442908978019193
10000.0  5428.0  126.8  3.3126860551522235
11000.0  5799.0  118.3  3.4806314886813285
12000.0  6139.0  110.9  3.6386534720965114
13000.0  6449.0  104.5  3.7867762925739354
14000.0  6733.0  98.91  3.9250623663834947
15000.0  6992.0  93.92  4.063237433377479
16000.0  7230.0  89.46  4.201353841323056
17000.0  7448.0  85.44  4.329689044261724
18000.0  7649.0  81.81  4.448270380721028
20000.0  8006.0  75.47  4.6951585489736125
22500.0  8383.0  68.92  4.991580296859903
25000.0  8699.0  63.51  5.268448144378001
27500.0  8968.0  58.95  5.545385579019732
30000.0  9198.0  55.06  5.812593586343364
