#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  66.41  882.0  0.010795369377654478
11.0  69.65  900.6  0.011447707194019247
12.0  72.75  917.2  0.012190570126126178
13.0  75.72  932.0  0.012842896869476138
14.0  78.58  945.3  0.013457340004622013
15.0  81.34  957.3  0.014071957930579526
16.0  84.0  968.2  0.014776332427229703
17.0  86.59  978.2  0.01546770829825802
18.0  89.1  987.3  0.016082599292402956
20.0  93.92  1003.0  0.017349927953740903
22.5  99.62  1020.0  0.018860805921274943
25.0  105.0  1033.0  0.02033445352105633
27.5  110.1  1044.0  0.02185909421728174
30.0  115.0  1053.0  0.023370280272174745
32.5  119.7  1061.0  0.024844516497609687
35.0  124.2  1067.0  0.02624080791439166
37.5  128.6  1072.0  0.027715338713427264
40.0  132.8  1076.0  0.029140178448321143
45.0  140.9  1081.0  0.03201156041182623
50.0  148.5  1085.0  0.03483360446465453
55.0  155.7  1086.0  0.037705304666585046
60.0  162.7  1086.0  0.04052789163033281
65.0  169.3  1085.0  0.04335077853972175
70.0  175.7  1082.0  0.04613783696707076
80.0  187.8  1076.0  0.05178474678899184
90.0  199.2  1068.0  0.0573964284603145
100.0  210.0  1059.0  0.06308890552228656
110.0  220.3  1049.0  0.06870181948100065
120.0  246.6  1039.0  0.07434789842356003
130.0  269.0  1028.0  0.07991414142690892
140.0  285.4  1017.0  0.0855616736629199
150.0  297.6  1006.0  0.09104680115193504
160.0  307.0  995.3  0.0966143881624264
170.0  314.5  984.7  0.10222866525588604
180.0  320.9  974.1  0.10791297419680361
200.0  331.5  953.5  0.119307543768196
225.0  343.1  928.9  0.13372886748940932
250.0  354.4  905.5  0.14839740563769974
275.0  365.9  883.3  0.16328211782066032
300.0  378.0  862.4  0.17828631467389752
325.0  390.7  842.6  0.1934923254292015
350.0  404.0  823.8  0.20883404894796254
375.0  417.8  806.0  0.224211618789036
400.0  432.1  789.1  0.23974728361339157
450.0  461.8  757.8  0.2709175151222232
500.0  492.4  729.4  0.3022208133137094
550.0  523.6  703.5  0.33357664786372565
600.0  555.0  679.8  0.36490020553570535
650.0  586.5  657.9  0.3962030287617701
700.0  617.9  637.7  0.42724248384260666
800.0  680.3  601.6  0.48882702462118444
900.0  741.8  570.1  0.5495186803012251
1000.0  802.3  542.3  0.609198539065878
1100.0  861.9  517.6  0.6678260102751316
1200.0  920.8  495.5  0.725194670416158
1300.0  979.0  475.5  0.7815089826739038
1400.0  1037.0  457.4  0.8365227432652385
1500.0  1094.0  440.9  0.8904002526953819
1600.0  1151.0  425.7  0.9431205914409886
1700.0  1208.0  411.7  0.9947084648277604
1800.0  1264.0  398.7  1.0451715696477781
2000.0  1377.0  375.5  1.1470728834734085
2250.0  1519.0  350.6  1.2623504505484995
2500.0  1661.0  329.3  1.3670429766470402
2750.0  1804.0  310.7  1.4704456807376465
3000.0  1947.0  294.5  1.5727937181970177
3250.0  2091.0  280.1  1.6650517889843548
3500.0  2235.0  267.2  1.7565731211651852
3750.0  2378.0  255.7  1.8381879582893583
4000.0  2521.0  245.2  1.9285269326612995
4500.0  2805.0  226.9  2.080020432591949
5000.0  3083.0  211.5  2.2207251113093673
5500.0  3356.0  198.3  2.3509784728916596
6000.0  3622.0  186.9  2.4709778833490197
6500.0  3879.0  176.8  2.590345940217252
7000.0  4128.0  167.9  2.699742069161423
8000.0  4598.0  152.8  2.908001409903372
9000.0  5032.0  140.5  3.0961558051881046
10000.0  5431.0  130.2  3.2741124369819676
