#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  66.67  1042.0  0.009949371839468058
11.0  69.93  1068.0  0.01048713497576912
12.0  73.04  1091.0  0.011102252023801298
13.0  76.02  1112.0  0.011717508267545623
14.0  78.89  1131.0  0.012282100797502032
15.0  81.66  1149.0  0.0128195163715329
16.0  84.33  1165.0  0.013435028842544404
17.0  86.93  1180.0  0.013921925154230647
18.0  89.45  1193.0  0.01445925309274307
20.0  94.29  1218.0  0.01556181223379848
22.5  100.0  1244.0  0.01687187008010671
25.0  105.4  1266.0  0.018139735389470266
27.5  110.6  1285.0  0.019450449866262733
30.0  115.5  1302.0  0.020682359633272022
32.5  120.2  1316.0  0.02195017084215975
35.0  124.7  1328.0  0.0231330931783884
37.5  129.1  1339.0  0.024365139031000828
40.0  133.3  1348.0  0.025548581173912576
45.0  141.4  1363.0  0.027964620505202643
50.0  149.1  1375.0  0.03030082507127488
55.0  156.4  1384.0  0.032717426549164895
60.0  163.3  1390.0  0.03500599948580243
65.0  170.0  1394.0  0.03730750594719513
70.0  176.4  1397.0  0.03959646448863838
80.0  188.6  1400.0  0.04426861190505074
90.0  200.0  1399.0  0.04881331785486416
100.0  210.8  1395.0  0.0533586918880139
110.0  221.1  1390.0  0.05803274937481422
120.0  231.0  1383.0  0.06254502378287181
130.0  240.4  1375.0  0.06717365555037183
140.0  252.4  1367.0  0.07168695836761384
150.0  272.2  1358.0  0.07631644645815214
160.0  287.9  1349.0  0.08086717504649214
170.0  300.8  1339.0  0.08541492843759807
180.0  311.6  1329.0  0.08996671606766583
200.0  329.7  1310.0  0.09915023953576714
225.0  349.4  1285.0  0.11064289403301054
250.0  368.5  1261.0  0.1222921501977948
275.0  387.7  1237.0  0.1339554030265297
300.0  407.3  1214.0  0.14577602683569066
325.0  427.2  1191.0  0.15756655736545114
350.0  447.3  1170.0  0.16939084981190689
375.0  467.6  1149.0  0.18131001075506006
400.0  488.0  1129.0  0.19326305906716887
450.0  528.4  1092.0  0.21718457587959603
500.0  568.2  1057.0  0.24119819651067045
550.0  606.9  1025.0  0.26526224759660016
600.0  644.4  994.8  0.2892189136277225
650.0  680.7  966.9  0.31318599904848876
700.0  715.9  940.8  0.3371746876620486
800.0  782.8  893.5  0.3848617803835554
900.0  845.9  851.6  0.4322889195896652
1000.0  905.8  814.2  0.4794502998226198
1100.0  963.4  780.6  0.5262030976723722
1200.0  1019.0  750.2  0.5725232833693316
1300.0  1073.0  722.6  0.6184210216349376
1400.0  1126.0  697.2  0.6638985238724364
1500.0  1178.0  674.0  0.7088094031543317
1600.0  1230.0  652.5  0.753150954324563
1700.0  1281.0  632.6  0.7970534611931623
1800.0  1332.0  614.1  0.8403095977078925
2000.0  1434.0  580.7  0.9252324897019127
2250.0  1561.0  544.5  1.0280994163990174
2500.0  1688.0  513.3  1.1312008000350777
2750.0  1816.0  486.0  1.225206570338243
3000.0  1946.0  461.9  1.3183968636188421
3250.0  2076.0  440.5  1.401708628781317
3500.0  2207.0  421.2  1.4842851814930986
3750.0  2338.0  403.8  1.5663436468412673
4000.0  2469.0  388.0  1.6478721582695668
4500.0  2730.0  360.3  1.800446489068753
5000.0  2987.0  336.8  1.9329124165362486
5500.0  3240.0  316.6  2.0642535527400696
6000.0  3487.0  299.0  2.1947202327403827
6500.0  3728.0  283.4  2.305646904883747
7000.0  3961.0  269.7  2.415963161970811
8000.0  4404.0  246.2  2.625912656582469
9000.0  4815.0  226.9  2.815496918840438
10000.0  5197.0  210.7  2.9946644369611763
11000.0  5549.0  197.0  3.1636383390014733
12000.0  5875.0  185.1  3.3225136779251945
13000.0  6177.0  174.7  3.4811061144412125
14000.0  6456.0  165.5  3.6297745067703584
15000.0  6716.0  157.4  3.768603606111951
16000.0  6958.0  150.1  3.907283697148187
17000.0  7183.0  143.5  4.036143399335558
18000.0  7395.0  137.5  4.1649235022986915
20000.0  7780.0  127.1  4.412634417216092
22500.0  8204.0  116.3  4.709884479475053
25000.0  8578.0  107.3  4.997205461055208
27500.0  8912.0  99.78  5.274685227575196
30000.0  9214.0  93.3  5.532546481503792
