#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  53.95  1080.0  0.009835141076771598
11.0  56.58  1108.0  0.010399038417084533
12.0  59.1  1133.0  0.011014535850411492
13.0  61.51  1155.0  0.011630133275246677
14.0  63.84  1176.0  0.01216757987440395
15.0  66.08  1195.0  0.012732635233917605
16.0  68.24  1213.0  0.01326989073052224
17.0  70.34  1229.0  0.013835461683659133
18.0  72.38  1244.0  0.014372543268329376
20.0  76.3  1271.0  0.01539675290442761
22.5  80.93  1300.0  0.016707184083501324
25.0  85.3  1325.0  0.017939063520708096
27.5  89.47  1346.0  0.01923694362418313
30.0  93.45  1364.0  0.020469000952660098
32.5  97.26  1380.0  0.02165248253665154
35.0  100.9  1394.0  0.022804824051064283
37.5  104.5  1407.0  0.02398853893008076
40.0  107.9  1418.0  0.025220824728783158
45.0  114.4  1436.0  0.02750890764825096
50.0  120.6  1450.0  0.029810233142328828
55.0  126.5  1460.0  0.032179651955855586
60.0  132.2  1469.0  0.03435316579298042
65.0  137.6  1475.0  0.036642461707696444
70.0  142.7  1480.0  0.03894457600231386
80.0  152.6  1485.0  0.0434426058150291
90.0  161.9  1486.0  0.04787264354513964
100.0  170.6  1485.0  0.05241888972498369
110.0  178.9  1481.0  0.056849714159351764
120.0  186.9  1476.0  0.06131688185157494
130.0  194.5  1469.0  0.06583069193013241
140.0  201.9  1462.0  0.07026243662156899
150.0  207.8  1454.0  0.07481370195358601
160.0  210.1  1445.0  0.0793284942501747
170.0  213.5  1436.0  0.08392627717228973
180.0  217.9  1427.0  0.08839621032600889
200.0  228.9  1408.0  0.09767640452023202
225.0  245.4  1384.0  0.10925433629838222
250.0  263.5  1360.0  0.12096222550862729
275.0  282.2  1336.0  0.13274275874788802
300.0  300.8  1313.0  0.14460860970218892
325.0  318.8  1290.0  0.15647581282741432
350.0  336.0  1268.0  0.16851258113268577
375.0  352.3  1247.0  0.18051927874883614
400.0  367.7  1227.0  0.1926431675404036
450.0  395.9  1188.0  0.21700917031314598
500.0  421.0  1152.0  0.241731855575553
550.0  443.6  1118.0  0.26674605901493653
600.0  464.2  1087.0  0.2919794684562598
650.0  483.3  1057.0  0.3174750856366527
700.0  501.2  1030.0  0.34323347738820587
800.0  534.6  979.9  0.3954335595267554
900.0  566.3  935.3  0.44845164733781506
1000.0  597.5  895.4  0.5020645476430297
1100.0  629.1  859.4  0.5561418883702252
1200.0  661.4  826.8  0.6105891089759136
1300.0  694.8  797.0  0.6650989324904981
1400.0  729.5  769.7  0.7196036547989456
1500.0  765.4  744.5  0.7740006718343337
1600.0  802.7  721.3  0.8280277652349588
1700.0  841.3  699.7  0.8816938244084508
1800.0  881.2  679.7  0.9349282860198422
2000.0  964.4  643.4  1.0394424803710882
2250.0  1075.0  604.0  1.1694708204995967
2500.0  1191.0  569.9  1.2874604537615904
2750.0  1312.0  540.0  1.404089858235576
3000.0  1437.0  513.6  1.5193763523235446
3250.0  1565.0  490.1  1.6244394386987777
3500.0  1696.0  468.9  1.7284266197903806
3750.0  1829.0  449.8  1.8223239146759833
4000.0  1963.0  432.4  1.9153612322483715
4500.0  2235.0  401.9  2.090110643004336
5000.0  2506.0  376.0  2.244010846676103
5500.0  2776.0  353.6  2.3960507277601617
6000.0  3042.0  334.1  2.5280573668332766
6500.0  3303.0  316.9  2.6589231673743416
7000.0  3559.0  301.6  2.779529032048415
8000.0  4050.0  275.6  2.9999393593871195
9000.0  4512.0  254.2  3.1994922909736787
10000.0  4946.0  236.2  3.3882357651143464
11000.0  5351.0  220.9  3.5570803772194974
12000.0  5729.0  207.6  3.7252157977760163
13000.0  6081.0  196.0  3.8737874283445133
14000.0  6410.0  185.8  4.021984316229987
15000.0  6717.0  176.7  4.160286759347245
16000.0  7004.0  168.6  4.298418752285542
17000.0  7273.0  161.2  4.426758023655687
18000.0  7525.0  154.6  4.554964461990895
20000.0  7986.0  142.9  4.7918648363659
22500.0  8491.0  130.8  5.078012159300132
25000.0  8934.0  120.8  5.354261626965944
27500.0  9326.0  112.3  5.6109468149323956
30000.0  9677.0  105.0  5.867609504730185
