#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  44.95  8.769  0.15215311367172216
11.0  47.25  8.398  0.16501060571975368
12.0  49.46  8.062  0.17768902611022439
13.0  51.6  7.757  0.19002307754586023
14.0  53.67  7.478  0.2022146631676348
15.0  55.69  7.222  0.2141881649391488
16.0  57.65  6.985  0.22598603939181733
17.0  59.57  6.766  0.23744127695074418
18.0  61.44  6.563  0.24879286565333822
20.0  65.08  6.197  0.27099734316040813
22.5  69.46  5.801  0.29782776902095615
25.0  73.69  5.46  0.3236665722622588
27.5  77.78  5.162  0.34859297181670207
30.0  81.77  4.9  0.3726738654641616
32.5  85.67  4.667  0.3960535443598504
35.0  89.48  4.458  0.4186112994174907
37.5  93.23  4.27  0.4406141509302669
40.0  96.92  4.099  0.46196884094059854
45.0  104.1  3.8  0.5029860932471196
50.0  111.1  3.548  0.5419427460534924
55.0  118.0  3.33  0.5790602213932502
60.0  124.6  3.141  0.6145918483025951
65.0  131.0  2.975  0.6486044326089669
70.0  137.2  2.828  0.6813384548078877
80.0  148.9  2.577  0.7433315141980731
90.0  159.6  2.372  0.8016541710737867
100.0  169.1  2.2  0.8569060683645554
110.0  177.6  2.054  0.9096711658615987
120.0  185.2  1.929  0.9604995106714007
130.0  192.1  1.819  1.0096711246737724
140.0  198.5  1.722  1.061722755713562
150.0  204.7  1.636  1.1014867452675043
160.0  210.6  1.559  1.1507977233206539
170.0  216.3  1.49  1.1904633131684488
180.0  221.9  1.427  1.2397672765483045
200.0  232.7  1.318  1.319027539515381
225.0  245.3  1.205  1.418017168443316
250.0  256.9  1.111  1.516989007870525
275.0  267.1  1.032  1.6061774061416751
300.0  276.1  0.9642  1.695354420172962
325.0  283.8  0.9056  1.7845488505501887
350.0  290.3  0.8544  1.863933263290293
375.0  295.7  0.8091  1.9531544997772194
400.0  300.1  0.7687  2.032563192129583
450.0  306.4  0.6999  2.1914961761317313
500.0  310.0  0.6433  2.3504980323327223
550.0  311.5  0.5958  2.5095690865166476
600.0  311.4  0.5554  2.668715910320917
650.0  310.2  0.5205  2.8279404820469614
700.0  308.2  0.49  2.987222885892514
800.0  302.6  0.4394  3.3061428356923717
900.0  295.7  0.3989  3.645123000668153
1000.0  288.2  0.3657  3.984288636632642
1100.0  280.6  0.3379  4.323625265908229
1200.0  273.1  0.3144  4.682991345283482
1300.0  265.8  0.2941  5.05243819259573
1400.0  258.8  0.2764  5.431965405817677
1500.0  252.0  0.2609  5.821555727638446
1600.0  245.5  0.2472  6.221211702715156
1700.0  239.3  0.2349  6.6309197687801955
1800.0  233.4  0.2238  7.050671963720905
2000.0  222.3  0.2048  7.930763368049762
2250.0  209.8  0.1854  9.08130330073828
2500.0  198.6  0.1695  10.301916361531964
2750.0  188.5  0.1563  11.592580237807285
3000.0  179.4  0.1451  12.95330057128298
3250.0  171.1  0.1355  14.374084336054244
3500.0  163.6  0.1271  15.864913955014064
3750.0  156.7  0.1198  17.42578049672381
4000.0  150.4  0.1134  19.046698146660486
4500.0  139.4  0.1024  22.501247423198564
5000.0  129.9  0.0935  26.215611519855873
5500.0  121.8  0.08609  30.179849815564026
6000.0  114.7  0.07983  34.4034663951178
6500.0  108.5  0.07447  38.88755327865203
7000.0  102.9  0.06982  43.61167962828307
8000.0  93.53  0.06214  53.80899274284923
9000.0  88.08  0.05606  64.81437263447052
10000.0  82.41  0.05112  76.5478608453561
