#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  130.0  1805.0  0.007954872720540537
11.0  136.4  1877.0  0.00828190799272728
12.0  142.4  1943.0  0.008653900854527975
13.0  148.2  2005.0  0.008981091247727082
14.0  153.8  2064.0  0.009353074360871938
15.0  159.2  2119.0  0.009680392554023828
16.0  164.5  2171.0  0.01005236290630218
17.0  169.5  2220.0  0.01037978805178603
18.0  174.4  2267.0  0.010707474025184465
20.0  183.9  2354.0  0.011322985472038723
22.5  195.0  2454.0  0.012106609764917677
25.0  205.6  2543.0  0.012762836675285006
27.5  215.6  2625.0  0.013462540622037136
30.0  225.2  2700.0  0.014162273828732447
32.5  234.4  2769.0  0.01481924424523734
35.0  243.2  2833.0  0.015434053258946595
37.5  251.8  2893.0  0.01606051057718901
40.0  260.0  2949.0  0.01667513118389178
45.0  275.8  3050.0  0.017905027227010855
50.0  290.7  3140.0  0.019019463714836968
55.0  304.9  3221.0  0.020261539921733494
60.0  318.5  3294.0  0.021290608258102913
65.0  331.5  3361.0  0.02240580281980541
70.0  344.0  3421.0  0.023521266972678156
80.0  367.7  3528.0  0.02553938135507593
90.0  390.0  3620.0  0.027568641605998655
100.0  411.1  3699.0  0.02955824757999026
110.0  431.2  3768.0  0.03149047475031141
120.0  450.4  3828.0  0.03348089007180066
130.0  468.8  3882.0  0.03534529671681934
140.0  486.5  3929.0  0.037161673805145
150.0  503.5  3972.0  0.03899820508690112
160.0  520.1  4010.0  0.0408147032330262
170.0  536.1  4044.0  0.04259260499194667
180.0  551.6  4074.0  0.044342417615642025
200.0  581.4  4127.0  0.04787107686275712
225.0  616.7  4179.0  0.05218764221537509
250.0  650.1  4220.0  0.05650486704700756
275.0  681.8  4251.0  0.06075796244114841
300.0  712.1  4275.0  0.06498761420455439
325.0  741.2  4293.0  0.06915338024999212
350.0  769.2  4306.0  0.07323073125403023
375.0  826.4  4315.0  0.07736103670453234
400.0  888.5  4320.0  0.08141259116377515
450.0  973.6  4322.0  0.0894080533285453
500.0  1027.0  4316.0  0.09734284770849885
550.0  1064.0  4304.0  0.10528884081420975
600.0  1094.0  4286.0  0.11311096321754138
650.0  1120.0  4265.0  0.12105940690421377
700.0  1145.0  4242.0  0.12894855563363244
800.0  1194.0  4189.0  0.1449367448233884
900.0  1243.0  4132.0  0.1609290837605186
1000.0  1295.0  4073.0  0.17699101672118844
1100.0  1347.0  4012.0  0.19320455481173318
1200.0  1400.0  3952.0  0.20942144111814343
1300.0  1452.0  3892.0  0.22570879468908606
1400.0  1504.0  3834.0  0.24208091622430714
1500.0  1555.0  3776.0  0.2584555280894568
1600.0  1604.0  3720.0  0.274868586782848
1700.0  1652.0  3665.0  0.2913761314864346
1800.0  1698.0  3612.0  0.3080007467523415
2000.0  1786.0  3510.0  0.3412622158985668
2250.0  1887.0  3390.0  0.38305617081571736
2500.0  1978.0  3280.0  0.425262565951907
2750.0  2062.0  3177.0  0.4676350072438975
3000.0  2138.0  3081.0  0.5102991279631977
3250.0  2209.0  2992.0  0.5533165007479897
3500.0  2275.0  2909.0  0.5964797901018943
3750.0  2337.0  2831.0  0.6398959681073166
4000.0  2396.0  2757.0  0.6834304719574626
4500.0  2505.0  2624.0  0.7713139049699546
5000.0  2606.0  2504.0  0.8598440323686616
5500.0  2703.0  2397.0  0.9487880848745942
6000.0  2798.0  2301.0  1.038081822401298
6500.0  2892.0  2213.0  1.1309635935785025
7000.0  2985.0  2132.0  1.2143376507380472
8000.0  3174.0  1991.0  1.399657965361538
9000.0  3369.0  1870.0  1.5749662218600118
10000.0  3569.0  1765.0  1.7497106189310276
11000.0  3774.0  1673.0  1.9238726802987771
12000.0  3985.0  1591.0  2.0879576552219636
13000.0  4200.0  1519.0  2.251510803882584
14000.0  4418.0  1453.0  2.414570614001587
15000.0  4640.0  1394.0  2.567590942887905
16000.0  4863.0  1340.0  2.7201622837617614
17000.0  5088.0  1291.0  2.8723376977646624
18000.0  5313.0  1246.0  3.0145292236102144
20000.0  5765.0  1166.0  3.298011996642826
22500.0  6326.0  1080.0  3.6314953903316467
25000.0  6880.0  1008.0  3.9344365441572444
27500.0  7422.0  946.4  4.22650286761999
30000.0  7952.0  892.6  4.507921752870162
