#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  159.7  2229.0  0.0073769912566031964
11.0  167.5  2314.0  0.007707788269017255
12.0  175.0  2393.0  0.008038656604184558
13.0  182.1  2466.0  0.008438601779915912
14.0  189.0  2535.0  0.008769264507357502
15.0  195.6  2600.0  0.0091
16.0  202.0  2661.0  0.009407975340103736
17.0  208.3  2719.0  0.009646242791885347
18.0  214.3  2774.0  0.009976973488989535
20.0  225.9  2876.0  0.010584894897919393
22.5  239.6  2991.0  0.011223635774560755
25.0  252.6  3094.0  0.011977478866606278
27.5  264.9  3188.0  0.012586500705120547
30.0  276.7  3274.0  0.01322535443759448
32.5  288.0  3353.0  0.01388632420765121
35.0  298.8  3426.0  0.014402777509911067
37.5  309.3  3493.0  0.015041608956491325
40.0  319.5  3556.0  0.015651517498313065
45.0  338.8  3670.0  0.016714065932620946
50.0  357.2  3771.0  0.017863370342687295
55.0  374.6  3861.0  0.018925908168434084
60.0  391.3  3941.0  0.019988496691847542
65.0  407.2  4014.0  0.021023320384753692
70.0  422.6  4079.0  0.02196474447836806
80.0  451.8  4195.0  0.023947860029656095
90.0  479.2  4292.0  0.025952263870421786
100.0  505.1  4374.0  0.027835947980983156
110.0  529.8  4446.0  0.029605067133853965
120.0  553.3  4508.0  0.03137451194839531
130.0  575.9  4561.0  0.03325898374875577
140.0  597.7  4608.0  0.03493436703305214
150.0  618.6  4650.0  0.03670435941410775
160.0  638.9  4686.0  0.038474537034251625
170.0  658.6  4718.0  0.04015021793216072
180.0  677.7  4747.0  0.04182594888343838
200.0  714.3  4793.0  0.04515240857362983
225.0  757.7  4837.0  0.049307605904160466
250.0  798.7  4869.0  0.053368436364577894
275.0  837.6  4890.0  0.057405313342930205
300.0  874.9  4904.0  0.06146690166260213
325.0  910.6  4911.0  0.06540955587679831
350.0  945.0  4913.0  0.06942910052708448
375.0  1009.0  4911.0  0.0733006821250662
400.0  1079.0  4906.0  0.077225578664067
450.0  1180.0  4887.0  0.08486235914703291
500.0  1250.0  4860.0  0.09254150420216868
550.0  1302.0  4828.0  0.10018033739212501
600.0  1345.0  4791.0  0.10782008161747977
650.0  1383.0  4752.0  0.11532480218929492
700.0  1418.0  4711.0  0.12296609288742975
800.0  1486.0  4625.0  0.1383070858633064
900.0  1554.0  4538.0  0.15372969784657745
1000.0  1624.0  4450.0  0.16915463339796522
1100.0  1695.0  4364.0  0.18465676267063713
1200.0  1767.0  4281.0  0.2002572345759324
1300.0  1837.0  4200.0  0.2159354070086701
1400.0  1907.0  4121.0  0.23163559743700882
1500.0  1975.0  4045.0  0.24728095357305624
1600.0  2042.0  3972.0  0.26306041131268687
1700.0  2107.0  3902.0  0.27880568502094794
1800.0  2169.0  3834.0  0.294645227349774
2000.0  2288.0  3706.0  0.3263169624766693
2250.0  2425.0  3558.0  0.36601782743467565
2500.0  2550.0  3424.0  0.4059796177149784
2750.0  2665.0  3300.0  0.4459148237051556
3000.0  2770.0  3187.0  0.4860146191216886
3250.0  2867.0  3083.0  0.5262798020064993
3500.0  2957.0  2986.0  0.5665191523682144
3750.0  3042.0  2896.0  0.6069277798881841
4000.0  3122.0  2812.0  0.6474058541595064
4500.0  3271.0  2661.0  0.7284606372344358
5000.0  3408.0  2528.0  0.8096338184636311
5500.0  3538.0  2409.0  0.8908334805113693
6000.0  3663.0  2303.0  0.9718607873558847
6500.0  3785.0  2208.0  1.0504784148186959
7000.0  3906.0  2121.0  1.1312922920271313
8000.0  4145.0  1969.0  1.2928250036257807
9000.0  4386.0  1841.0  1.4541516358344475
10000.0  4631.0  1731.0  1.6054119097602337
11000.0  4880.0  1635.0  1.7564910048161364
12000.0  5134.0  1550.0  1.9073837002554048
13000.0  5392.0  1475.0  2.048270631532855
14000.0  5653.0  1408.0  2.1889957606171833
15000.0  5917.0  1348.0  2.3197041988150127
16000.0  6184.0  1293.0  2.4601740263648018
17000.0  6452.0  1243.0  2.590659925578809
18000.0  6721.0  1198.0  2.7111519064781304
20000.0  7260.0  1117.0  2.9519556043409594
22500.0  7930.0  1032.0  3.2327702578438826
25000.0  8592.0  960.3  3.503287969893426
27500.0  9240.0  899.1  3.753661930701805
30000.0  9872.0  846.1  3.983964701148844
