#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  110.4  1555.0  0.008324061508662705
11.0  115.8  1608.0  0.0087783825389419
12.0  121.0  1657.0  0.009150956234186677
13.0  125.9  1702.0  0.009592184318495971
14.0  130.7  1745.0  0.009964436762808022
15.0  135.2  1784.0  0.010419213022104884
16.0  139.7  1821.0  0.010745696813143388
17.0  144.0  1856.0  0.01111800341788039
18.0  148.2  1889.0  0.011477369036499612
20.0  156.2  1950.0  0.01230447073221762
22.5  165.6  2017.0  0.013119070088996399
25.0  174.6  2078.0  0.014029611541307906
27.5  183.1  2132.0  0.014844527611210807
30.0  191.3  2180.0  0.015627539793582355
32.5  199.1  2225.0  0.016455090397806998
35.0  206.6  2266.0  0.017186331778480248
37.5  213.8  2303.0  0.01796969671419081
40.0  220.9  2337.0  0.018753399691789224
45.0  234.3  2399.0  0.020268448386593384
50.0  246.9  2452.0  0.02162452311612906
55.0  259.0  2498.0  0.023108656386730927
60.0  270.5  2539.0  0.024508161905781513
65.0  281.5  2575.0  0.02586503431275513
70.0  292.2  2608.0  0.027222233560088342
80.0  312.3  2662.0  0.029893979326948095
90.0  331.3  2707.0  0.03249323006412259
100.0  349.2  2743.0  0.035093161727037366
110.0  366.3  2773.0  0.037652357163927994
120.0  382.5  2797.0  0.04016727523743675
130.0  398.2  2817.0  0.04264141179651537
140.0  413.2  2834.0  0.0451566163479949
150.0  427.7  2847.0  0.04763129223525224
160.0  441.7  2858.0  0.049990199039411716
170.0  455.3  2867.0  0.0524654171812252
180.0  468.5  2873.0  0.054824811901182116
200.0  493.9  2882.0  0.05966020449177157
225.0  523.8  2886.0  0.06561287983315471
250.0  552.2  2884.0  0.07149839159030083
275.0  572.7  2878.0  0.07745275979589107
300.0  590.4  2868.0  0.08346699946685517
325.0  607.4  2856.0  0.0893555258503916
350.0  624.1  2842.0  0.09524484238004702
375.0  640.7  2827.0  0.10123369004437209
400.0  657.4  2811.0  0.10712427362647553
450.0  691.1  2776.0  0.11905637320194161
500.0  724.9  2739.0  0.13111723761580704
550.0  758.3  2701.0  0.14316892120848018
600.0  791.1  2664.0  0.15522064939949196
650.0  823.0  2626.0  0.16742714833622413
700.0  853.7  2589.0  0.17959827393379926
800.0  911.5  2517.0  0.20412383496299497
900.0  964.0  2448.0  0.2289235025068418
1000.0  1011.0  2383.0  0.2538465284379521
1100.0  1054.0  2321.0  0.2790344423185066
1200.0  1092.0  2263.0  0.30447318436932996
1300.0  1127.0  2208.0  0.3301224166881129
1400.0  1158.0  2155.0  0.355932479551951
1500.0  1187.0  2106.0  0.38200903130685276
1600.0  1213.0  2059.0  0.40832862990488433
1700.0  1237.0  2015.0  0.434777529318156
1800.0  1259.0  1973.0  0.46156137186727403
2000.0  1300.0  1894.0  0.5157371617403578
2250.0  1345.0  1806.0  0.5844772279567444
2500.0  1387.0  1727.0  0.6543926955582557
2750.0  1428.0  1656.0  0.7252421181922627
3000.0  1468.0  1592.0  0.7969643028392175
3250.0  1507.0  1533.0  0.8692850970769026
3500.0  1548.0  1480.0  0.942329034891741
3750.0  1589.0  1430.0  1.015644396430168
4000.0  1632.0  1385.0  1.0862866840756171
4500.0  1723.0  1303.0  1.233279984431759
5000.0  1820.0  1232.0  1.3798228908088168
5500.0  1924.0  1170.0  1.5259034962932616
6000.0  2035.0  1114.0  1.6714365228748593
6500.0  2152.0  1065.0  1.816447081530315
7000.0  2276.0  1020.0  1.9514922751576549
8000.0  2539.0  942.4  2.2199528305799654
9000.0  2821.0  877.4  2.4768398111303043
10000.0  3116.0  822.1  2.712851286008874
11000.0  3421.0  774.2  2.9376534308866318
12000.0  3732.0  732.3  3.1514563046312416
13000.0  4047.0  695.3  3.354474996180475
14000.0  4363.0  662.3  3.5468914516799073
15000.0  4679.0  632.8  3.728818688271126
16000.0  4993.0  606.1  3.9003645393732107
17000.0  5303.0  581.8  4.061670939404126
18000.0  5609.0  559.7  4.2127987621057805
20000.0  6204.0  520.6  4.5041065817762345
22500.0  6914.0  479.7  4.844644623705644
25000.0  7580.0  445.4  5.154596070498638
27500.0  8205.0  416.2  5.434345135340596
30000.0  8788.0  391.0  5.703554163852571
