#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  123.8  2012.0  0.007433707016018321
11.0  129.8  2078.0  0.0077646635471216655
12.0  135.6  2139.0  0.008185963596303126
13.0  141.1  2195.0  0.008517041739947034
14.0  146.4  2247.0  0.008913472948295743
15.0  151.6  2295.0  0.009244457799135653
16.0  156.6  2341.0  0.009575489543621257
17.0  161.4  2383.0  0.009906563480844406
18.0  166.1  2424.0  0.01021273714534943
20.0  175.0  2497.0  0.010874741376235116
22.5  185.7  2579.0  0.011719214990774768
25.0  195.7  2651.0  0.012480785231707179
27.5  205.2  2715.0  0.013234047000067667
30.0  214.4  2773.0  0.013987494414654827
32.5  223.1  2826.0  0.014716996976285616
35.0  231.6  2873.0  0.015378881623837283
37.5  239.7  2917.0  0.01610869330516911
40.0  247.5  2957.0  0.016770509831248424
45.0  262.6  3027.0  0.01813118859865508
50.0  276.8  3088.0  0.019431160541768987
55.0  290.3  3140.0  0.020769448716805174
60.0  303.2  3186.0  0.022069435878608226
65.0  315.6  3226.0  0.02324672019877213
70.0  327.5  3261.0  0.02449367265234024
80.0  350.1  3319.0  0.02694828380435385
90.0  371.3  3364.0  0.029373627627516493
100.0  391.4  3400.0  0.031706466217476845
110.0  410.5  3429.0  0.03401734851513269
120.0  428.8  3451.0  0.03635065336414189
130.0  446.3  3468.0  0.03866225549550879
140.0  463.1  3481.0  0.04099585344885504
150.0  479.4  3490.0  0.04318634043305823
160.0  495.1  3497.0  0.045520215289473316
170.0  510.3  3501.0  0.047739082521556696
180.0  525.1  3503.0  0.04993035149085174
200.0  553.5  3501.0  0.05443509897116015
225.0  587.1  3492.0  0.060024161801727816
250.0  618.9  3477.0  0.06556599728517824
275.0  640.7  3457.0  0.07113543420827627
300.0  661.0  3434.0  0.07665859377786682
325.0  681.5  3409.0  0.08220267635545694
350.0  702.3  3382.0  0.08784173267872168
375.0  723.5  3354.0  0.09339309396309772
400.0  745.1  3326.0  0.09903302479476228
450.0  789.0  3267.0  0.11038949225356552
500.0  833.7  3209.0  0.12172243014333883
550.0  878.6  3151.0  0.13308211750644788
600.0  923.1  3093.0  0.14458952244198056
650.0  966.8  3038.0  0.156117071456007
700.0  1009.0  2984.0  0.1676457276520938
800.0  1090.0  2881.0  0.19094978397474033
900.0  1165.0  2785.0  0.21442541826938336
1000.0  1233.0  2695.0  0.23809624104550664
1100.0  1296.0  2612.0  0.26191597889399576
1200.0  1354.0  2534.0  0.28593128545159235
1300.0  1407.0  2462.0  0.3100065321892428
1400.0  1455.0  2394.0  0.33429425660636175
1500.0  1500.0  2330.0  0.3587553762663356
1600.0  1541.0  2270.0  0.3833738775660126
1700.0  1580.0  2214.0  0.40810858849085746
1800.0  1616.0  2161.0  0.43300144341560803
2000.0  1681.0  2063.0  0.4832188841508577
2250.0  1754.0  1955.0  0.5466425706071564
2500.0  1820.0  1859.0  0.6107146796991211
2750.0  1881.0  1774.0  0.6754242370540163
3000.0  1940.0  1698.0  0.7405595789671484
3250.0  1997.0  1629.0  0.8060590176903923
3500.0  2053.0  1566.0  0.8719045704662868
3750.0  2109.0  1508.0  0.9377756234835708
4000.0  2166.0  1456.0  1.003738023589821
4500.0  2285.0  1362.0  1.1385824036932946
5000.0  2409.0  1282.0  1.2704011649868714
5500.0  2541.0  1212.0  1.3922534252067762
6000.0  2681.0  1150.0  1.5236594698291346
6500.0  2827.0  1095.0  1.6450961825984523
7000.0  2981.0  1046.0  1.7663400040762254
8000.0  3306.0  961.7  1.9985659783955094
9000.0  3651.0  891.5  2.220295757326037
10000.0  4010.0  832.0  2.4217772399624207
11000.0  4380.0  780.9  2.622752533122407
12000.0  4757.0  736.5  2.8036218664434758
13000.0  5137.0  697.5  2.9742864421571773
14000.0  5517.0  662.8  3.134803612668583
15000.0  5895.0  631.9  3.2950664469779665
16000.0  6270.0  604.0  3.4354059396234384
17000.0  6640.0  578.8  3.57556936025579
18000.0  7004.0  555.9  3.705708791850758
20000.0  7709.0  515.6  3.9558209527227093
22500.0  8545.0  473.6  4.2358532033109935
25000.0  9326.0  438.5  4.505598016911851
27500.0  10050.0  408.8  4.74534281691007
30000.0  10720.0  383.2  4.974987489431506
