#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  57.74  1470.0  0.008616843969807044
11.0  60.56  1518.0  0.00898943824718764
12.0  63.25  1563.0  0.009476813810558905
13.0  65.83  1604.0  0.009929753269845128
14.0  68.32  1643.0  0.010336827366266692
15.0  70.72  1679.0  0.01078981000759513
16.0  73.04  1713.0  0.011162437009900661
17.0  75.28  1744.0  0.011602154972245458
18.0  77.47  1774.0  0.011974556359214315
20.0  81.66  1829.0  0.0127534309109353
22.5  86.61  1889.0  0.01374227055475186
25.0  91.3  1943.0  0.014555411364849846
27.5  95.75  1992.0  0.015497419139972953
30.0  100.0  2035.0  0.01643958636949239
32.5  104.1  2074.0  0.01729971098024473
35.0  108.0  2110.0  0.018080376102282827
37.5  111.8  2143.0  0.018940432941197516
40.0  115.5  2173.0  0.019721561804279093
45.0  122.5  2227.0  0.021363052216385188
50.0  129.1  2273.0  0.023004782111552373
55.0  135.4  2313.0  0.024518564395168002
60.0  141.4  2348.0  0.02607738483820799
65.0  147.2  2378.0  0.027559027559041337
70.0  152.8  2406.0  0.029073355499494725
80.0  163.3  2451.0  0.03207039132907486
90.0  173.2  2487.0  0.034952253146256544
100.0  182.6  2516.0  0.03786634389533799
110.0  191.5  2539.0  0.04062129983149235
120.0  200.0  2558.0  0.04350448252766605
130.0  208.2  2573.0  0.04626024210918053
140.0  216.0  2584.0  0.0491012219807206
150.0  223.6  2593.0  0.051857689882986495
160.0  231.0  2600.0  0.05461437539695936
170.0  238.1  2605.0  0.05737124715395335
180.0  245.0  2608.0  0.060128279536337974
200.0  258.2  2611.0  0.06561234639913438
225.0  273.9  2608.0  0.0725408160968706
250.0  303.5  2601.0  0.07938469625815796
275.0  327.3  2590.0  0.0861879341903494
300.0  345.0  2577.0  0.0930899564937056
325.0  359.4  2562.0  0.0998948947644473
350.0  372.3  2545.0  0.10679854867927747
375.0  384.7  2527.0  0.1136622188768106
400.0  397.0  2509.0  0.12061351499728379
450.0  422.4  2471.0  0.13458744369368192
500.0  448.8  2433.0  0.1486220710392639
550.0  476.1  2394.0  0.16279376523687877
600.0  504.0  2356.0  0.17703530721299637
650.0  532.0  2318.0  0.19138659827689086
700.0  560.1  2282.0  0.20585543471086695
800.0  615.3  2211.0  0.23494703658484395
900.0  668.6  2145.0  0.26434861452256564
1000.0  719.5  2082.0  0.2939071622128321
1100.0  768.0  2024.0  0.32368961985210465
1200.0  814.1  1969.0  0.35361924438582243
1300.0  858.0  1917.0  0.3838224850109748
1400.0  900.1  1869.0  0.41413728400133215
1500.0  940.4  1823.0  0.444601270803402
1600.0  979.2  1780.0  0.47512529926325753
1700.0  1017.0  1739.0  0.505889325841137
1800.0  1053.0  1700.0  0.5366243006051813
2000.0  1124.0  1629.0  0.5984579350296895
2250.0  1209.0  1549.0  0.6760116345152649
2500.0  1291.0  1478.0  0.7536217685284842
2750.0  1373.0  1415.0  0.831159852254667
3000.0  1453.0  1357.0  0.908364623925877
3250.0  1535.0  1305.0  0.9849993502535929
3500.0  1616.0  1258.0  1.0610988361128288
3750.0  1699.0  1214.0  1.1398584868307118
4000.0  1782.0  1174.0  1.2135806524496016
4500.0  1952.0  1103.0  1.3602217833868124
5000.0  2125.0  1041.0  1.4965598551344346
5500.0  2302.0  986.2  1.6318908327458672
6000.0  2482.0  938.1  1.7662878417743808
6500.0  2664.0  895.2  1.8998853254867778
7000.0  2847.0  856.7  2.023372076509904
8000.0  3214.0  790.1  2.259036894342365
9000.0  3578.0  734.4  2.4736418435173673
10000.0  3935.0  687.0  2.67700274374159
11000.0  4284.0  646.2  2.8694626151946987
12000.0  4623.0  610.6  3.0512762247951266
13000.0  4950.0  579.2  3.2226397269940055
14000.0  5265.0  551.2  3.38367758511357
15000.0  5569.0  526.2  3.5441419300022394
16000.0  5860.0  503.6  3.694524116851858
17000.0  6139.0  483.1  3.834855329735399
18000.0  6407.0  464.5  3.9748593748710155
20000.0  6911.0  431.6  4.244468591001705
22500.0  7486.0  397.2  4.553813080265812
25000.0  8008.0  368.5  4.852535232226552
27500.0  8486.0  344.0  5.131235216787474
30000.0  8925.0  322.9  5.390015507398842
