#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  175.4  2266.0  0.0073769912566031964
11.0  184.0  2354.0  0.007707788269017255
12.0  192.2  2437.0  0.008108020720249796
13.0  200.0  2514.0  0.008438601779915912
14.0  207.6  2586.0  0.008769264507357502
15.0  214.9  2654.0  0.009047098982546837
16.0  221.9  2719.0  0.009377632963600144
17.0  228.7  2780.0  0.009615612304996494
18.0  235.4  2838.0  0.009923708984044223
20.0  248.1  2946.0  0.010532805893967665
22.5  263.1  3068.0  0.011193748255164577
25.0  277.4  3178.0  0.011832582135780848
27.5  290.9  3278.0  0.012442266674525186
30.0  303.9  3370.0  0.013081284340614266
32.5  316.3  3455.0  0.013713132391981053
35.0  328.2  3533.0  0.014258681565979375
37.5  339.7  3606.0  0.014869095466772685
40.0  350.9  3675.0  0.015414603465545264
45.0  372.1  3798.0  0.01654267209370965
50.0  392.3  3908.0  0.01760539689981456
55.0  411.4  4006.0  0.018546697819288478
60.0  429.7  4095.0  0.019609436503887613
65.0  447.3  4175.0  0.020644854080375575
70.0  464.1  4248.0  0.02158656989889779
80.0  496.2  4376.0  0.02347637109946936
90.0  526.3  4486.0  0.025265985039178665
100.0  554.8  4580.0  0.027129688534887383
110.0  581.8  4662.0  0.028805034282222267
120.0  607.7  4733.0  0.030595097646518472
130.0  632.5  4796.0  0.032244999612343
140.0  656.4  4852.0  0.03392064268259079
150.0  679.4  4901.0  0.03559634812730093
160.0  701.7  4945.0  0.03722727494727489
170.0  723.3  4984.0  0.03880837538470272
180.0  744.3  5019.0  0.040459485908745804
200.0  784.6  5079.0  0.04359701824666453
225.0  832.2  5137.0  0.04742436082858682
250.0  877.2  5181.0  0.051271532062149267
275.0  920.0  5214.0  0.055100090744026914
300.0  960.9  5238.0  0.05883383380334823
325.0  1000.0  5254.0  0.06256308815907348
350.0  1038.0  5265.0  0.06629736043011064
375.0  1074.0  5271.0  0.0699132319378814
400.0  1139.0  5273.0  0.07351115561600158
450.0  1277.0  5267.0  0.08076719631137384
500.0  1373.0  5252.0  0.08779174220847882
550.0  1444.0  5229.0  0.09479477833720591
600.0  1500.0  5200.0  0.1018207248059058
650.0  1546.0  5168.0  0.1088078581721008
700.0  1587.0  5133.0  0.11581316850859405
800.0  1661.0  5057.0  0.12971202719871433
900.0  1732.0  4977.0  0.1437883861791348
1000.0  1802.0  4895.0  0.1578459375467104
1100.0  1873.0  4813.0  0.17190538095126634
1200.0  1944.0  4731.0  0.1860467145638428
1300.0  2016.0  4652.0  0.2002822258713938
1400.0  2087.0  4574.0  0.21450340323640557
1500.0  2158.0  4498.0  0.22872605885644076
1600.0  2228.0  4424.0  0.2429304838837646
1700.0  2296.0  4353.0  0.257233162714297
1800.0  2364.0  4284.0  0.27153706929257376
2000.0  2495.0  4152.0  0.30022614809506515
2250.0  2650.0  3999.0  0.33604147065503687
2500.0  2795.0  3859.0  0.37200178763011343
2750.0  2930.0  3729.0  0.40783790897855493
3000.0  3057.0  3608.0  0.44383867564690666
3250.0  3175.0  3497.0  0.4797155302885242
3500.0  3286.0  3393.0  0.5156606442225351
3750.0  3391.0  3296.0  0.5515965010766475
4000.0  3489.0  3206.0  0.5875035829677978
4500.0  3671.0  3041.0  0.659397763114192
5000.0  3837.0  2896.0  0.7311046983845747
5500.0  3989.0  2766.0  0.8027504842726662
6000.0  4132.0  2649.0  0.8741401775459129
6500.0  4268.0  2543.0  0.9453760204278507
7000.0  4398.0  2446.0  1.0162716664357028
8000.0  4646.0  2277.0  1.159871898099096
9000.0  4884.0  2133.0  1.3010268329285142
10000.0  5119.0  2009.0  1.4321804530156106
11000.0  5352.0  1901.0  1.573035441431629
12000.0  5585.0  1805.0  1.7039097217869261
13000.0  5821.0  1720.0  1.834666051356486
14000.0  6059.0  1643.0  1.9652971200304548
15000.0  6300.0  1575.0  2.0859534151078254
16000.0  6543.0  1512.0  2.2065265418752613
17000.0  6788.0  1455.0  2.326997387192345
18000.0  7036.0  1403.0  2.4473902365581175
20000.0  7536.0  1310.0  2.6781665538199824
22500.0  8167.0  1212.0  2.9489960410282
25000.0  8800.0  1129.0  3.1996491448282263
27500.0  9429.0  1058.0  3.4401207086379983
30000.0  10050.0  996.8  3.6704391726331607
