#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  99.03  626.8  0.012559060474414479
11.0  103.9  635.7  0.013507405376311173
12.0  108.5  643.3  0.014362102910089457
13.0  112.9  649.8  0.01519638114815498
14.0  117.2  655.4  0.016090991268408544
15.0  121.3  660.3  0.016871573726241425
16.0  125.3  664.5  0.017727097901235837
17.0  129.1  668.1  0.018560980577544926
18.0  132.9  671.3  0.019341664871463368
20.0  140.1  676.3  0.02097832214453768
22.5  148.6  680.7  0.02302542073448388
25.0  156.6  683.4  0.024958164996649896
27.5  164.2  685.0  0.026877685912295352
30.0  171.5  685.6  0.02888667512885483
32.5  178.5  685.5  0.030819798831270784
35.0  185.3  684.7  0.032701223218711564
37.5  191.8  683.5  0.03458294377290633
40.0  198.1  681.9  0.03655475345286848
45.0  210.1  677.9  0.040395791860044036
50.0  221.4  672.9  0.04416084238326982
55.0  232.3  667.5  0.04793891947050956
60.0  242.6  661.7  0.05170473866097768
65.0  252.5  655.6  0.05547089326845206
70.0  262.0  649.4  0.05922744296354521
80.0  283.8  637.0  0.06679004416827407
90.0  313.5  624.6  0.07420067385138764
100.0  336.2  612.5  0.08155157877073872
110.0  354.5  600.8  0.08886692298037556
120.0  370.3  589.5  0.0962630250927115
130.0  384.8  578.7  0.10354424175201633
140.0  398.3  568.3  0.11085851343040823
150.0  411.2  558.3  0.11817448963291528
160.0  423.6  548.7  0.12557213066600406
170.0  435.5  539.5  0.13297131269563373
180.0  447.1  530.7  0.1403249443256615
200.0  469.4  514.0  0.15503654407912995
225.0  496.1  495.0  0.17342704518038704
250.0  521.8  477.6  0.19182789161120448
275.0  546.8  461.7  0.21019255457793934
300.0  571.2  447.0  0.2284793426110991
325.0  595.1  433.5  0.24674047094062215
350.0  618.6  421.0  0.2648789157332082
375.0  641.7  409.3  0.2828306206901933
400.0  664.5  398.5  0.30078877971094603
450.0  709.2  378.7  0.3362410444904072
500.0  753.0  361.3  0.3711377372351133
550.0  795.9  345.7  0.4055839247307516
600.0  838.0  331.6  0.4393459456965547
650.0  879.5  318.9  0.47253733185855273
700.0  920.4  307.3  0.5051348433834277
800.0  1000.0  286.9  0.5687070511256213
900.0  1078.0  269.6  0.6300423795269648
1000.0  1155.0  254.5  0.6892168454122403
1100.0  1230.0  241.3  0.7463878482397741
1200.0  1303.0  229.7  0.8016567407562916
1300.0  1375.0  219.3  0.8550865043959003
1400.0  1446.0  209.9  0.9069179786507708
1500.0  1517.0  201.5  0.9571826732656625
1600.0  1586.0  193.8  1.0059393818714923
1700.0  1655.0  186.7  1.053307224887402
1800.0  1723.0  180.2  1.0956024689639943
2000.0  1857.0  168.7  1.1870731443344174
2250.0  2021.0  156.6  1.2888636933361106
2500.0  2180.0  146.2  1.3897416054792344
2750.0  2336.0  137.3  1.4805629233504396
3000.0  2486.0  129.6  1.570760401843642
3250.0  2633.0  122.8  1.6511702032195228
3500.0  2775.0  116.8  1.7311849034692972
3750.0  2913.0  111.4  1.8108921392507065
4000.0  3047.0  106.5  1.8903495682016065
4500.0  3301.0  98.11  2.0297876859415616
5000.0  3540.0  91.07  2.15909471769999
5500.0  3763.0  85.08  2.2879494050349978
6000.0  3972.0  79.91  2.406935597393499
6500.0  4167.0  75.4  2.5160894817156247
7000.0  4349.0  71.42  2.6250156951911734
8000.0  4679.0  64.72  2.8329801005301825
9000.0  4968.0  59.28  3.0308986918074314
10000.0  5221.0  54.76  3.218957775429805
