#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  57.94  1617.0  0.008405950273467005
11.0  60.77  1675.0  0.008860586888011425
12.0  63.47  1728.0  0.009266067126888301
13.0  66.06  1777.0  0.0097205966895042
14.0  68.56  1823.0  0.010046890066085126
15.0  70.96  1866.0  0.010419213022104884
16.0  73.29  1907.0  0.010906878563548786
17.0  75.55  1945.0  0.011233432244866216
18.0  77.74  1981.0  0.011605602095539895
20.0  81.94  2048.0  0.01230447073221762
22.5  86.91  2123.0  0.013202272531651512
25.0  91.62  2189.0  0.014029611541307906
27.5  96.09  2250.0  0.014844527611210807
30.0  100.4  2304.0  0.015671949463930773
32.5  104.5  2354.0  0.016455090397806998
35.0  108.4  2400.0  0.017270205557549104
37.5  112.2  2442.0  0.01796969671419081
40.0  115.9  2481.0  0.018753399691789224
45.0  122.9  2552.0  0.020237094653136355
50.0  129.6  2613.0  0.02162452311612906
55.0  135.9  2667.0  0.023023900625219872
60.0  141.9  2715.0  0.024380525014855606
65.0  147.7  2757.0  0.025749174744057333
70.0  153.3  2796.0  0.027106272336859603
80.0  163.9  2861.0  0.029735836964847655
90.0  173.8  2916.0  0.03233542948531842
100.0  183.2  2961.0  0.03484982065950986
110.0  192.2  2999.0  0.03732304917875816
120.0  200.7  3030.0  0.039837921632535
130.0  208.9  3057.0  0.042311936850019057
140.0  216.8  3080.0  0.04467034810699375
150.0  224.4  3099.0  0.04714509518497126
160.0  231.8  3116.0  0.049544626348374046
170.0  238.9  3129.0  0.051933033803158474
180.0  245.8  3141.0  0.054379132026909
200.0  259.1  3158.0  0.05908747752273742
225.0  274.9  3171.0  0.06492426356917728
250.0  289.7  3177.0  0.07084927663709772
275.0  303.9  3178.0  0.07671596965430341
300.0  330.0  3174.0  0.08260320817014312
325.0  353.2  3168.0  0.08841476121101047
350.0  372.8  3159.0  0.09421576301235371
375.0  389.9  3147.0  0.1000172485124441
400.0  405.1  3135.0  0.10590722354967107
450.0  431.8  3106.0  0.1175459484627182
500.0  455.4  3073.0  0.12930212681932188
550.0  477.4  3039.0  0.14114836166247205
600.0  498.4  3004.0  0.1529694413927174
650.0  518.9  2968.0  0.16499603025527615
700.0  539.1  2932.0  0.1769977400985674
800.0  579.0  2861.0  0.20138771064789432
900.0  618.5  2792.0  0.2260506359203619
1000.0  657.7  2726.0  0.25098673271709004
1100.0  696.4  2662.0  0.27622130620211033
1200.0  734.5  2602.0  0.3016687090170275
1300.0  771.9  2544.0  0.3273499198105905
1400.0  808.7  2489.0  0.3531904585347685
1500.0  844.8  2436.0  0.3793299487253808
1600.0  880.2  2386.0  0.4055840973213817
1700.0  914.9  2338.0  0.4319672325535816
1800.0  949.1  2293.0  0.45846633464192327
2000.0  1016.0  2207.0  0.5119777631889886
2250.0  1096.0  2111.0  0.5793659551613298
2500.0  1174.0  2024.0  0.6472138286532513
2750.0  1251.0  1945.0  0.7154686156638878
3000.0  1326.0  1873.0  0.7837992217398536
3250.0  1399.0  1808.0  0.8521836715168862
3500.0  1472.0  1747.0  0.9205850422421603
3750.0  1544.0  1691.0  0.9887450834264613
4000.0  1616.0  1640.0  1.0566273988497554
4500.0  1757.0  1547.0  1.1946557830605435
5000.0  1898.0  1465.0  1.321208303031736
5500.0  2038.0  1394.0  1.4564736351887733
6000.0  2177.0  1330.0  1.5818264285312722
6500.0  2317.0  1272.0  1.7159496059033903
7000.0  2458.0  1221.0  1.830772539121122
8000.0  2739.0  1130.0  2.077783927649841
9000.0  3022.0  1054.0  2.3041273510810987
10000.0  3305.0  989.5  2.5193954374016
11000.0  3588.0  933.2  2.7333487336964524
12000.0  3870.0  883.8  2.9270675325314928
13000.0  4149.0  840.0  3.1197969437128434
14000.0  4425.0  801.0  3.302152510106098
15000.0  4698.0  765.9  3.474175450376679
16000.0  4967.0  734.2  3.6359677790101497
17000.0  5231.0  705.3  3.797240394023007
18000.0  5489.0  678.9  3.9580107453113365
20000.0  5990.0  632.4  4.249608514910521
22500.0  6583.0  583.4  4.59072931025126
25000.0  7139.0  542.3  4.91107351706325
27500.0  7658.0  507.2  5.210984492396806
30000.0  8143.0  476.9  5.5004259853215
