# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.511000e+00  7.830000e+00  5.000000e-04
1.099990e-02  1.585000e+00  8.209000e+00  5.000000e-04
1.199990e-02  1.655000e+00  8.566000e+00  5.000000e-04
1.299990e-02  1.723000e+00  8.905000e+00  6.000000e-04
1.399990e-02  1.788000e+00  9.227000e+00  6.000000e-04
1.499990e-02  1.851000e+00  9.535000e+00  6.000000e-04
1.599990e-02  1.912000e+00  9.830000e+00  6.000000e-04
1.699990e-02  1.970000e+00  1.011000e+01  6.000000e-04
1.799990e-02  2.028000e+00  1.038000e+01  7.000000e-04
1.999990e-02  2.137000e+00  1.090000e+01  7.000000e-04
2.249990e-02  2.267000e+00  1.149000e+01  7.000000e-04
2.499990e-02  2.389000e+00  1.204000e+01  8.000000e-04
2.749990e-02  2.506000e+00  1.255000e+01  8.000000e-04
2.999990e-02  2.618000e+00  1.303000e+01  9.000000e-04
3.249990e-02  2.724000e+00  1.348000e+01  9.000000e-04
3.499990e-02  2.827000e+00  1.391000e+01  9.000000e-04
3.749990e-02  2.926000e+00  1.431000e+01  1.000000e-03
3.999990e-02  3.022000e+00  1.469000e+01  1.000000e-03
4.499990e-02  3.206000e+00  1.540000e+01  1.100000e-03
4.999990e-02  3.379000e+00  1.605000e+01  1.100000e-03
5.499990e-02  3.544000e+00  1.665000e+01  1.200000e-03
5.999990e-02  3.702000e+00  1.721000e+01  1.300000e-03
6.499990e-02  3.853000e+00  1.772000e+01  1.300000e-03
6.999990e-02  3.998000e+00  1.821000e+01  1.400000e-03
7.999990e-02  4.274000e+00  1.909000e+01  1.500000e-03
8.999990e-02  4.534000e+00  1.988000e+01  1.600000e-03
9.999990e-02  4.779000e+00  2.060000e+01  1.800000e-03
1.100000e-01  5.012000e+00  2.125000e+01  1.900000e-03
1.200000e-01  5.235000e+00  2.184000e+01  2.000000e-03
1.300000e-01  5.449000e+00  2.239000e+01  2.100000e-03
1.399990e-01  5.655000e+00  2.290000e+01  2.200000e-03
1.499990e-01  5.853000e+00  2.337000e+01  2.300000e-03
1.599990e-01  6.045000e+00  2.381000e+01  2.400000e-03
1.699990e-01  6.231000e+00  2.422000e+01  2.500000e-03
1.799990e-01  6.412000e+00  2.461000e+01  2.600000e-03
1.999990e-01  6.758000e+00  2.532000e+01  2.800000e-03
2.249990e-01  7.168000e+00  2.610000e+01  3.000000e-03
2.499990e-01  7.556000e+00  2.679000e+01  3.200000e-03
2.749990e-01  7.925000e+00  2.740000e+01  3.500000e-03
2.999990e-01  8.277000e+00  2.795000e+01  3.700000e-03
3.249990e-01  8.615000e+00  2.844000e+01  3.900000e-03
3.499990e-01  8.941000e+00  2.889000e+01  4.100000e-03
3.749990e-01  9.254000e+00  2.929000e+01  4.400000e-03
3.999990e-01  9.558000e+00  2.966000e+01  4.600000e-03
4.499990e-01  1.014000e+01  3.031000e+01  5.000000e-03
4.999990e-01  1.069000e+01  3.086000e+01  5.400000e-03
5.499990e-01  1.121000e+01  3.133000e+01  5.800000e-03
5.999990e-01  1.171000e+01  3.173000e+01  6.300000e-03
