#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  126.3  1794.0  0.007954872720540537
11.0  132.5  1864.0  0.008327064308626422
12.0  138.3  1930.0  0.008653900854527975
13.0  144.0  1991.0  0.009026073343375844
14.0  149.4  2048.0  0.009353074360871938
15.0  154.7  2102.0  0.009725224933131367
16.0  159.7  2154.0  0.01005236290630218
17.0  164.7  2202.0  0.01037978805178603
18.0  169.4  2248.0  0.01075174404457249
20.0  178.6  2334.0  0.011322985472038723
22.5  189.4  2432.0  0.012106609764917677
25.0  199.7  2520.0  0.012806248474865698
27.5  209.4  2600.0  0.013505924625881785
30.0  218.7  2673.0  0.014162273828732447
32.5  227.7  2741.0  0.014862032162527438
35.0  236.3  2804.0  0.015519020587653075
37.5  244.6  2862.0  0.01613381541979454
40.0  252.6  2917.0  0.016791069054708816
45.0  267.9  3016.0  0.017947144619688115
50.0  282.4  3104.0  0.019146801299433806
55.0  296.2  3182.0  0.020333469944896272
60.0  309.3  3254.0  0.021448076836863488
65.0  322.0  3318.0  0.022563022847127554
70.0  334.1  3377.0  0.023592159714617058
80.0  357.2  3481.0  0.025736744160829668
90.0  378.9  3569.0  0.027725078899797563
100.0  399.4  3645.0  0.02974373883693844
110.0  418.9  3712.0  0.031773259197004015
120.0  437.5  3770.0  0.03367625276066208
130.0  455.3  3821.0  0.035539977490144814
140.0  472.5  3867.0  0.037443557523290975
150.0  489.1  3907.0  0.03934729978028988
160.0  505.2  3943.0  0.041212255458783126
170.0  520.7  3976.0  0.04300023255751067
180.0  535.8  4005.0  0.04477800799499683
200.0  564.8  4054.0  0.04843222068003903
225.0  599.1  4103.0  0.05277594148852297
250.0  631.5  4141.0  0.057180591112719364
275.0  662.3  4170.0  0.061470155360142054
300.0  691.7  4191.0  0.06575058935097083
325.0  720.0  4207.0  0.06995291273421
350.0  747.4  4218.0  0.0742075467860244
375.0  819.6  4224.0  0.07840082907724892
400.0  874.3  4228.0  0.08247848204228786
450.0  948.2  4227.0  0.09066096183032694
500.0  994.4  4218.0  0.09874618979991077
550.0  1027.0  4204.0  0.10680664773318187
600.0  1054.0  4184.0  0.11496790856582545
650.0  1079.0  4162.0  0.12303093107019877
700.0  1103.0  4137.0  0.13115944495155504
800.0  1151.0  4082.0  0.14751044030847443
900.0  1202.0  4023.0  0.16393126608429523
1000.0  1253.0  3962.0  0.18052775409891966
1100.0  1306.0  3901.0  0.19713736327748732
1200.0  1359.0  3840.0  0.21377357179969653
1300.0  1411.0  3780.0  0.23053754574906016
1400.0  1463.0  3721.0  0.24727080296711135
1500.0  1513.0  3663.0  0.26413326182061964
1600.0  1562.0  3607.0  0.2810219208531605
1700.0  1608.0  3553.0  0.298004614058239
1800.0  1653.0  3500.0  0.3150491072832932
2000.0  1738.0  3398.0  0.34930632688229396
2250.0  1834.0  3280.0  0.39232370563094965
2500.0  1921.0  3171.0  0.43576144850135606
2750.0  2000.0  3069.0  0.47951101134384805
3000.0  2071.0  2975.0  0.5235910809018809
3250.0  2137.0  2888.0  0.5679309377028162
3500.0  2199.0  2806.0  0.6125012571415671
3750.0  2256.0  2729.0  0.6573965241769993
4000.0  2310.0  2658.0  0.70255340722254
4500.0  2412.0  2527.0  0.7935591093296075
5000.0  2508.0  2411.0  0.8853780717862851
5500.0  2600.0  2306.0  0.9777522692379702
6000.0  2691.0  2212.0  1.070705230210444
6500.0  2783.0  2127.0  1.1640575114658211
7000.0  2875.0  2049.0  1.2572201477863771
8000.0  3065.0  1912.0  1.4432255714197972
9000.0  3262.0  1794.0  1.6286191236750232
10000.0  3467.0  1693.0  1.8038632791872005
11000.0  3680.0  1604.0  1.9784811169177228
12000.0  3899.0  1525.0  2.1524604177545283
13000.0  4123.0  1455.0  2.3259041876225255
14000.0  4351.0  1392.0  2.4892303569577487
15000.0  4582.0  1335.0  2.652049720499222
16000.0  4815.0  1283.0  2.8047914753150547
17000.0  5050.0  1236.0  2.957092179828015
18000.0  5286.0  1192.0  3.0993540294713027
20000.0  5757.0  1115.0  3.3829282064507367
22500.0  6340.0  1033.0  3.7163805308391122
25000.0  6914.0  963.8  4.028968652149083
27500.0  7474.0  904.4  4.320908649809667
30000.0  8019.0  852.7  4.602187801470079
