#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  68.28  887.8  0.010807867504739315
11.0  71.61  905.1  0.011588787684654508
12.0  74.8  920.3  0.012204097672503281
13.0  77.85  933.9  0.01293445012360402
14.0  80.79  946.0  0.01360036764208968
15.0  83.63  956.9  0.014330736198814073
16.0  86.37  966.7  0.014946236984605859
17.0  89.03  975.6  0.01556181223379848
18.0  91.61  983.6  0.016256075787224912
20.0  96.56  997.5  0.017523983565388323
22.5  102.4  1012.0  0.019164028803985867
25.0  108.0  1023.0  0.020639282933280413
27.5  113.2  1032.0  0.022230159693533466
30.0  118.3  1039.0  0.023705695518166092
32.5  123.1  1044.0  0.025260839257633543
35.0  127.7  1049.0  0.026736678926149372
37.5  132.2  1052.0  0.02824853978527032
40.0  136.6  1054.0  0.029724400750898244
45.0  144.8  1057.0  0.032756220783234445
50.0  152.7  1058.0  0.03566034211838131
55.0  160.1  1057.0  0.038612692213830416
60.0  167.3  1055.0  0.04159783648220181
65.0  174.1  1051.0  0.04455042087343283
70.0  180.7  1047.0  0.047455558157079976
80.0  193.1  1038.0  0.0533944753696485
90.0  204.8  1027.0  0.05928692941956094
100.0  215.9  1016.0  0.06519210074848027
110.0  226.7  1004.0  0.07108572289848364
120.0  250.9  991.8  0.07702694333802945
130.0  269.8  979.6  0.08292152917065627
140.0  285.0  967.6  0.08881638362374365
150.0  297.7  955.7  0.09463128446766429
160.0  308.6  944.0  0.10057459917891794
170.0  318.3  932.5  0.10647276647105587
180.0  327.0  921.2  0.11245092262849603
200.0  342.6  899.5  0.12433221625950372
225.0  360.4  873.9  0.13949856630087637
250.0  377.3  849.9  0.15475054119453027
275.0  393.9  827.4  0.1702104873384716
300.0  410.5  806.2  0.1856737191957979
325.0  427.0  786.4  0.2013398619250545
350.0  443.6  767.7  0.21705969225077235
375.0  460.3  750.0  0.23285559903081568
400.0  476.9  733.4  0.24870595087371755
450.0  510.2  702.7  0.2805207300717721
500.0  543.3  675.0  0.3122729895460061
550.0  576.1  650.0  0.344091630238226
600.0  608.8  627.1  0.3758072511274896
650.0  641.1  606.1  0.4074568197981229
700.0  673.3  586.8  0.43876237304490917
800.0  737.2  552.3  0.5009652083727971
900.0  800.8  522.5  0.5620326502971158
1000.0  864.5  496.3  0.6219079755076309
1100.0  928.3  473.1  0.6804387114208009
1200.0  992.4  452.3  0.7376127574818647
1300.0  1057.0  433.7  0.7933481077055646
1400.0  1121.0  416.7  0.8476462823607499
1500.0  1186.0  401.3  0.9005809236265224
1600.0  1251.0  387.2  0.952059520198186
1700.0  1316.0  374.2  1.0022999251721014
1800.0  1381.0  362.2  1.051093649490853
2000.0  1511.0  340.7  1.1491661542179181
2250.0  1674.0  317.8  1.2539429811598293
2500.0  1836.0  298.1  1.3572190132767814
2750.0  1997.0  281.1  1.4593522535700558
3000.0  2156.0  266.2  1.551345174356758
3250.0  2313.0  253.0  1.6425469064839517
3500.0  2468.0  241.2  1.7238659141592192
3750.0  2620.0  230.6  1.8046287512948473
4000.0  2771.0  221.1  1.875574376024582
4500.0  3063.0  204.4  2.0257395686514097
5000.0  3343.0  190.4  2.1560110041463143
5500.0  3612.0  178.4  2.2854632025040353
6000.0  3868.0  168.0  2.395363095649593
6500.0  4113.0  158.9  2.5142678059427164
7000.0  4346.0  150.8  2.613798787206085
8000.0  4779.0  137.2  2.812043436719995
9000.0  5170.0  126.0  2.9999754165659422
10000.0  5522.0  116.7  3.1682268747676514
11000.0  5841.0  108.9  3.3361185980117676
12000.0  6129.0  102.1  3.4941931085731364
13000.0  6390.0  96.16  3.642426560687257
14000.0  6627.0  90.97  3.790546742885517
15000.0  6843.0  86.36  3.92891759267104
16000.0  7041.0  82.24  4.067228654747604
17000.0  7223.0  78.54  4.195781538640923
18000.0  7391.0  75.18  4.324296939387951
20000.0  7691.0  69.34  4.581418392812427
22500.0  8010.0  63.3  4.888198369542709
25000.0  8283.0  58.31  5.1852397331271
27500.0  8519.0  54.12  5.472549776840773
30000.0  8725.0  50.53  5.759955382639695
