#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  63.13  1350.0  0.008860586888011427
11.0  66.21  1390.0  0.009476813810558905
12.0  69.15  1427.0  0.009929753269845128
13.0  71.98  1461.0  0.010417293314484334
14.0  74.7  1492.0  0.010870602559196063
15.0  77.32  1521.0  0.01135825690852254
16.0  79.85  1549.0  0.011730728877610291
17.0  82.31  1574.0  0.012218428704215613
18.0  84.7  1598.0  0.012672016414130785
20.0  89.28  1641.0  0.013532183859229819
22.5  94.69  1688.0  0.014555411364849846
25.0  99.82  1730.0  0.0156259399717265
27.5  104.7  1766.0  0.01660150595578606
30.0  109.3  1799.0  0.01754365982342339
32.5  113.8  1828.0  0.01856825247566394
35.0  118.1  1855.0  0.01951076625865832
37.5  122.2  1878.0  0.0204533615819014
40.0  126.3  1900.0  0.02139602766870524
45.0  133.9  1937.0  0.023165707414193076
50.0  141.2  1969.0  0.02500639918100965
55.0  148.1  1995.0  0.026776482218543944
60.0  154.6  2018.0  0.02853454047290757
65.0  160.9  2037.0  0.030260370123314752
70.0  167.0  2053.0  0.0320307664597649
80.0  178.6  2079.0  0.03543176540902245
90.0  189.4  2098.0  0.03880103091413938
100.0  199.6  2112.0  0.04212718837045739
110.0  209.4  2121.0  0.045465811331152996
120.0  218.7  2127.0  0.04870862346648692
130.0  227.6  2131.0  0.05207936251529967
140.0  236.2  2132.0  0.05529140982105629
150.0  244.5  2131.0  0.05866250932239432
160.0  252.5  2130.0  0.06187511616150712
170.0  260.3  2126.0  0.0651731539822955
180.0  267.8  2122.0  0.06850226273635054
200.0  291.5  2112.0  0.07501473188647681
225.0  344.9  2096.0  0.08315960557867022
250.0  376.7  2077.0  0.0912750787455152
275.0  397.1  2057.0  0.0993199879178406
300.0  411.6  2035.0  0.10743714441476933
325.0  423.3  2014.0  0.1155702816471432
350.0  434.0  1992.0  0.12383182143536452
375.0  444.7  1970.0  0.13209424665745287
400.0  455.9  1948.0  0.14044404579760583
450.0  480.3  1905.0  0.15731970633077091
500.0  507.5  1863.0  0.17436109084311213
550.0  536.9  1823.0  0.19153247766371115
600.0  567.8  1784.0  0.2088414230941745
650.0  599.5  1747.0  0.22624062411512216
700.0  631.5  1712.0  0.24369099285775833
800.0  694.8  1646.0  0.2788138088402366
900.0  755.6  1586.0  0.3140741472964625
1000.0  813.0  1530.0  0.3494179588973641
1100.0  866.8  1479.0  0.38484680068827387
1200.0  917.2  1432.0  0.4202904233979166
1300.0  964.6  1388.0  0.45592084839366587
1400.0  1009.0  1348.0  0.49145279529167396
1500.0  1052.0  1310.0  0.5271377334245766
1600.0  1093.0  1275.0  0.5627894988359325
1700.0  1132.0  1242.0  0.5984159924333574
1800.0  1171.0  1211.0  0.6340461497399066
2000.0  1244.0  1154.0  0.7052241133143421
2250.0  1334.0  1091.0  0.7938686163339624
2500.0  1422.0  1036.0  0.8819156989191201
2750.0  1510.0  987.5  0.968931772623852
3000.0  1598.0  943.9  1.0549193428883556
3250.0  1688.0  904.6  1.141261306625262
3500.0  1779.0  869.1  1.2250289343521645
3750.0  1872.0  836.6  1.3084622615880062
4000.0  1967.0  806.9  1.382216900489934
4500.0  2160.0  754.4  1.5379618525828267
5000.0  2359.0  709.3  1.6923918133812867
5500.0  2562.0  670.0  1.8270169402608176
6000.0  2769.0  635.5  1.9699110741350738
6500.0  2977.0  604.8  2.0931757021330055
7000.0  3186.0  577.4  2.2155998217187145
8000.0  3603.0  530.4  2.4491063615122965
9000.0  4013.0  491.3  2.6616020006755328
10000.0  4412.0  458.3  2.853481557676517
11000.0  4798.0  430.0  3.0441297015731776
12000.0  5168.0  405.4  3.2147561898221766
13000.0  5522.0  383.8  3.3750774005939483
14000.0  5860.0  364.6  3.534825315344451
15000.0  6181.0  347.5  3.674871362374471
16000.0  6486.0  332.1  3.8242168309341458
17000.0  6776.0  318.2  3.953950229833451
18000.0  7051.0  305.5  4.083407205998442
20000.0  7561.0  283.3  4.341893522416228
22500.0  8132.0  260.1  4.630342346954489
25000.0  8640.0  240.8  4.908471813100285
27500.0  9096.0  224.5  5.176479901438815
30000.0  9511.0  210.4  5.424716029434167
