# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.706000e+00  1.549000e+01  4.000000e-04
1.099990e-02  1.789000e+00  1.633000e+01  4.000000e-04
1.199990e-02  1.869000e+00  1.713000e+01  5.000000e-04
1.299990e-02  1.945000e+00  1.789000e+01  5.000000e-04
1.399990e-02  2.018000e+00  1.862000e+01  5.000000e-04
1.499990e-02  2.089000e+00  1.932000e+01  5.000000e-04
1.599990e-02  2.158000e+00  2.000000e+01  5.000000e-04
1.699990e-02  2.224000e+00  2.066000e+01  5.000000e-04
1.799990e-02  2.289000e+00  2.129000e+01  5.000000e-04
1.999990e-02  2.412000e+00  2.250000e+01  6.000000e-04
2.249990e-02  2.559000e+00  2.391000e+01  6.000000e-04
2.499990e-02  2.697000e+00  2.524000e+01  6.000000e-04
2.749990e-02  2.829000e+00  2.649000e+01  7.000000e-04
2.999990e-02  2.954000e+00  2.767000e+01  7.000000e-04
3.249990e-02  3.075000e+00  2.879000e+01  7.000000e-04
3.499990e-02  3.191000e+00  2.986000e+01  7.000000e-04
3.749990e-02  3.303000e+00  3.088000e+01  8.000000e-04
3.999990e-02  3.412000e+00  3.186000e+01  8.000000e-04
4.499990e-02  3.618000e+00  3.371000e+01  8.000000e-04
4.999990e-02  3.814000e+00  3.543000e+01  9.000000e-04
5.499990e-02  4.000000e+00  3.704000e+01  9.000000e-04
5.999990e-02  4.178000e+00  3.855000e+01  1.000000e-03
6.499990e-02  4.349000e+00  3.998000e+01  1.000000e-03
6.999990e-02  4.513000e+00  4.133000e+01  1.100000e-03
7.999990e-02  4.825000e+00  4.384000e+01  1.100000e-03
8.999990e-02  5.117000e+00  4.614000e+01  1.200000e-03
9.999990e-02  5.394000e+00  4.825000e+01  1.300000e-03
1.100000e-01  5.657000e+00  5.021000e+01  1.300000e-03
1.200000e-01  5.909000e+00  5.203000e+01  1.400000e-03
1.300000e-01  6.150000e+00  5.375000e+01  1.500000e-03
