#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  70.44  1323.0  0.008909545442950499
11.0  73.87  1362.0  0.009476813810558905
12.0  77.16  1397.0  0.009929753269845128
13.0  80.31  1430.0  0.010417293314484334
14.0  83.34  1460.0  0.01090504470417247
15.0  86.27  1488.0  0.01135825690852254
16.0  89.09  1513.0  0.011765202930676547
17.0  91.84  1537.0  0.012218428704215613
18.0  94.5  1560.0  0.012672016414130785
20.0  99.61  1601.0  0.013532183859229819
22.5  105.7  1646.0  0.014636256351950113
25.0  111.4  1685.0  0.015659501907787487
27.5  116.8  1720.0  0.01664812301732541
30.0  122.0  1750.0  0.017672011770027772
32.5  127.0  1777.0  0.018647788072583837
35.0  131.8  1802.0  0.019590048494069635
37.5  136.4  1824.0  0.020532413399305987
40.0  140.9  1844.0  0.021520687721353148
45.0  149.4  1878.0  0.023326808611552504
50.0  157.5  1907.0  0.0252122985862059
55.0  165.2  1931.0  0.02701499583564654
60.0  172.5  1951.0  0.02882308102892541
65.0  179.6  1968.0  0.030625806111839737
70.0  186.4  1983.0  0.03235135236740499
80.0  199.2  2005.0  0.03587993868445151
90.0  211.3  2021.0  0.03924869424579625
100.0  222.7  2032.0  0.04270199058592
110.0  233.6  2039.0  0.04610357903677327
120.0  244.0  2043.0  0.04947352827523018
130.0  254.0  2044.0  0.0528122144962697
140.0  263.6  2044.0  0.05613955824550101
150.0  272.8  2042.0  0.05951033523683093
160.0  281.7  2039.0  0.06288123726518109
170.0  290.4  2034.0  0.06626333827992671
180.0  298.8  2029.0  0.06963461782762939
200.0  311.5  2017.0  0.07630412832868219
225.0  326.7  1998.0  0.08478820672711507
250.0  343.2  1978.0  0.09323137883781406
275.0  360.4  1956.0  0.10180324159868388
300.0  378.2  1934.0  0.11034609191086019
325.0  396.1  1912.0  0.11900563011891496
350.0  414.1  1889.0  0.1276246449554317
375.0  432.1  1867.0  0.13634254655095746
400.0  450.0  1845.0  0.14496323671883157
450.0  485.2  1801.0  0.16259351155565832
500.0  519.5  1760.0  0.18015720912580768
550.0  552.8  1720.0  0.19792629941470638
600.0  585.0  1682.0  0.2158324118384447
650.0  616.2  1645.0  0.2337130077680744
700.0  646.4  1611.0  0.2517994042884137
800.0  704.0  1546.0  0.2880380704004247
900.0  758.1  1487.0  0.324688281279137
1000.0  809.2  1434.0  0.3613834943657499
1100.0  857.7  1385.0  0.3982798136988618
1200.0  904.0  1339.0  0.43532684272854116
1300.0  948.5  1297.0  0.4724515424887509
1400.0  991.5  1259.0  0.5095760198439484
1500.0  1033.0  1222.0  0.5467551005706303
1600.0  1074.0  1189.0  0.5839094193451584
1700.0  1114.0  1157.0  0.6211479292406923
1800.0  1153.0  1128.0  0.6581843966549192
2000.0  1229.0  1074.0  0.7321722543227106
2250.0  1321.0  1014.0  0.8240940601654645
2500.0  1412.0  962.4  0.9149468399857994
2750.0  1501.0  916.4  1.0047955861766114
3000.0  1588.0  875.3  1.0919467432068286
3250.0  1675.0  838.4  1.1764508149514794
3500.0  1761.0  805.0  1.2697496012994058
3750.0  1847.0  774.6  1.3534285980427634
4000.0  1933.0  746.7  1.43674749347267
4500.0  2105.0  697.5  1.5930553348832552
5000.0  2278.0  655.3  1.748091444976492
5500.0  2451.0  618.7  1.89266054536993
6000.0  2625.0  586.5  2.0361828527909767
6500.0  2800.0  558.0  2.1788949882910833
7000.0  2975.0  532.4  2.3114206994833286
8000.0  3327.0  488.7  2.555767301614136
9000.0  3677.0  452.4  2.788467396259099
10000.0  4025.0  421.8  3.0005691460121358
11000.0  4367.0  395.6  3.201807595718394
12000.0  4703.0  372.8  3.392529506135503
13000.0  5031.0  352.8  3.5728368014786236
14000.0  5351.0  335.1  3.7429242698724217
15000.0  5660.0  319.3  3.9028816802460202
16000.0  5960.0  305.0  4.052739320509031
17000.0  6249.0  292.2  4.20226408618021
18000.0  6528.0  280.5  4.341848736425534
20000.0  7054.0  260.0  4.620385390852153
22500.0  7657.0  238.6  4.928905279065525
25000.0  8202.0  220.8  5.226957334817264
27500.0  8698.0  205.7  5.50505941566483
30000.0  9149.0  192.8  5.763308345906888
