#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  42.97  967.2  0.01048713497576912
11.0  45.07  987.8  0.011102252023801298
12.0  47.07  1006.0  0.011717508267545623
13.0  48.99  1023.0  0.012369721096289924
14.0  50.84  1037.0  0.013062924634246345
15.0  52.63  1051.0  0.013678450204610173
16.0  54.35  1063.0  0.01429405470816451
17.0  56.03  1074.0  0.014946236984605859
18.0  57.65  1084.0  0.01556181223379848
20.0  60.77  1102.0  0.016714664220378466
22.5  64.46  1120.0  0.018189557443764263
25.0  67.94  1135.0  0.01970101520226813
27.5  71.26  1148.0  0.021126760281690138
30.0  74.43  1158.0  0.02252309925387712
32.5  77.47  1166.0  0.023998541622356973
35.0  80.39  1173.0  0.025309681941897255
37.5  83.21  1179.0  0.026785443808158192
40.0  85.94  1184.0  0.02813289889080043
45.0  91.15  1190.0  0.030956420981760796
50.0  96.09  1194.0  0.03374448103023663
55.0  100.8  1196.0  0.03648835430654553
60.0  105.3  1196.0  0.03927683795826747
65.0  109.6  1195.0  0.04193733420235483
70.0  113.7  1193.0  0.0447615906777228
80.0  121.5  1187.0  0.050211751612545846
90.0  128.9  1179.0  0.05577831119709524
100.0  135.9  1169.0  0.06135780308974565
110.0  142.5  1159.0  0.06692518210658825
120.0  167.8  1148.0  0.07249289620369709
130.0  207.0  1136.0  0.07789820280340233
140.0  232.5  1125.0  0.0833384065122438
150.0  248.7  1113.0  0.08869797066449718
160.0  258.7  1101.0  0.09410430383356545
170.0  264.7  1090.0  0.09951085367938514
180.0  268.2  1079.0  0.10499947618916965
200.0  271.2  1056.0  0.11602564371724038
225.0  273.2  1030.0  0.13013662051859193
250.0  277.1  1005.0  0.14465880546997478
275.0  284.0  980.5  0.15938196259301116
300.0  294.2  957.8  0.17440094609835122
325.0  307.3  936.3  0.1894933771929774
350.0  322.6  915.9  0.20471563203624682
375.0  339.7  896.6  0.22001129516458923
400.0  358.0  878.2  0.23538084034177464
450.0  396.8  844.2  0.26608964654792566
500.0  436.3  813.2  0.2967195645723416
550.0  474.8  784.9  0.3272803232704343
600.0  511.5  759.0  0.357764084279012
650.0  545.7  735.0  0.3879801412443683
700.0  577.3  712.9  0.41813238334288344
800.0  632.7  673.2  0.4781742778527511
900.0  678.5  638.6  0.5380988106286799
1000.0  716.4  608.0  0.5980712750166154
1100.0  747.8  580.8  0.658144763710842
1200.0  774.2  556.4  0.7183964782764459
1300.0  796.8  534.4  0.7790338888649196
1400.0  816.5  514.3  0.8398848194841958
1500.0  834.3  496.0  0.9011575777853728
1600.0  850.7  479.1  0.9627309956576655
1700.0  866.4  463.6  1.0245614183639749
1800.0  881.9  449.2  1.0866387302134966
2000.0  913.5  423.4  1.2085595558349618
2250.0  957.0  395.7  1.3676939606505543
2500.0  1007.0  371.9  1.5169950362476472
2750.0  1066.0  351.2  1.674378645946012
3000.0  1134.0  333.1  1.821681434828823
3250.0  1210.0  317.0  1.967859695201871
3500.0  1296.0  302.6  2.1037762666215247
3750.0  1389.0  289.6  2.2385936321717703
4000.0  1490.0  277.8  2.363146262929995
4500.0  1711.0  257.4  2.5907909776745788
5000.0  1953.0  240.0  2.8057219267062083
5500.0  2211.0  225.2  2.999279661852159
6000.0  2479.0  212.3  3.1718928102948247
6500.0  2754.0  201.0  3.3333605640554396
7000.0  3032.0  190.9  3.474684292133603
8000.0  3585.0  173.9  3.7353060169148122
9000.0  4121.0  160.0  3.9646712562329802
10000.0  4631.0  148.3  4.173169895894487
11000.0  5108.0  138.4  4.3613969608372045
12000.0  5550.0  129.9  4.529653894062989
13000.0  5958.0  122.5  4.687727382218382
14000.0  6332.0  115.9  4.836002998344811
15000.0  6675.0  110.1  4.983246030450433
16000.0  6988.0  104.9  5.111294521938645
17000.0  7274.0  100.3  5.249013927396268
18000.0  7536.0  96.03  5.37713428881965
20000.0  7996.0  88.64  5.614182843477757
22500.0  8472.0  80.99  5.90796762347256
25000.0  8862.0  74.67  6.184501241814089
27500.0  9186.0  69.34  6.449790384190792
30000.0  9459.0  64.79  6.705620675224628
