# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.611000e+00  1.708000e+01  4.000000e-04
1.099990e-02  1.689000e+00  1.802000e+01  4.000000e-04
1.199990e-02  1.764000e+00  1.891000e+01  5.000000e-04
1.299990e-02  1.836000e+00  1.977000e+01  5.000000e-04
1.399990e-02  1.906000e+00  2.059000e+01  5.000000e-04
1.499990e-02  1.972000e+00  2.138000e+01  5.000000e-04
1.599990e-02  2.037000e+00  2.214000e+01  5.000000e-04
1.699990e-02  2.100000e+00  2.288000e+01  5.000000e-04
1.799990e-02  2.161000e+00  2.360000e+01  5.000000e-04
1.999990e-02  2.278000e+00  2.496000e+01  6.000000e-04
2.249990e-02  2.416000e+00  2.656000e+01  6.000000e-04
2.499990e-02  2.546000e+00  2.807000e+01  6.000000e-04
2.749990e-02  2.671000e+00  2.948000e+01  7.000000e-04
2.999990e-02  2.790000e+00  3.083000e+01  7.000000e-04
3.249990e-02  2.903000e+00  3.211000e+01  7.000000e-04
3.499990e-02  3.013000e+00  3.333000e+01  7.000000e-04
3.749990e-02  3.119000e+00  3.450000e+01  8.000000e-04
3.999990e-02  3.221000e+00  3.562000e+01  8.000000e-04
4.499990e-02  3.416000e+00  3.774000e+01  8.000000e-04
4.999990e-02  3.601000e+00  3.971000e+01  9.000000e-04
5.499990e-02  3.777000e+00  4.156000e+01  9.000000e-04
5.999990e-02  3.945000e+00  4.331000e+01  1.000000e-03
6.499990e-02  4.106000e+00  4.495000e+01  1.000000e-03
6.999990e-02  4.261000e+00  4.652000e+01  1.000000e-03
7.999990e-02  4.555000e+00  4.943000e+01  1.100000e-03
8.999990e-02  4.832000e+00  5.210000e+01  1.200000e-03
9.999990e-02  5.093000e+00  5.457000e+01  1.200000e-03
1.100000e-01  5.342000e+00  5.686000e+01  1.300000e-03
1.200000e-01  5.579000e+00  5.901000e+01  1.400000e-03
1.300000e-01  5.807000e+00  6.102000e+01  1.400000e-03
1.399990e-01  6.026000e+00  6.292000e+01  1.500000e-03
1.499990e-01  6.238000e+00  6.472000e+01  1.500000e-03
1.599990e-01  6.442000e+00  6.642000e+01  1.600000e-03
1.699990e-01  6.640000e+00  6.804000e+01  1.700000e-03
1.799990e-01  6.833000e+00  6.959000e+01  1.700000e-03
1.999990e-01  7.203000e+00  7.249000e+01  1.800000e-03
2.249990e-01  7.639000e+00  7.579000e+01  1.900000e-03
2.499990e-01  8.053000e+00  7.880000e+01  2.100000e-03
2.749990e-01  8.446000e+00  8.155000e+01  2.200000e-03
2.999990e-01  8.821000e+00  8.410000e+01  2.300000e-03
3.249990e-01  9.181000e+00  8.645000e+01  2.400000e-03
3.499990e-01  9.528000e+00  8.865000e+01  2.500000e-03
3.749990e-01  9.863000e+00  9.071000e+01  2.700000e-03
3.999990e-01  1.019000e+01  9.265000e+01  2.800000e-03
4.499990e-01  1.080000e+01  9.619000e+01  3.000000e-03
4.999990e-01  1.139000e+01  9.936000e+01  3.200000e-03
5.499990e-01  1.194000e+01  1.022000e+02  3.400000e-03
5.999990e-01  1.248000e+01  1.048000e+02  3.600000e-03
6.499990e-01  1.298000e+01  1.072000e+02  3.800000e-03
6.999990e-01  1.347000e+01  1.094000e+02  4.000000e-03
7.999990e-01  1.441000e+01  1.134000e+02  4.300000e-03
8.999990e-01  1.528000e+01  1.168000e+02  4.700000e-03
9.999990e-01  1.611000e+01  1.198000e+02  5.100000e-03
1.100000e+00  1.689000e+01  1.224000e+02  5.400000e-03
1.200000e+00  1.764000e+01  1.248000e+02  5.800000e-03
1.300000e+00  1.836000e+01  1.269000e+02  6.100000e-03
1.400000e+00  1.906000e+01  1.288000e+02  6.400000e-03
1.500000e+00  1.973000e+01  1.306000e+02  6.800000e-03
1.600000e+00  2.037000e+01  1.321000e+02  7.100000e-03
1.700000e+00  2.100000e+01  1.336000e+02  7.400000e-03
1.800000e+00  2.161000e+01  1.349000e+02  7.800000e-03
2.000000e+00  2.278000e+01  1.372000e+02  8.400000e-03
2.250000e+00  2.416000e+01  1.397000e+02  9.200000e-03
2.500000e+00  2.546000e+01  1.417000e+02  1.000000e-02
2.750000e+00  2.671000e+01  1.433000e+02  1.080000e-02
3.000000e+00  2.790000e+01  1.447000e+02  1.160000e-02
3.250000e+00  2.903000e+01  1.458000e+02  1.230000e-02
3.500000e+00  3.013000e+01  1.468000e+02  1.310000e-02
3.750000e+00  3.119000e+01  1.475000e+02  1.390000e-02
4.000000e+00  3.221000e+01  1.482000e+02  1.460000e-02
4.500000e+00  3.416000e+01  1.491000e+02  1.620000e-02
5.000000e+00  3.601000e+01  1.497000e+02  1.770000e-02
5.500000e+00  3.777000e+01  1.500000e+02  1.920000e-02
6.000000e+00  3.945000e+01  1.501000e+02  2.070000e-02
6.500000e+00  4.106000e+01  1.500000e+02  2.220000e-02
7.000000e+00  4.261000e+01  1.498000e+02  2.380000e-02
8.000000e+00  4.555000e+01  1.490000e+02  2.680000e-02
9.000000e+00  4.832000e+01  1.479000e+02  2.990000e-02
1.000000e+01  5.093000e+01  1.467000e+02  3.290000e-02
1.100000e+01  5.342000e+01  1.453000e+02  3.600000e-02
1.200000e+01  5.579000e+01  1.438000e+02  3.910000e-02
1.300000e+01  5.807000e+01  1.423000e+02  4.220000e-02
1.400000e+01  6.026000e+01  1.407000e+02  4.530000e-02
1.500000e+01  6.238000e+01  1.391000e+02  4.850000e-02
1.600000e+01  6.442000e+01  1.376000e+02  5.170000e-02
1.700000e+01  6.641000e+01  1.360000e+02  5.480000e-02
1.800000e+01  6.833000e+01  1.345000e+02  5.800000e-02
2.000000e+01  7.203000e+01  1.314000e+02  6.450000e-02
2.250000e+01  7.640000e+01  1.278000e+02  7.260000e-02
2.500000e+01  8.053000e+01  1.243000e+02  8.080000e-02
2.750000e+01  8.446000e+01  1.211000e+02  8.910000e-02
3.000000e+01  8.821000e+01  1.179000e+02  9.740000e-02
3.250000e+01  9.312000e+01  1.150000e+02  1.058000e-01
3.500000e+01  1.009000e+02  1.122000e+02  1.141000e-01
3.750000e+01  1.062000e+02  1.096000e+02  1.223000e-01
4.000000e+01  1.099000e+02  1.071000e+02  1.305000e-01
4.500000e+01  1.146000e+02  1.025000e+02  1.470000e-01
5.000000e+01  1.179000e+02  9.828000e+01  1.639000e-01
5.500000e+01  1.209000e+02  9.448000e+01  1.811000e-01
6.000000e+01  1.242000e+02  9.101000e+01  1.984000e-01
6.500000e+01  1.278000e+02  8.783000e+01  2.160000e-01
7.000000e+01  1.319000e+02  8.490000e+01  2.336000e-01
8.000000e+01  1.411000e+02  7.968000e+01  2.689000e-01
9.000000e+01  1.511000e+02  7.517000e+01  3.039000e-01
1.000000e+02  1.617000e+02  7.122000e+01  3.384000e-01
1.100000e+02  1.725000e+02  6.773000e+01  3.722000e-01
1.200000e+02  1.832000e+02  6.462000e+01  4.054000e-01
1.300000e+02  1.937000e+02  6.182000e+01  4.378000e-01
1.400000e+02  2.041000e+02  5.930000e+01  4.696000e-01
1.500000e+02  2.141000e+02  5.700000e+01  5.006000e-01
1.600000e+02  2.239000e+02  5.491000e+01  5.311000e-01
1.700000e+02  2.335000e+02  5.298000e+01  5.609000e-01
