#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  136.9  1847.0  0.007877816956492452
11.0  143.6  1921.0  0.008249848483457136
12.0  150.0  1991.0  0.008609297300012354
13.0  156.1  2056.0  0.008981091247727082
14.0  162.0  2117.0  0.00930859817588019
15.0  167.7  2175.0  0.00963638936531728
16.0  173.2  2230.0  0.009976472322419385
17.0  178.5  2282.0  0.010304368005850724
18.0  183.7  2331.0  0.010632497354808042
20.0  193.6  2423.0  0.011247666424641157
22.5  205.4  2528.0  0.011904200939164292
25.0  216.5  2623.0  0.012603967629282457
27.5  227.0  2710.0  0.013303758867327686
30.0  237.1  2790.0  0.013961017154921056
32.5  246.8  2864.0  0.014660832172833848
35.0  256.1  2932.0  0.015202631351183913
37.5  265.1  2996.0  0.015860643114325473
40.0  273.8  3056.0  0.01647482928591371
45.0  290.4  3165.0  0.017589485495602193
50.0  306.1  3263.0  0.018704544902242343
55.0  321.1  3350.0  0.01981993945500339
60.0  335.4  3430.0  0.020935615586841483
65.0  349.1  3502.0  0.021964972114710275
70.0  362.2  3568.0  0.022994347131414714
80.0  387.2  3685.0  0.02498359461726835
90.0  410.7  3786.0  0.026973690885750138
100.0  432.9  3874.0  0.028877153599342165
110.0  454.1  3951.0  0.030741665537182595
120.0  474.3  4019.0  0.03255810191027726
130.0  493.6  4079.0  0.034335695711606024
140.0  512.3  4133.0  0.03608517701217496
150.0  530.3  4182.0  0.03786330677582189
160.0  547.6  4225.0  0.03961350779721483
170.0  564.5  4265.0  0.04130387391032468
180.0  580.9  4301.0  0.04305450034549234
200.0  612.3  4363.0  0.04636992559838759
225.0  649.4  4426.0  0.05053404792810487
250.0  684.6  4476.0  0.05452164707710141
275.0  718.0  4516.0  0.05856167688855912
300.0  749.9  4548.0  0.06248655855462037
325.0  780.5  4573.0  0.06647533377125685
350.0  810.0  4592.0  0.07036519025768352
375.0  838.4  4607.0  0.07420249321956776
400.0  899.4  4618.0  0.07812969985863251
450.0  1016.0  4630.0  0.08564496482572692
500.0  1090.0  4632.0  0.09316163373406458
550.0  1139.0  4626.0  0.10052865263197354
600.0  1176.0  4615.0  0.10789703425025175
650.0  1206.0  4600.0  0.11524122526249016
700.0  1233.0  4581.0  0.12261174495128924
800.0  1282.0  4536.0  0.13748672663206438
900.0  1331.0  4485.0  0.1523654816551308
1000.0  1380.0  4430.0  0.1672806922510784
1100.0  1430.0  4373.0  0.18219923161199117
1200.0  1482.0  4315.0  0.1973032944479134
1300.0  1533.0  4257.0  0.21235399690140047
1400.0  1585.0  4199.0  0.22752241647802532
1500.0  1637.0  4142.0  0.24267008468288795
1600.0  1688.0  4086.0  0.25790273360319393
1700.0  1738.0  4031.0  0.27320693622234415
1800.0  1787.0  3977.0  0.28853576901313294
2000.0  1881.0  3873.0  0.3192148649420951
2250.0  1992.0  3751.0  0.357872742745239
2500.0  2094.0  3636.0  0.3967363230156775
2750.0  2189.0  3529.0  0.4356427550183751
3000.0  2278.0  3428.0  0.4749011476086366
3250.0  2360.0  3334.0  0.5142964223091583
3500.0  2436.0  3246.0  0.5537438126065158
3750.0  2508.0  3163.0  0.5934229014792065
4000.0  2575.0  3085.0  0.6332694213366061
4500.0  2700.0  2942.0  0.7134651568226721
5000.0  2814.0  2813.0  0.7940499228637957
5500.0  2920.0  2698.0  0.8750273481440451
6000.0  3021.0  2593.0  0.9563783874596916
6500.0  3118.0  2497.0  1.0378899026390036
7000.0  3212.0  2409.0  1.1178572941122673
8000.0  3397.0  2254.0  1.2828723397127244
9000.0  3581.0  2121.0  1.4474703900253019
10000.0  3767.0  2005.0  1.6116505979895268
11000.0  3957.0  1903.0  1.7658496481863906
12000.0  4149.0  1812.0  1.9195995441758158
13000.0  4345.0  1731.0  2.082576685262754
14000.0  4545.0  1658.0  2.2355843464293623
15000.0  4747.0  1592.0  2.3785922916716937
16000.0  4952.0  1532.0  2.5308986566040135
17000.0  5159.0  1476.0  2.673222265356923
18000.0  5368.0  1426.0  2.8152599897700394
20000.0  5791.0  1335.0  3.0792577433530957
22500.0  6322.0  1239.0  3.403021717532816
25000.0  6853.0  1158.0  3.7060776098187693
27500.0  7380.0  1088.0  3.9983442898279784
30000.0  7900.0  1027.0  4.270236046168877
