#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  168.2  2256.0  0.0073769912566031964
11.0  176.4  2343.0  0.0078000000000000005
12.0  184.3  2425.0  0.008108020720249796
13.0  191.8  2502.0  0.008438601779915912
14.0  199.0  2573.0  0.008769264507357502
15.0  206.0  2641.0  0.009077444574328174
16.0  212.8  2705.0  0.009377632963600144
17.0  219.3  2765.0  0.009708243919473801
18.0  225.7  2823.0  0.010016486409914408
20.0  237.9  2929.0  0.010532805893967665
22.5  252.3  3050.0  0.011193748255164577
25.0  265.9  3159.0  0.01192560271013587
27.5  278.9  3259.0  0.012564632903511348
30.0  291.3  3349.0  0.013196211577570284
32.5  303.2  3433.0  0.013741906709041508
35.0  314.7  3511.0  0.014352003344481216
37.5  325.7  3583.0  0.014990997298378784
40.0  336.4  3650.0  0.015508062419270822
45.0  356.8  3772.0  0.016592166826548002
50.0  376.1  3880.0  0.01772032731074683
55.0  394.5  3977.0  0.018782971010998233
60.0  412.0  4064.0  0.019724350432904
65.0  428.8  4143.0  0.020738852427268004
70.0  445.0  4215.0  0.021707602354935473
80.0  475.7  4341.0  0.023591100016743603
90.0  504.6  4449.0  0.025454469155729804
100.0  531.9  4541.0  0.027338800266288203
110.0  557.9  4621.0  0.029108589797515096
120.0  582.7  4691.0  0.030784086798214434
130.0  606.5  4752.0  0.032554262393732714
140.0  629.4  4806.0  0.0342299576394713
150.0  651.4  4855.0  0.03590570985233407
160.0  672.8  4897.0  0.03755635765086918
170.0  693.5  4935.0  0.03923225713618833
180.0  713.6  4969.0  0.04078847876545533
200.0  752.2  5027.0  0.044020904125199434
225.0  797.9  5083.0  0.047943299844712406
250.0  841.0  5125.0  0.051909729338535375
275.0  882.1  5156.0  0.05573822745656701
300.0  921.3  5178.0  0.0594906715376453
325.0  958.9  5194.0  0.06329644539782625
350.0  995.1  5203.0  0.06703073921716812
375.0  1030.0  5208.0  0.07076524570719726
400.0  1098.0  5209.0  0.07447690917324644
450.0  1231.0  5201.0  0.08173273517997548
500.0  1323.0  5184.0  0.08894858065196994
550.0  1390.0  5159.0  0.0960873560880931
600.0  1441.0  5130.0  0.10328281560840603
650.0  1485.0  5097.0  0.11038772576695292
700.0  1523.0  5061.0  0.11748897820646838
800.0  1592.0  4983.0  0.1316976081787365
900.0  1660.0  4902.0  0.1460795331317841
1000.0  1728.0  4819.0  0.1604469694322707
1100.0  1796.0  4737.0  0.17483266285222565
1200.0  1866.0  4655.0  0.1892795815718114
1300.0  1936.0  4576.0  0.20382485128168254
1400.0  2006.0  4498.0  0.21837160987637563
1500.0  2076.0  4422.0  0.23298098634867181
1600.0  2144.0  4348.0  0.24760761296858383
1700.0  2212.0  4277.0  0.2622200030508733
1800.0  2278.0  4208.0  0.2768489118634928
2000.0  2405.0  4077.0  0.3062352690334672
2250.0  2555.0  3926.0  0.34297249160829213
2500.0  2695.0  3786.0  0.37985824987750366
2750.0  2825.0  3657.0  0.416731520286143
3000.0  2945.0  3538.0  0.4536573266244027
3250.0  3057.0  3428.0  0.4905535240929373
3500.0  3162.0  3325.0  0.5275210517126308
3750.0  3260.0  3230.0  0.564574158105027
4000.0  3352.0  3140.0  0.6016013630303708
4500.0  3523.0  2978.0  0.6757334755656257
5000.0  3677.0  2835.0  0.7497764800258808
5500.0  3820.0  2706.0  0.8238850223180417
6000.0  3954.0  2591.0  0.8978087602602238
6500.0  4082.0  2487.0  0.9715899649543526
7000.0  4204.0  2392.0  1.0491413489134818
8000.0  4441.0  2226.0  1.1906505994623275
9000.0  4671.0  2085.0  1.331963160151211
10000.0  4899.0  1963.0  1.4829568436067182
11000.0  5128.0  1856.0  1.6239439460769576
12000.0  5360.0  1763.0  1.7549326197891475
13000.0  5594.0  1679.0  1.89565084601569
14000.0  5831.0  1604.0  2.0263916008511287
15000.0  6072.0  1537.0  2.1570176100347442
16000.0  6316.0  1476.0  2.2875435667982367
17000.0  6562.0  1420.0  2.408099808978025
18000.0  6810.0  1368.0  2.5285535667649994
20000.0  7312.0  1278.0  2.7594456146117468
22500.0  7945.0  1182.0  3.0402816481372246
25000.0  8579.0  1101.0  3.300936777643583
27500.0  9208.0  1032.0  3.5513768963600585
30000.0  9828.0  971.8  3.7817434246654016
