#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  67.1  1427.0  0.00869712596206356
11.0  70.37  1472.0  0.009150409826887538
12.0  73.5  1513.0  0.009637945839233587
13.0  76.5  1551.0  0.010091580649234292
14.0  79.39  1587.0  0.01049809506529637
15.0  82.18  1619.0  0.01095171219490359
16.0  84.87  1650.0  0.011405700329221351
17.0  87.49  1679.0  0.011811858448186722
18.0  90.02  1705.0  0.012218837915284742
20.0  94.89  1755.0  0.013078990786754154
22.5  100.6  1809.0  0.01402105559506844
25.0  106.1  1857.0  0.014963288408635316
27.5  111.3  1900.0  0.015905659370173877
30.0  116.2  1938.0  0.016848145298518767
32.5  121.0  1972.0  0.017757815180928085
35.0  125.5  2003.0  0.018617733481817816
37.5  129.9  2032.0  0.019515122341404883
40.0  134.2  2057.0  0.020374984662570917
45.0  142.3  2103.0  0.0221
50.0  150.0  2142.0  0.02374215659960148
55.0  157.4  2175.0  0.025384444055365878
60.0  164.4  2203.0  0.026982586977530528
65.0  171.1  2228.0  0.028625163754990118
70.0  177.5  2250.0  0.030192051934242563
80.0  189.8  2285.0  0.033349962518719564
90.0  201.3  2312.0  0.03647643074644229
100.0  212.2  2333.0  0.03947556206059643
110.0  222.5  2348.0  0.04247505150085165
120.0  232.4  2360.0  0.045528672284616434
130.0  241.9  2369.0  0.048528857394338064
140.0  251.1  2375.0  0.05152921501439742
150.0  259.9  2378.0  0.05449899081634448
160.0  268.4  2380.0  0.057469122143982684
170.0  276.7  2381.0  0.06046990987259697
180.0  284.7  2380.0  0.06344044451294457
200.0  300.1  2375.0  0.06937052688281962
225.0  323.3  2364.0  0.07675708436359474
250.0  345.7  2350.0  0.08414481564540979
275.0  364.4  2334.0  0.09152185531336217
300.0  381.3  2315.0  0.09899757572789347
325.0  397.3  2296.0  0.10647408135316314
350.0  413.0  2276.0  0.11388178080799405
375.0  428.6  2255.0  0.12144653144491202
400.0  444.2  2235.0  0.1289716635544413
450.0  475.5  2193.0  0.1441511359650003
500.0  506.8  2151.0  0.15939187557714476
550.0  537.7  2111.0  0.1747984267663757
600.0  568.1  2072.0  0.19033415353004832
650.0  597.7  2034.0  0.2058326018880391
700.0  626.4  1997.0  0.221481331041693
800.0  681.1  1927.0  0.25305450005878183
900.0  732.0  1863.0  0.2849619097353188
1000.0  779.5  1803.0  0.31710496684851847
1100.0  824.0  1747.0  0.3495365073922895
1200.0  865.9  1696.0  0.3821803370138239
1300.0  905.8  1648.0  0.4149996024094481
1400.0  944.1  1603.0  0.4479952789929823
1500.0  981.2  1561.0  0.481205195316925
1600.0  1017.0  1521.0  0.5145025364368965
1700.0  1053.0  1484.0  0.5479255606375742
1800.0  1088.0  1449.0  0.5814917798215209
2000.0  1157.0  1384.0  0.6486285454711349
2250.0  1243.0  1313.0  0.7326820115165924
2500.0  1329.0  1250.0  0.8163870221898435
2750.0  1417.0  1193.0  0.8994670477566147
3000.0  1506.0  1143.0  0.9818594756888586
3250.0  1596.0  1097.0  1.0631141236950998
3500.0  1688.0  1056.0  1.1407867460660648
3750.0  1781.0  1018.0  1.224207290453704
4000.0  1876.0  982.8  1.2980485121905112
4500.0  2068.0  920.9  1.453993026118076
5000.0  2263.0  867.4  1.5993975146910788
5500.0  2461.0  820.8  1.7343511524486614
6000.0  2660.0  779.6  1.8682906759923628
6500.0  2860.0  743.0  1.9919431944711679
7000.0  3059.0  710.2  2.114782376510642
8000.0  3453.0  653.6  2.3491847990313577
9000.0  3839.0  606.6  2.5625291042249647
10000.0  4215.0  566.6  2.7552209094735036
11000.0  4578.0  532.3  2.9466291588864726
12000.0  4928.0  502.4  3.1179544015267444
13000.0  5264.0  476.1  3.2884767248682176
14000.0  5586.0  452.7  3.448794919968423
15000.0  5895.0  431.8  3.598999021950409
16000.0  6190.0  413.0  3.7391575521766933
17000.0  6473.0  396.0  3.878961020685823
18000.0  6744.0  380.4  4.018495957444775
20000.0  7251.0  353.2  4.277632201346909
22500.0  7828.0  324.6  4.5764227088414815
25000.0  8351.0  300.8  4.864802636284437
27500.0  8828.0  280.6  5.133238195330507
30000.0  9266.0  263.2  5.3915490186030945
