#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  110.5  1672.0  0.008116033513977133
11.0  115.9  1733.0  0.008570880934886449
12.0  121.0  1790.0  0.00894315380612455
13.0  126.0  1842.0  0.009353074360871938
14.0  130.7  1892.0  0.009757561170702441
15.0  135.3  1938.0  0.01012965942171799
16.0  139.7  1981.0  0.01045657687773585
17.0  144.0  2023.0  0.01082866566110525
18.0  148.2  2062.0  0.011155716023635597
20.0  156.2  2134.0  0.011854956769216834
22.5  165.7  2215.0  0.012638037822383664
25.0  174.7  2287.0  0.013453252394867199
27.5  183.2  2353.0  0.014236923825040297
30.0  191.3  2413.0  0.014936532395439043
32.5  199.2  2468.0  0.015720687007888683
35.0  206.7  2518.0  0.016420414123888595
37.5  213.9  2565.0  0.017120163550620654
40.0  220.9  2608.0  0.01777695136968091
45.0  234.3  2686.0  0.019176548177396266
50.0  247.0  2754.0  0.020533630950224074
55.0  259.1  2815.0  0.02180573319106698
60.0  270.6  2869.0  0.023047342580002583
65.0  281.6  2917.0  0.024277767607422233
70.0  292.3  2961.0  0.02551979623743105
80.0  312.5  3037.0  0.027907167538107482
90.0  331.4  3100.0  0.030264996282834734
100.0  349.3  3153.0  0.03261242094662707
110.0  366.4  3198.0  0.0348846671189507
120.0  382.7  3237.0  0.037116842538125465
130.0  398.3  3270.0  0.03926257760259762
140.0  413.3  3299.0  0.04149542143417753
150.0  427.9  3323.0  0.04361249820865574
160.0  441.9  3345.0  0.045845937660822254
170.0  455.5  3363.0  0.047992291047625556
180.0  468.7  3379.0  0.050070849803054075
200.0  494.1  3404.0  0.05420903983654387
225.0  524.0  3426.0  0.05946494765826336
250.0  552.4  3440.0  0.06465493020644289
275.0  579.3  3447.0  0.06979613169796733
300.0  598.0  3449.0  0.07489959946488366
325.0  588.7  3448.0  0.0800645989186232
350.0  591.7  3443.0  0.08516930198140643
375.0  602.9  3436.0  0.0903359286220051
400.0  619.4  3427.0  0.09550335072655829
450.0  660.6  3404.0  0.10577764414090532
500.0  705.6  3377.0  0.11607902480637922
550.0  750.0  3346.0  0.12638239592601494
600.0  791.5  3314.0  0.136623716828375
650.0  829.5  3281.0  0.14689329460530184
700.0  863.9  3247.0  0.15726445879473214
800.0  922.3  3178.0  0.17798952216352515
900.0  969.4  3110.0  0.19883835143150833
1000.0  1008.0  3043.0  0.21990720770361302
1100.0  1040.0  2979.0  0.24113593676596612
1200.0  1067.0  2917.0  0.2626643485515307
1300.0  1091.0  2857.0  0.28446829348804414
1400.0  1113.0  2800.0  0.306524485155754
1500.0  1133.0  2745.0  0.3287900850086572
1600.0  1152.0  2693.0  0.35127475001770336
1700.0  1170.0  2643.0  0.3741172810764026
1800.0  1188.0  2594.0  0.3970642769124415
2000.0  1224.0  2504.0  0.44371194484710463
2250.0  1268.0  2400.0  0.5030829752635245
2500.0  1314.0  2307.0  0.5634937177999414
2750.0  1361.0  2221.0  0.6248220866774797
3000.0  1410.0  2143.0  0.6868021112372908
3250.0  1460.0  2071.0  0.7494035361539203
3500.0  1512.0  2005.0  0.8124339850104746
3750.0  1564.0  1943.0  0.8757886617215367
4000.0  1617.0  1886.0  0.9393162885844151
4500.0  1724.0  1783.0  1.066807827117893
5000.0  1833.0  1692.0  1.19716254535464
5500.0  1943.0  1612.0  1.3228372689034733
6000.0  2053.0  1540.0  1.4481134106139617
6500.0  2163.0  1476.0  1.573048228758419
7000.0  2273.0  1417.0  1.6975867253251011
8000.0  2494.0  1315.0  1.9362236337778755
9000.0  2716.0  1229.0  2.173463330723571
10000.0  2939.0  1155.0  2.399871738239358
11000.0  3164.0  1090.0  2.6156187126567207
12000.0  3389.0  1034.0  2.830297519696472
13000.0  3617.0  983.6  3.0344359739496896
14000.0  3845.0  938.7  3.237759611212667
15000.0  4074.0  898.3  3.4211593955850694
16000.0  4303.0  861.7  3.6038623239519016
17000.0  4533.0  828.4  3.7859682433956046
18000.0  4762.0  797.9  3.9579089681295097
20000.0  5218.0  744.0  4.281227940673096
22500.0  5781.0  687.2  4.6639703097253955
25000.0  6331.0  639.4  5.015851532890502
27500.0  6864.0  598.5  5.346913982850295
30000.0  7379.0  563.2  5.657472220877447
