#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  56.04  1644.0  0.008324061508662705
11.0  58.77  1703.0  0.0087783825389419
12.0  61.38  1758.0  0.009233092656309694
13.0  63.89  1808.0  0.009592184318495971
14.0  66.3  1856.0  0.009964436762808022
15.0  68.63  1900.0  0.010419213022104884
16.0  70.88  1942.0  0.010745696813143388
17.0  73.06  1981.0  0.01111800341788039
18.0  75.18  2019.0  0.011444649404852908
20.0  79.25  2088.0  0.012176206305742362
22.5  84.05  2165.0  0.013086634403084697
25.0  88.6  2235.0  0.013901438774457845
27.5  92.92  2297.0  0.014684345405907613
30.0  97.06  2354.0  0.01551193089205854
32.5  101.0  2406.0  0.016243152403397562
35.0  104.8  2454.0  0.017026450011673015
37.5  108.5  2498.0  0.01772596964907703
40.0  112.1  2539.0  0.018509727172489603
45.0  118.9  2612.0  0.019865548066942428
50.0  125.3  2676.0  0.021380832537579074
55.0  131.4  2733.0  0.022737414100992226
60.0  137.3  2783.0  0.024021032450750324
65.0  142.9  2828.0  0.025377943179067924
70.0  148.3  2869.0  0.02664995309564353
80.0  158.5  2939.0  0.029248931604419333
90.0  168.1  2997.0  0.031763028822831114
100.0  177.2  3045.0  0.03423579997604847
110.0  185.9  3086.0  0.03670926313616224
120.0  194.1  3120.0  0.03913808886494076
130.0  202.0  3150.0  0.04149614439920895
140.0  209.7  3175.0  0.04388416570928517
150.0  217.0  3196.0  0.04624283728319446
160.0  224.1  3215.0  0.04860185181657177
170.0  231.0  3230.0  0.05086324802841439
180.0  237.7  3243.0  0.05322264555619159
200.0  250.6  3264.0  0.05781513642637195
225.0  265.8  3280.0  0.06356484877666273
250.0  280.2  3289.0  0.06927553680773611
275.0  293.9  3292.0  0.074986998873138
300.0  326.1  3291.0  0.08067099850627857
325.0  356.5  3286.0  0.08625694174963544
350.0  379.7  3279.0  0.091942264492452
375.0  397.9  3269.0  0.09750148716814529
400.0  412.8  3258.0  0.10314935772945949
450.0  436.5  3231.0  0.11435864637184195
500.0  456.3  3200.0  0.12569602221231985
550.0  474.6  3168.0  0.13708530191089052
600.0  492.8  3133.0  0.1485758392202447
650.0  511.2  3098.0  0.16015670451155017
700.0  530.2  3063.0  0.17181679196167063
800.0  569.6  2993.0  0.1953414702514548
900.0  610.5  2924.0  0.2192171754220002
1000.0  652.1  2857.0  0.2431868828699443
1100.0  693.8  2793.0  0.26754442621740415
1200.0  735.0  2731.0  0.2920852957613581
1300.0  775.5  2673.0  0.3167739414787776
1400.0  815.1  2616.0  0.3416464546867127
1500.0  853.6  2563.0  0.3666678333314773
1600.0  891.1  2512.0  0.3918979076239117
1700.0  927.5  2463.0  0.4171870323967417
1800.0  962.9  2416.0  0.4426264565070642
2000.0  1031.0  2328.0  0.4939027738330693
2250.0  1112.0  2229.0  0.5586320524280719
2500.0  1189.0  2139.0  0.6238288387049769
2750.0  1263.0  2057.0  0.6893388354067976
3000.0  1335.0  1983.0  0.7552535004884122
3250.0  1405.0  1914.0  0.821312394890032
3500.0  1475.0  1851.0  0.8873025076038047
3750.0  1543.0  1793.0  0.953403125650425
4000.0  1611.0  1739.0  1.0193465455869266
4500.0  1745.0  1642.0  1.152282191999859
5000.0  1880.0  1557.0  1.2786334463011673
5500.0  2015.0  1482.0  1.4137514491592926
6000.0  2151.0  1415.0  1.539007277435685
6500.0  2288.0  1354.0  1.6637064765156142
7000.0  2427.0  1300.0  1.7785028113556638
8000.0  2708.0  1205.0  2.0161294601289868
9000.0  2993.0  1125.0  2.242534791257429
10000.0  3281.0  1056.0  2.457912630668552
11000.0  3570.0  996.2  2.6624198692167242
12000.0  3858.0  943.9  2.8657740210979648
13000.0  4145.0  897.6  3.049041660915771
14000.0  4429.0  856.2  3.231443672725861
15000.0  4710.0  818.9  3.4035176538399208
16000.0  4985.0  785.2  3.5653650612524936
17000.0  5256.0  754.6  3.7266710184828495
18000.0  5521.0  726.5  3.8778731309830134
20000.0  6033.0  677.0  4.169526007833504
22500.0  6638.0  624.9  4.501004937788893
25000.0  7201.0  581.1  4.821359896336302
27500.0  7726.0  543.7  5.111589765425235
30000.0  8213.0  511.4  5.391287855420076
