#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  184.9  2273.0  0.0073769912566031964
11.0  194.0  2363.0  0.00768505042273634
12.0  202.6  2446.0  0.008015609770940698
13.0  210.9  2523.0  0.008438601779915912
14.0  218.8  2596.0  0.00871665073293636
15.0  226.5  2665.0  0.008954328562209454
16.0  233.9  2730.0  0.009284934033152848
17.0  241.1  2792.0  0.009593226777263217
18.0  248.1  2850.0  0.009923708984044223
20.0  261.6  2960.0  0.01043982758478319
22.5  277.4  3083.0  0.011171839597846006
25.0  292.4  3194.0  0.011803389343743602
27.5  306.7  3296.0  0.012442266674525186
30.0  320.3  3389.0  0.012988071450373225
32.5  333.4  3475.0  0.013598161640457141
35.0  346.0  3554.0  0.01423024947075771
37.5  358.2  3628.0  0.014775655653811105
40.0  369.9  3697.0  0.015292808767522073
45.0  392.3  3823.0  0.016449012128392393
50.0  413.6  3934.0  0.01748399267901929
55.0  433.7  4034.0  0.018452913049163806
60.0  453.0  4124.0  0.019488201558891985
65.0  471.5  4206.0  0.020429880077964237
70.0  489.3  4280.0  0.02137779221528734
80.0  523.1  4411.0  0.023261341319880932
90.0  554.9  4523.0  0.02512488805945213
100.0  584.9  4619.0  0.026914865780828263
110.0  613.4  4702.0  0.028590208113967973
120.0  640.7  4776.0  0.03036017127751423
130.0  666.9  4840.0  0.03201031083885316
140.0  692.0  4897.0  0.03359136793880237
150.0  716.3  4948.0  0.035242020373412196
160.0  739.8  4993.0  0.03682309058186181
170.0  762.6  5034.0  0.03845451859014751
180.0  784.7  5070.0  0.04003560914985558
200.0  827.1  5132.0  0.04312934036129002
225.0  877.3  5193.0  0.046976377042083614
250.0  924.8  5239.0  0.05070956517265752
275.0  969.9  5274.0  0.05446200510447628
300.0  1013.0  5300.0  0.058172330192282996
325.0  1054.0  5319.0  0.061811083148574586
350.0  1094.0  5331.0  0.06542682935921625
375.0  1133.0  5338.0  0.06902463328406751
400.0  1171.0  5342.0  0.07254550296193418
450.0  1249.0  5338.0  0.07968801666499173
500.0  1322.0  5325.0  0.08670841942971859
550.0  1390.0  5303.0  0.09371632728612449
600.0  1453.0  5276.0  0.10072065329414817
650.0  1512.0  5246.0  0.1076296427570026
700.0  1567.0  5212.0  0.11452187563954758
800.0  1669.0  5138.0  0.12840440023612898
900.0  1761.0  5059.0  0.14217165680964686
1000.0  1845.0  4978.0  0.1560371109704355
1100.0  1923.0  4897.0  0.16990403173556537
1200.0  1996.0  4816.0  0.18373573414009592
1300.0  2065.0  4736.0  0.1976456930975224
1400.0  2131.0  4659.0  0.21157714904970246
1500.0  2193.0  4583.0  0.22558692337988034
1600.0  2253.0  4509.0  0.23959801752101373
1700.0  2312.0  4438.0  0.25359481461575667
1800.0  2368.0  4369.0  0.267782953154229
2000.0  2476.0  4236.0  0.29606938375995584
2250.0  2605.0  4083.0  0.3316578206525515
2500.0  2728.0  3941.0  0.3674427030164023
2750.0  2847.0  3810.0  0.4033767221841142
3000.0  2961.0  3688.0  0.4393813036532165
3250.0  3071.0  3576.0  0.47537333749380606
3500.0  3178.0  3471.0  0.511530771312929
3750.0  3281.0  3373.0  0.5475783140337098
4000.0  3382.0  3281.0  0.58369730168984
4500.0  3575.0  3114.0  0.6558031259455843
5000.0  3759.0  2966.0  0.7277502731019756
5500.0  3933.0  2834.0  0.7993104903602855
6000.0  4099.0  2715.0  0.870532900010103
6500.0  4258.0  2607.0  0.9412749917000877
7000.0  4411.0  2509.0  1.0114691641369993
8000.0  4701.0  2336.0  1.149942302900454
9000.0  4973.0  2190.0  1.2910380009899012
10000.0  5231.0  2063.0  1.4221380277596123
11000.0  5480.0  1952.0  1.5530767302358246
12000.0  5721.0  1854.0  1.6838842002940702
13000.0  5956.0  1767.0  1.8145654686453174
14000.0  6188.0  1689.0  1.9352775123997075
15000.0  6417.0  1618.0  2.0558827909197546
16000.0  6645.0  1554.0  2.1763957383711263
17000.0  6872.0  1496.0  2.2968406845055664
18000.0  7099.0  1442.0  2.4172088449283815
20000.0  7554.0  1347.0  2.6380654464967317
22500.0  8125.0  1247.0  2.9088740106783586
25000.0  8700.0  1162.0  3.169463577642122
27500.0  9277.0  1089.0  3.409959917652992
30000.0  9853.0  1026.0  3.6403203732638696
