#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  189.1  2315.0  0.0075099933422074355
11.0  198.3  2411.0  0.007840280607223188
12.0  207.1  2500.0  0.008170679286326199
13.0  215.6  2584.0  0.008572630868059117
14.0  223.7  2663.0  0.008809653795694813
15.0  231.6  2737.0  0.009140021881811882
16.0  239.2  2808.0  0.009419660291114537
17.0  246.5  2875.0  0.009749871794028885
18.0  253.7  2939.0  0.010058826969383657
20.0  267.4  3058.0  0.010575916035975325
22.5  283.6  3194.0  0.011236102527122116
25.0  298.9  3318.0  0.01184694053331914
27.5  313.5  3431.0  0.012485992151206887
30.0  327.5  3535.0  0.013097327971765844
32.5  340.8  3631.0  0.013642580401082488
35.0  353.7  3721.0  0.014160155366379283
37.5  366.1  3805.0  0.01477193284577208
40.0  378.1  3884.0  0.015316984037335812
45.0  401.1  4027.0  0.016352675622050356
50.0  422.8  4156.0  0.017294507798720382
55.0  443.4  4272.0  0.018357287381309907
60.0  463.1  4377.0  0.01929922278227805
65.0  482.0  4473.0  0.020221275924134956
70.0  500.2  4562.0  0.02116341182323871
80.0  534.8  4719.0  0.022933599804653433
90.0  567.2  4854.0  0.024583937845674766
100.0  597.9  4972.0  0.026259855292822924
110.0  627.1  5077.0  0.027910929758788047
120.0  655.0  5169.0  0.029492032822442067
130.0  681.7  5252.0  0.03104851043125902
140.0  707.4  5326.0  0.03258603995578475
150.0  732.3  5394.0  0.03404776057246643
160.0  756.3  5454.0  0.03560477496067065
170.0  779.6  5509.0  0.03704767199163802
180.0  802.2  5560.0  0.03850960919043454
200.0  845.5  5648.0  0.04141473167847402
225.0  896.8  5738.0  0.04491614409096133
250.0  945.4  5811.0  0.048341079838994085
275.0  991.5  5871.0  0.05176620519219079
300.0  1036.0  5919.0  0.055173272514869004
325.0  1078.0  5959.0  0.05846246659182283
350.0  1119.0  5990.0  0.061770057471237635
375.0  1158.0  6016.0  0.06508210199432714
400.0  1196.0  6036.0  0.06827635022465686
450.0  1268.0  6062.0  0.07466552082454123
500.0  1336.0  6074.0  0.08105541314434218
550.0  1402.0  6076.0  0.08733246818909907
600.0  1464.0  6070.0  0.09360608954549912
650.0  1523.0  6057.0  0.09986335664296489
700.0  1579.0  6039.0  0.10604565054729968
800.0  1682.0  5992.0  0.11836992861364748
900.0  1777.0  5935.0  0.13056259035420523
1000.0  1865.0  5871.0  0.14285366638627095
1100.0  1948.0  5804.0  0.15504947597460625
1200.0  2026.0  5734.0  0.16734312056370887
1300.0  2100.0  5663.0  0.1795215307421369
1400.0  2170.0  5592.0  0.1917823245244462
1500.0  2238.0  5521.0  0.20404425990456093
1600.0  2303.0  5451.0  0.21630714273920776
1700.0  2366.0  5381.0  0.22855220410225757
1800.0  2428.0  5313.0  0.2408953507230889
2000.0  2545.0  5181.0  0.26560237197736014
2250.0  2684.0  5024.0  0.29658927829576043
2500.0  2817.0  4876.0  0.32765985411704013
2750.0  2943.0  4737.0  0.35879981884053397
3000.0  3064.0  4606.0  0.39002371722755524
3250.0  3180.0  4483.0  0.4214153414388233
3500.0  3291.0  4367.0  0.45270989607032014
3750.0  3399.0  4258.0  0.4841727274434197
4000.0  3502.0  4155.0  0.5156090282374814
4500.0  3697.0  3965.0  0.5786016678164694
5000.0  3878.0  3795.0  0.6415152297490685
5500.0  4048.0  3641.0  0.704505826803441
6000.0  4206.0  3501.0  0.7673218229660878
6500.0  4356.0  3373.0  0.8301049271025923
7000.0  4496.0  3256.0  0.8926588206028102
8000.0  4756.0  3048.0  1.0173300840926707
9000.0  4994.0  2869.0  1.1385239259673028
10000.0  5214.0  2713.0  1.2694297381107786
11000.0  5422.0  2576.0  1.3903799480717491
12000.0  5620.0  2454.0  1.5112413473697708
13000.0  5813.0  2345.0  1.632026531647081
14000.0  6002.0  2247.0  1.7527156900079375
15000.0  6189.0  2157.0  1.863469626798355
16000.0  6376.0  2076.0  1.9840236616532576
17000.0  6563.0  2001.0  2.0946482401587145
18000.0  6751.0  1933.0  2.2150840006645347
20000.0  7133.0  1811.0  2.43611641963187
22500.0  7624.0  1681.0  2.707201316858427
25000.0  8132.0  1571.0  2.9581782992240346
27500.0  8654.0  1476.0  3.2088801068285493
30000.0  9189.0  1393.0  3.4494438392297386
