#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  170.8  2253.0  0.0073769912566031964
11.0  179.2  2340.0  0.007707788269017255
12.0  187.1  2421.0  0.008015609770940698
13.0  194.8  2497.0  0.008438601779915912
14.0  202.1  2568.0  0.008769264507357502
15.0  209.2  2635.0  0.009077444574328174
16.0  216.1  2698.0  0.009284934033152848
17.0  222.7  2758.0  0.009615612304996494
18.0  229.2  2815.0  0.009923708984044223
20.0  241.6  2920.0  0.010469957019969089
22.5  256.2  3039.0  0.011193748255164577
25.0  270.1  3147.0  0.011832582135780848
27.5  283.3  3245.0  0.012493598360760604
30.0  295.9  3334.0  0.013103053079339946
32.5  308.0  3417.0  0.013741906709041508
35.0  319.6  3493.0  0.014258681565979375
37.5  330.8  3564.0  0.014897650821522165
40.0  341.7  3630.0  0.015414603465545264
45.0  362.4  3750.0  0.016592166826548002
50.0  382.0  3856.0  0.017626684316683044
55.0  400.6  3950.0  0.018689301752607027
60.0  418.4  4035.0  0.019724350432904
65.0  435.5  4112.0  0.02069323560973489
70.0  452.0  4183.0  0.02172855264392914
80.0  483.2  4306.0  0.023591100016743603
90.0  512.5  4410.0  0.025501568579207046
100.0  540.2  4499.0  0.027270680226206316
110.0  566.6  4577.0  0.02904014462773903
120.0  591.8  4644.0  0.03083018001893599
130.0  615.9  4703.0  0.032600000000000004
140.0  639.2  4755.0  0.034275501455120976
150.0  661.6  4801.0  0.03592561760081516
160.0  683.3  4842.0  0.03760132976371979
170.0  704.4  4878.0  0.03927709256042255
180.0  724.8  4911.0  0.040927863369592116
200.0  764.0  4965.0  0.04414045763242606
225.0  810.3  5017.0  0.04810634053843631
250.0  854.2  5055.0  0.05204815078367338
275.0  895.9  5083.0  0.055876291931372835
300.0  935.7  5103.0  0.059723864576900924
325.0  973.9  5116.0  0.06355289135830092
350.0  1011.0  5123.0  0.06738234190053059
375.0  1049.0  5125.0  0.07111188367635891
400.0  1132.0  5124.0  0.07484637599777294
450.0  1253.0  5113.0  0.08217913360458359
500.0  1338.0  5092.0  0.08950832363529103
550.0  1400.0  5065.0  0.09672481584371201
600.0  1450.0  5033.0  0.10395984801835756
650.0  1493.0  4998.0  0.11117778555089142
700.0  1531.0  4960.0  0.11837896772653494
800.0  1604.0  4879.0  0.13279619723471
900.0  1675.0  4796.0  0.1472946706435776
1000.0  1747.0  4711.0  0.16187047290966936
1100.0  1820.0  4627.0  0.17645254319504722
1200.0  1893.0  4545.0  0.19110795378528858
1300.0  1966.0  4464.0  0.2058659029562691
1400.0  2038.0  4386.0  0.22060530365338002
1500.0  2109.0  4310.0  0.23534623430171983
1600.0  2179.0  4236.0  0.25006881053022184
1700.0  2248.0  4165.0  0.26488963739640703
1800.0  2314.0  4096.0  0.2797117266043739
2000.0  2441.0  3965.0  0.30942188028644646
2250.0  2590.0  3815.0  0.34667653511594926
2500.0  2727.0  3676.0  0.3838704208453681
2750.0  2853.0  3549.0  0.42124314831223075
3000.0  2971.0  3431.0  0.4585714884290126
3250.0  3079.0  3322.0  0.4959710475420919
3500.0  3181.0  3221.0  0.5334561743948607
3750.0  3276.0  3127.0  0.5708984936045987
4000.0  3366.0  3040.0  0.6084433580868478
4500.0  3533.0  2880.0  0.6835808291636037
5000.0  3686.0  2740.0  0.7586432363107181
5500.0  3830.0  2615.0  0.8336602485425342
6000.0  3966.0  2502.0  0.9084778203126371
6500.0  4097.0  2400.0  0.9831812447356795
7000.0  4225.0  2308.0  1.0594693247093094
8000.0  4474.0  2146.0  1.2010139799352877
9000.0  4721.0  2009.0  1.3521560301976987
10000.0  4967.0  1890.0  1.4932835263271338
11000.0  5216.0  1787.0  1.6342664562426779
12000.0  5466.0  1696.0  1.7750746068827643
13000.0  5720.0  1615.0  1.9058971430798672
14000.0  5976.0  1543.0  2.036590889206764
15000.0  6234.0  1477.0  2.167171543740827
16000.0  6494.0  1418.0  2.287752928093416
17000.0  6755.0  1364.0  2.4181356723724168
18000.0  7017.0  1315.0  2.5286515319434586
20000.0  7543.0  1227.0  2.7594287995887843
22500.0  8198.0  1135.0  3.0302172479873453
25000.0  8845.0  1057.0  3.290746731366606
27500.0  9481.0  989.8  3.5311665522883513
30000.0  10100.0  932.0  3.7614427404920043
