#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  56.71  1387.0  0.008701149349367589
11.0  59.48  1431.0  0.009237965143904799
12.0  62.12  1471.0  0.009689685237405807
13.0  64.66  1508.0  0.010176934705499489
14.0  67.1  1542.0  0.010629205050237765
15.0  69.45  1574.0  0.01103675676999362
16.0  71.73  1603.0  0.011489125293076058
17.0  73.94  1631.0  0.011941942890501529
18.0  76.08  1658.0  0.01234908903522847
20.0  80.2  1706.0  0.013126309458488323
22.5  85.06  1759.0  0.014149558296992878
25.0  89.66  1805.0  0.015171354586852159
27.5  94.04  1847.0  0.016112727888225507
30.0  98.22  1884.0  0.0169729196074217
32.5  102.2  1917.0  0.017914519251154913
35.0  106.1  1948.0  0.018856298682403183
37.5  109.8  1975.0  0.019716490559934848
40.0  113.4  2000.0  0.020624742422634037
45.0  120.3  2045.0  0.022380795338861396
50.0  126.8  2082.0  0.024021656895393376
55.0  133.0  2115.0  0.025662813563598206
60.0  138.9  2143.0  0.027337337105138828
65.0  144.6  2167.0  0.028978785343764843
70.0  150.0  2188.0  0.030620418024579616
80.0  160.4  2222.0  0.03387152196167158
90.0  170.1  2249.0  0.03702782737347683
100.0  179.3  2269.0  0.04015233492587947
110.0  188.1  2284.0  0.04322568680773043
120.0  196.4  2296.0  0.04630701890642498
130.0  204.5  2304.0  0.049432883792067006
140.0  212.2  2310.0  0.05247485111936955
150.0  219.6  2314.0  0.05547341705718154
160.0  226.8  2316.0  0.058600085324169965
170.0  233.8  2316.0  0.06156792996357763
180.0  240.6  2315.0  0.06469513119238572
200.0  253.6  2311.0  0.07077930488497326
225.0  300.7  2300.0  0.07836102347468415
250.0  337.0  2286.0  0.08580425397379783
275.0  359.7  2270.0  0.09334570156145383
300.0  375.1  2253.0  0.10084621956226222
325.0  387.1  2234.0  0.10838952901456857
350.0  397.7  2214.0  0.1159778427114421
375.0  408.0  2194.0  0.12357884123101333
400.0  418.6  2174.0  0.1312963822807011
450.0  441.4  2133.0  0.14679053102976364
500.0  466.7  2092.0  0.16254731618824103
550.0  494.2  2053.0  0.17829531682015656
600.0  523.3  2014.0  0.19419129743631666
650.0  553.5  1977.0  0.21029277210593805
700.0  584.4  1941.0  0.2263966872549155
800.0  646.5  1873.0  0.2587834036409599
900.0  707.5  1810.0  0.2913156535443985
1000.0  766.4  1752.0  0.32401581751513303
1100.0  822.5  1697.0  0.3568526026246691
1200.0  875.9  1647.0  0.3896838847065657
1300.0  926.7  1600.0  0.4226268093720511
1400.0  974.9  1556.0  0.45559374446978534
1500.0  1021.0  1515.0  0.4885949754141973
1600.0  1065.0  1476.0  0.5216843202550754
1700.0  1107.0  1440.0  0.5546478792891938
1800.0  1148.0  1406.0  0.5876752589653575
2000.0  1226.0  1343.0  0.6537060501479239
2250.0  1319.0  1273.0  0.7360566825999205
2500.0  1408.0  1212.0  0.8180506157934239
2750.0  1495.0  1157.0  0.8994789825226602
3000.0  1581.0  1107.0  0.9800806191329366
3250.0  1668.0  1063.0  1.059909519723264
3500.0  1755.0  1023.0  1.142593370364103
3750.0  1843.0  985.6  1.2165601670283308
4000.0  1932.0  951.6  1.2902144356656378
4500.0  2114.0  891.4  1.4458302977873996
5000.0  2300.0  839.4  1.5817338903873812
5500.0  2492.0  794.1  1.7258524067833843
6000.0  2686.0  754.1  1.8596320738253576
6500.0  2884.0  718.6  1.9832106116093673
7000.0  3082.0  686.7  2.105997352799856
8000.0  3480.0  631.8  2.3402286469488405
9000.0  3875.0  586.2  2.5439661259537245
10000.0  4262.0  547.5  2.7460142242894516
11000.0  4637.0  514.2  2.9277322076993313
12000.0  5000.0  485.2  3.108442093718331
13000.0  5348.0  459.8  3.269247811041555
14000.0  5682.0  437.1  3.429393580503702
15000.0  6001.0  416.9  3.579453848005307
16000.0  6306.0  398.7  3.7194771097561548
17000.0  6596.0  382.2  3.859149731482312
18000.0  6873.0  367.2  3.988905916413673
20000.0  7390.0  340.8  4.238125077201002
22500.0  7973.0  313.2  4.536679068437617
25000.0  8495.0  290.2  4.824826894304085
27500.0  8969.0  270.7  5.083328140106637
30000.0  9400.0  253.9  5.341503467189739
