#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  69.67  1861.0  0.007621023553303061
11.0  73.07  1916.0  0.007978721702127479
12.0  76.32  1966.0  0.008435045939412541
13.0  79.43  2013.0  0.008854942122905152
14.0  82.43  2055.0  0.00927523584605804
15.0  85.33  2095.0  0.009579665964948882
16.0  88.12  2131.0  0.010035935432235504
17.0  90.84  2166.0  0.01036677384724872
18.0  93.47  2198.0  0.010787492757819121
20.0  98.53  2256.0  0.01144945413545991
22.5  104.5  2320.0  0.012416521251944927
25.0  110.2  2376.0  0.013259336333316234
27.5  115.5  2425.0  0.014045995870709916
30.0  120.7  2468.0  0.014923136399564269
32.5  125.6  2507.0  0.015766420012165095
35.0  130.3  2542.0  0.01651938255504727
37.5  134.9  2573.0  0.01739655138238611
40.0  139.3  2602.0  0.018124568960391857
45.0  147.8  2651.0  0.019663926362758787
50.0  155.8  2692.0  0.021236996021094887
55.0  163.4  2726.0  0.02277630347532277
60.0  170.7  2755.0  0.02425881283162884
65.0  177.6  2779.0  0.025650146198413763
70.0  184.3  2800.0  0.027165235136107326
80.0  197.1  2832.0  0.030064098190366532
90.0  209.0  2854.0  0.032939641770972555
100.0  220.3  2869.0  0.03581577864573099
110.0  231.1  2878.0  0.038669238420222345
120.0  241.3  2884.0  0.0414539503545802
130.0  251.2  2885.0  0.0443312530840264
140.0  260.7  2884.0  0.047116239238716835
150.0  269.8  2880.0  0.04994126550258814
160.0  278.7  2875.0  0.052726558772595813
170.0  287.3  2868.0  0.05558246126252417
180.0  295.6  2860.0  0.05836788500536918
200.0  311.6  2840.0  0.06407316130799229
225.0  365.4  2812.0  0.07117225583048496
250.0  408.3  2781.0  0.07812848392231864
275.0  437.0  2748.0  0.08520803952679583
300.0  457.9  2714.0  0.09228076722697964
325.0  474.7  2680.0  0.09942690782680512
350.0  489.6  2645.0  0.10660211067328827
375.0  503.9  2611.0  0.11384362081381637
400.0  518.4  2578.0  0.12108596120112357
450.0  549.1  2512.0  0.13588219162200763
500.0  582.8  2449.0  0.15079459539386683
550.0  619.2  2389.0  0.16594474984162652
600.0  657.6  2331.0  0.1811917768553529
650.0  697.4  2277.0  0.1965546234510906
700.0  738.0  2225.0  0.21196841745882805
800.0  819.7  2129.0  0.24302899004028308
900.0  900.2  2042.0  0.27431053570725283
1000.0  978.0  1962.0  0.30566195379863687
1100.0  1053.0  1890.0  0.3370469551857723
1200.0  1124.0  1823.0  0.3684850878936623
1300.0  1191.0  1762.0  0.3998637517955335
1400.0  1256.0  1706.0  0.43132073912576935
1500.0  1318.0  1654.0  0.46264175125036006
1600.0  1377.0  1605.0  0.4939278287361424
1700.0  1434.0  1560.0  0.5251568337173191
1800.0  1489.0  1517.0  0.5562514629194246
2000.0  1594.0  1440.0  0.6182040278095898
2250.0  1718.0  1356.0  0.6949878344258984
2500.0  1838.0  1282.0  0.7708919703823618
2750.0  1954.0  1217.0  0.8457467410519535
3000.0  2069.0  1160.0  0.9194573508325442
3250.0  2183.0  1109.0  0.9919829434017503
3500.0  2297.0  1062.0  1.062494094101233
3750.0  2412.0  1020.0  1.133452782430746
4000.0  2527.0  981.6  1.2042817153805832
4500.0  2761.0  914.1  1.3359305745434529
5000.0  2998.0  856.5  1.4574299571506002
5500.0  3238.0  806.6  1.578503018685742
6000.0  3480.0  763.0  1.6992785204315388
6500.0  3723.0  724.5  1.8100055911515855
7000.0  3967.0  690.2  1.910724995911238
8000.0  4453.0  631.6  2.111597464006812
9000.0  4931.0  583.2  2.292228943626705
10000.0  5398.0  542.5  2.4625595221232723
11000.0  5849.0  507.8  2.622702890149778
12000.0  6285.0  477.7  2.772724670788645
13000.0  6702.0  451.4  2.912690022985625
14000.0  7102.0  428.2  3.042620891599872
15000.0  7483.0  407.4  3.1724322924216994
16000.0  7846.0  388.9  3.2922557753005766
17000.0  8191.0  372.1  3.412002856094936
18000.0  8520.0  356.8  3.5217946689152675
20000.0  9130.0  330.2  3.7412802100350624
22500.0  9811.0  302.5  3.9907260003663496
25000.0  10410.0  279.5  4.220180589737836
27500.0  10950.0  260.0  4.449515170217987
30000.0  11430.0  243.3  4.668875223220256
