#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  60.7  1389.0  0.008826097665446491
11.0  63.66  1432.0  0.009313431161500041
12.0  66.49  1471.0  0.009801020355044673
13.0  69.21  1507.0  0.01025426740435415
14.0  71.82  1540.0  0.01074197374787334
15.0  74.34  1571.0  0.011114405067298924
16.0  76.78  1600.0  0.011568059474259285
17.0  79.14  1627.0  0.012055704044144414
18.0  81.43  1652.0  0.012428193754524428
20.0  85.84  1699.0  0.013241223508422476
22.5  91.05  1750.0  0.014311533810182612
25.0  95.97  1794.0  0.01525352418295523
27.5  100.7  1834.0  0.016277899127344415
30.0  105.1  1870.0  0.017220336814359933
32.5  109.4  1901.0  0.0181628742218846
35.0  113.6  1930.0  0.019105496591295398
37.5  117.5  1956.0  0.01996547019230952
40.0  121.4  1980.0  0.02090813238909683
45.0  128.8  2021.0  0.02263271967749347
50.0  135.7  2056.0  0.024390571949013416
55.0  142.3  2086.0  0.026160657484092405
60.0  148.7  2112.0  0.02780287754891569
65.0  154.8  2134.0  0.029528799501503614
70.0  160.6  2153.0  0.03112715855968868
80.0  171.7  2183.0  0.03441249772974929
90.0  182.1  2206.0  0.03765434901840689
100.0  191.9  2223.0  0.040865021717845694
110.0  201.3  2236.0  0.04407641092466581
120.0  210.3  2245.0  0.04723483883745133
130.0  218.9  2251.0  0.050446902779060686
140.0  227.1  2254.0  0.05357443420139871
150.0  235.1  2256.0  0.05665950935191726
160.0  242.8  2256.0  0.05987253126434526
170.0  250.3  2254.0  0.06295824012788159
180.0  257.5  2252.0  0.06605588543044442
200.0  271.5  2244.0  0.07235592581122849
225.0  331.2  2230.0  0.0801003121092546
250.0  371.9  2214.0  0.0878458877808176
275.0  396.1  2195.0  0.09547648925259036
300.0  411.5  2175.0  0.10318260512315049
325.0  422.5  2155.0  0.110987341620565
350.0  431.6  2134.0  0.11879297117254034
375.0  440.2  2112.0  0.12657021766592647
400.0  449.1  2091.0  0.13450449806604983
450.0  469.3  2048.0  0.15055487371719323
500.0  493.1  2007.0  0.16670707843400054
550.0  520.0  1966.0  0.18302516220454498
600.0  549.3  1927.0  0.1995883012603695
650.0  580.0  1889.0  0.21604726334762958
700.0  611.7  1853.0  0.23275104725865361
800.0  675.3  1785.0  0.26622494248285605
900.0  737.4  1723.0  0.2998077550698114
1000.0  796.4  1665.0  0.3335005847071336
1100.0  851.9  1612.0  0.36730468279073164
1200.0  903.7  1562.0  0.4011322599841604
1300.0  952.2  1516.0  0.4350468250659922
1400.0  997.7  1473.0  0.46911250249806813
1500.0  1041.0  1433.0  0.5030528401669153
1600.0  1081.0  1396.0  0.5371459112755118
1700.0  1120.0  1361.0  0.5712759315777272
1800.0  1158.0  1328.0  0.6054347198501255
2000.0  1229.0  1267.0  0.6737908354971891
2250.0  1314.0  1200.0  0.7592445850975824
2500.0  1396.0  1141.0  0.8443409856213306
2750.0  1478.0  1088.0  0.9288788187917734
3000.0  1560.0  1041.0  1.0126871876349577
3250.0  1643.0  998.8  1.0982104898424527
3500.0  1727.0  960.3  1.1819809220118573
3750.0  1813.0  925.1  1.2562264923173687
4000.0  1901.0  892.8  1.339331523559421
4500.0  2082.0  835.6  1.495331297739735
5000.0  2270.0  786.4  1.6408523181566341
5500.0  2463.0  743.5  1.785215306342627
6000.0  2661.0  705.7  1.9191841730276957
6500.0  2862.0  672.1  2.052282390413171
7000.0  3065.0  642.0  2.175139903546436
8000.0  3473.0  590.3  2.4094751005146327
9000.0  3878.0  547.3  2.6226515685466114
10000.0  4276.0  511.0  2.824668598260688
11000.0  4663.0  479.7  3.0062887186695826
12000.0  5035.0  452.5  3.186911875154379
13000.0  5393.0  428.6  3.3475889144278153
14000.0  5736.0  407.4  3.5076345833053937
15000.0  6063.0  388.4  3.6575693035129215
16000.0  6374.0  371.4  3.797478768867576
17000.0  6670.0  355.9  3.9370805287674773
18000.0  6952.0  341.8  4.066720951823472
20000.0  7475.0  317.1  4.315780886467708
22500.0  8061.0  291.4  4.614163314188175
25000.0  8583.0  269.9  4.892463626844864
27500.0  9052.0  251.6  5.160586962739801
30000.0  9477.0  236.0  5.408915205473275
