#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  55.38  1369.0  0.00883006228743603
11.0  58.08  1412.0  0.009317188417113823
12.0  60.66  1451.0  0.009769339793455852
13.0  63.14  1487.0  0.010256705123966469
14.0  65.52  1521.0  0.010709341716464184
15.0  67.82  1552.0  0.011116654172906523
16.0  70.04  1581.0  0.011569356075426153
17.0  72.2  1608.0  0.012056948204251357
18.0  74.29  1633.0  0.012429400629153443
20.0  78.31  1680.0  0.013289469515371936
22.5  83.06  1732.0  0.014311184437355282
25.0  87.56  1777.0  0.015300000000000001
27.5  91.83  1817.0  0.016275441622272496
30.0  95.91  1853.0  0.01721685220939066
32.5  99.83  1885.0  0.018158469098467526
35.0  103.6  1915.0  0.019100261778310788
37.5  107.2  1941.0  0.01992661536739243
40.0  110.8  1966.0  0.020868636754709208
45.0  117.5  2008.0  0.022624765192151723
50.0  123.8  2045.0  0.024393851684389654
55.0  129.9  2075.0  0.026068179836728152
60.0  135.6  2102.0  0.0277093846918332
65.0  141.2  2125.0  0.029433654207386487
70.0  146.5  2145.0  0.03107539219382436
80.0  156.6  2178.0  0.03435927822291965
90.0  166.1  2202.0  0.03756021831672441
100.0  175.1  2221.0  0.04080024509730303
110.0  183.7  2235.0  0.043925049800768584
120.0  191.8  2245.0  0.047050398510533366
130.0  199.7  2253.0  0.050207967495209366
140.0  207.2  2258.0  0.05333394791312565
150.0  214.5  2261.0  0.05654458417921207
160.0  221.5  2262.0  0.05967126611695114
170.0  228.3  2261.0  0.06275492012583556
180.0  234.9  2260.0  0.06588209164864152
200.0  247.7  2254.0  0.0720939664604466
225.0  305.1  2242.0  0.07979135291496191
250.0  343.9  2228.0  0.08744741276904652
275.0  366.4  2211.0  0.09510467916984947
300.0  380.4  2192.0  0.10280476642646488
325.0  390.5  2173.0  0.11051918385511178
350.0  399.2  2153.0  0.1182347664606312
375.0  407.8  2133.0  0.12607874523487295
400.0  416.9  2112.0  0.13396842911671392
450.0  437.6  2071.0  0.14983290693302323
500.0  462.0  2030.0  0.16591895612014923
550.0  489.6  1991.0  0.18221056500653302
600.0  519.5  1952.0  0.19859191826456585
650.0  551.0  1915.0  0.21502299876989905
700.0  583.5  1880.0  0.23145666981100374
800.0  649.2  1812.0  0.2646301192230393
900.0  713.7  1750.0  0.29799848992905986
1000.0  775.7  1693.0  0.3313490003002876
1100.0  834.5  1639.0  0.3647589066767254
1200.0  889.8  1590.0  0.39821443971809967
1300.0  941.9  1544.0  0.4316937456113999
1400.0  991.1  1501.0  0.46517061386119396
1500.0  1037.0  1461.0  0.49864625738092133
1600.0  1081.0  1423.0  0.5321844041307486
1700.0  1123.0  1387.0  0.5657141415944983
1800.0  1164.0  1354.0  0.5991646267930042
2000.0  1240.0  1293.0  0.6661879689697197
2250.0  1329.0  1225.0  0.7498408631169683
2500.0  1415.0  1165.0  0.8331074660570509
2750.0  1499.0  1112.0  0.9158128629802051
3000.0  1582.0  1064.0  0.9978436200126751
3250.0  1666.0  1021.0  1.079022455744087
3500.0  1751.0  981.8  1.1634558221092883
3750.0  1837.0  946.0  1.2375427426961867
4000.0  1924.0  913.2  1.320518564807023
4500.0  2105.0  855.0  1.4670220720902603
5000.0  2293.0  804.8  1.6123350675340409
5500.0  2486.0  761.1  1.756516282304266
6000.0  2684.0  722.6  1.890378070651477
6500.0  2885.0  688.3  2.0139764273694962
7000.0  3088.0  657.6  2.136714861650941
8000.0  3496.0  604.8  2.370872484972568
9000.0  3901.0  560.9  2.583963900676633
10000.0  4297.0  523.7  2.785860450561011
11000.0  4680.0  491.8  2.9674657757082894
12000.0  5050.0  463.9  3.138489638345171
13000.0  5404.0  439.5  3.2991441465931737
14000.0  5741.0  417.8  3.459145335194808
15000.0  6063.0  398.4  3.6091027860120586
16000.0  6369.0  380.9  3.7489845891921187
17000.0  6659.0  365.1  3.888558666138393
18000.0  6935.0  350.7  4.018234779103879
20000.0  7447.0  325.4  4.267296549338937
22500.0  8021.0  299.0  4.56569789298416
25000.0  8532.0  277.0  4.844025476811615
27500.0  8992.0  258.3  5.112181321119196
30000.0  9411.0  242.2  5.370276972373026
