# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.755000e+00  2.474000e+01  4.000000e-04
1.099990e-02  1.841000e+00  2.620000e+01  5.000000e-04
1.199990e-02  1.923000e+00  2.760000e+01  5.000000e-04
1.299990e-02  2.002000e+00  2.895000e+01  5.000000e-04
1.399990e-02  2.077000e+00  3.025000e+01  5.000000e-04
1.499990e-02  2.150000e+00  3.151000e+01  5.000000e-04
1.599990e-02  2.220000e+00  3.273000e+01  5.000000e-04
1.699990e-02  2.289000e+00  3.392000e+01  6.000000e-04
1.799990e-02  2.355000e+00  3.507000e+01  6.000000e-04
1.999990e-02  2.483000e+00  3.728000e+01  6.000000e-04
2.249990e-02  2.633000e+00  3.990000e+01  6.000000e-04
2.499990e-02  2.776000e+00  4.238000e+01  6.000000e-04
2.749990e-02  2.911000e+00  4.474000e+01  7.000000e-04
2.999990e-02  3.041000e+00  4.699000e+01  7.000000e-04
3.249990e-02  3.165000e+00  4.914000e+01  7.000000e-04
3.499990e-02  3.284000e+00  5.122000e+01  7.000000e-04
3.749990e-02  3.399000e+00  5.321000e+01  8.000000e-04
3.999990e-02  3.511000e+00  5.514000e+01  8.000000e-04
4.499990e-02  3.724000e+00  5.881000e+01  8.000000e-04
4.999990e-02  3.925000e+00  6.226000e+01  9.000000e-04
5.499990e-02  4.117000e+00  6.553000e+01  9.000000e-04
5.999990e-02  4.300000e+00  6.864000e+01  9.000000e-04
6.499990e-02  4.476000e+00  7.161000e+01  1.000000e-03
6.999990e-02  4.644000e+00  7.445000e+01  1.000000e-03
7.999990e-02  4.965000e+00  7.979000e+01  1.100000e-03
8.999990e-02  5.266000e+00  8.476000e+01  1.100000e-03
9.999990e-02  5.551000e+00  8.941000e+01  1.200000e-03
1.100000e-01  5.822000e+00  9.378000e+01  1.200000e-03
1.200000e-01  6.081000e+00  9.791000e+01  1.300000e-03
1.300000e-01  6.329000e+00  1.018000e+02  1.300000e-03
1.399990e-01  6.568000e+00  1.056000e+02  1.400000e-03
1.499990e-01  6.799000e+00  1.091000e+02  1.400000e-03
1.599990e-01  7.022000e+00  1.126000e+02  1.500000e-03
1.699990e-01  7.238000e+00  1.159000e+02  1.500000e-03
1.799990e-01  7.448000e+00  1.190000e+02  1.500000e-03
1.999990e-01  7.851000e+00  1.250000e+02  1.600000e-03
2.249990e-01  8.327000e+00  1.319000e+02  1.700000e-03
2.499990e-01  8.777000e+00  1.383000e+02  1.800000e-03
2.749990e-01  9.206000e+00  1.443000e+02  1.900000e-03
2.999990e-01  9.615000e+00  1.499000e+02  2.000000e-03
