#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  83.8  711.2  0.012002083152519816
11.0  87.89  723.0  0.012782800945019835
12.0  91.8  733.4  0.013563554106501733
13.0  95.55  742.4  0.014344336861632886
14.0  99.16  750.4  0.0151251446274077
15.0  102.6  757.4  0.01590597372058687
16.0  106.0  763.6  0.016686821147240717
17.0  109.3  769.1  0.017467684448718438
18.0  112.4  774.0  0.018157367650626016
20.0  118.5  782.2  0.01971927990571664
22.5  125.7  790.1  0.02152417245795991
25.0  132.5  796.0  0.023290770704294007
27.5  139.0  800.2  0.025172405526687355
30.0  145.1  803.2  0.026926195423787592
32.5  151.1  805.1  0.02869337902722508
35.0  156.8  806.3  0.03049868849639276
37.5  162.3  806.7  0.032215058590665334
40.0  167.6  806.6  0.0339826426282595
45.0  177.8  805.0  0.037454372241435316
50.0  187.4  802.1  0.04089938874848865
55.0  196.5  798.3  0.04433463657232345
60.0  205.3  793.7  0.047820602254676804
65.0  213.7  788.7  0.05129424919033322
70.0  221.7  783.4  0.054780744792308184
80.0  237.0  772.0  0.061655575579180194
90.0  251.5  760.2  0.0686475782529872
100.0  274.6  748.3  0.07552489655736049
110.0  293.0  736.5  0.08235447771675806
120.0  308.6  724.9  0.0892647746874432
130.0  322.7  713.6  0.0960962538291686
140.0  336.0  702.5  0.10292458404093748
150.0  349.0  691.8  0.10983774396809141
160.0  361.8  681.4  0.11674879014362419
170.0  374.5  671.4  0.12358050007990744
180.0  387.0  661.7  0.13049386958780862
200.0  411.8  643.2  0.14431226559097463
225.0  442.1  621.8  0.16148303316447832
250.0  471.5  602.0  0.17866065599342235
275.0  500.1  583.7  0.19571831799808623
300.0  527.8  566.7  0.21265751808953287
325.0  554.7  550.9  0.2296510396231639
350.0  580.8  536.2  0.2464353870693087
375.0  606.1  522.4  0.26323151407078904
400.0  630.7  509.5  0.27987331062464677
450.0  678.1  485.9  0.31280116687761894
500.0  723.3  464.8  0.34536725380383126
550.0  766.7  445.9  0.377514503032665
600.0  808.4  428.8  0.4092978499821371
650.0  848.9  413.2  0.44058994541410046
700.0  888.3  398.9  0.47142384326633285
800.0  964.4  373.7  0.5319647544715721
900.0  1038.0  352.0  0.5908579778593162
1000.0  1109.0  333.2  0.6480507156079685
1100.0  1178.0  316.6  0.7037643426602402
1200.0  1246.0  301.9  0.7578870826185125
1300.0  1313.0  288.7  0.8105484131129984
1400.0  1378.0  276.8  0.8618717131917024
1500.0  1444.0  266.0  0.9119193220894051
1600.0  1508.0  256.1  0.9605984072441511
1700.0  1572.0  247.1  1.0080298507484786
1800.0  1635.0  238.8  1.0543666345252016
2000.0  1760.0  224.0  1.1481307678134924
2250.0  1914.0  208.2  1.2507642343783258
2500.0  2066.0  194.8  1.3523502393980638
2750.0  2214.0  183.2  1.4438729376229753
3000.0  2358.0  173.1  1.534731044841408
3250.0  2500.0  164.3  1.6250567159333238
3500.0  2638.0  156.3  1.7055634435575828
3750.0  2772.0  149.3  1.7857385054928954
4000.0  2903.0  142.9  1.8561634949540409
4500.0  3153.0  131.8  2.0057350198867248
5000.0  3389.0  122.5  2.135636310330015
5500.0  3612.0  114.6  2.264955531572309
6000.0  3821.0  107.7  2.393870215780296
6500.0  4017.0  101.7  2.5033397532096995
7000.0  4203.0  96.44  2.6125421738222716
8000.0  4541.0  87.51  2.8305209290870823
9000.0  4841.0  80.25  3.0287362248964507
10000.0  5108.0  74.21  3.2169865775287283
