#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  65.92  1166.0  0.009560857702110204
11.0  69.13  1197.0  0.01009752444909147
12.0  72.21  1224.0  0.010664426848171447
13.0  75.16  1249.0  0.011165572085656874
14.0  77.99  1272.0  0.011732859838931001
15.0  80.73  1293.0  0.012220474622534103
16.0  83.38  1313.0  0.01275656693628815
17.0  85.94  1331.0  0.013289469515371936
18.0  88.44  1348.0  0.01377715500384604
20.0  93.22  1378.0  0.014765838953476365
22.5  98.88  1411.0  0.01595054857990784
25.0  104.2  1439.0  0.01713563538360921
27.5  109.3  1463.0  0.018368179006096386
30.0  114.2  1484.0  0.01955351630781533
32.5  118.8  1502.0  0.020657686220871885
35.0  123.3  1518.0  0.021809172382279893
37.5  127.6  1532.0  0.02291331490640322
40.0  131.8  1545.0  0.0239370006475331
45.0  139.8  1566.0  0.02619351064672317
50.0  147.4  1583.0  0.028322076195081466
55.0  154.6  1596.0  0.030450944156134144
60.0  161.5  1606.0  0.03262560344269513
65.0  168.1  1614.0  0.03472146310281293
70.0  174.4  1620.0  0.036768056788467895
80.0  186.4  1628.0  0.04094887055829501
90.0  197.8  1632.0  0.04509246056715025
100.0  208.5  1632.0  0.049191665960810885
110.0  218.6  1629.0  0.05330318939800882
120.0  228.3  1625.0  0.057486781089220854
130.0  237.7  1619.0  0.06159902596632515
140.0  246.6  1612.0  0.06566749576464753
150.0  255.3  1604.0  0.06985227269029978
160.0  263.9  1596.0  0.07392144479107535
170.0  285.6  1587.0  0.07807515609974788
180.0  302.8  1578.0  0.08217651732703206
200.0  328.3  1559.0  0.09035773348197708
225.0  350.5  1534.0  0.10067065113527378
250.0  367.8  1509.0  0.11099563054463
275.0  383.1  1485.0  0.12144982503075087
300.0  398.0  1461.0  0.1319905299633273
325.0  413.1  1437.0  0.14253245244504847
350.0  428.7  1414.0  0.15324653340287997
375.0  444.7  1391.0  0.16396188581496618
400.0  461.3  1370.0  0.17476415536373585
450.0  495.2  1328.0  0.19653266904003516
500.0  529.8  1290.0  0.21843713054332134
550.0  564.3  1254.0  0.24047856453330724
600.0  598.3  1220.0  0.26248434239017004
650.0  631.4  1188.0  0.28462833660758374
700.0  663.5  1158.0  0.3068243960313456
800.0  724.3  1104.0  0.35124841636653686
900.0  780.8  1055.0  0.3957211265525256
1000.0  833.6  1011.0  0.4401777936243491
1100.0  883.2  971.9  0.48467879054070445
1200.0  930.4  936.0  0.5290538063373139
1300.0  975.7  903.2  0.5733013605426033
1400.0  1020.0  873.0  0.6174028668543742
1500.0  1063.0  845.2  0.6613244060217345
1600.0  1105.0  819.4  0.7050064822397025
1700.0  1147.0  795.5  0.7484575672675106
1800.0  1189.0  773.1  0.7917058102603517
2000.0  1272.0  732.7  0.8770875041864409
2250.0  1376.0  688.7  0.9817845690374238
2500.0  1482.0  650.6  1.0838878632035696
2750.0  1589.0  617.1  1.1802046093792382
3000.0  1698.0  587.5  1.2837473661121956
3250.0  1809.0  561.0  1.3774741013899316
3500.0  1921.0  537.1  1.4613496672596877
3750.0  2034.0  515.6  1.5538516563687796
4000.0  2149.0  495.9  1.6365742299083168
4500.0  2381.0  461.4  1.8007036180337952
5000.0  2614.0  432.0  1.9539245072417717
5500.0  2847.0  406.7  2.096483822975985
6000.0  3079.0  384.5  2.2285720562728053
6500.0  3308.0  364.9  2.3503474572922194
7000.0  3534.0  347.5  2.471385069146449
8000.0  3971.0  317.8  2.7024094175383566
9000.0  4388.0  293.3  2.9031700828577027
10000.0  4782.0  272.8  3.0931613763268158
11000.0  5154.0  255.2  3.272719878021949
12000.0  5502.0  240.1  3.4420172239545814
13000.0  5829.0  226.8  3.6012338385614453
14000.0  6135.0  215.0  3.760062458257841
15000.0  6422.0  204.6  3.8993264777394567
16000.0  6690.0  195.2  4.048012099784287
17000.0  6943.0  186.8  4.177151556982341
18000.0  7179.0  179.1  4.315867770217248
20000.0  7613.0  165.7  4.5638929457207915
22500.0  8091.0  151.7  4.861382162513044
25000.0  8512.0  140.2  5.1488312537895435
27500.0  8887.0  130.4  5.426327599767636
30000.0  9227.0  122.0  5.6939689927150114
