#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  58.59  1686.0  0.008327064308626422
11.0  61.45  1748.0  0.00873212459828649
12.0  64.19  1805.0  0.009186947262284681
13.0  66.81  1859.0  0.009559288676465421
14.0  69.33  1909.0  0.009885848471426215
15.0  71.76  1956.0  0.010341179816636011
16.0  74.12  2001.0  0.010700467279516348
17.0  76.4  2043.0  0.011072488428533128
18.0  78.61  2083.0  0.011399561395071305
20.0  82.86  2156.0  0.01209876026706869
22.5  87.89  2239.0  0.012926329718833571
25.0  92.65  2313.0  0.013741178988718544
27.5  97.17  2381.0  0.014524462124292245
30.0  101.5  2442.0  0.015308167754502824
32.5  105.6  2498.0  0.016007810593582122
35.0  109.6  2550.0  0.016823198269056927
37.5  113.5  2598.0  0.017522842235208305
40.0  117.2  2642.0  0.018222513547806737
45.0  124.3  2723.0  0.019578815081613084
50.0  131.0  2793.0  0.020935615586841483
55.0  137.4  2856.0  0.022262075374951007
60.0  143.5  2912.0  0.023534230388946226
65.0  149.4  2962.0  0.024806450773941845
70.0  155.0  3007.0  0.026048224507631997
80.0  165.7  3086.0  0.028521044861645587
90.0  175.8  3152.0  0.031035785796399616
100.0  185.3  3208.0  0.033307506661411926
110.0  194.3  3255.0  0.03565459297201414
120.0  203.0  3296.0  0.0380132871506793
130.0  211.3  3331.0  0.040245372404787115
140.0  219.2  3361.0  0.04251799618984883
150.0  226.9  3388.0  0.044750642453488865
160.0  234.4  3411.0  0.046983614164940526
170.0  241.6  3430.0  0.04916950274306219
180.0  248.6  3448.0  0.051402723663245706
200.0  262.0  3475.0  0.05575392362874563
225.0  277.9  3500.0  0.06122295321201028
250.0  293.0  3516.0  0.06656620764321788
275.0  307.3  3526.0  0.07194900972216366
300.0  320.9  3530.0  0.07726577508832744
325.0  336.7  3530.0  0.08258341237803146
350.0  353.0  3527.0  0.08792911918130421
375.0  369.0  3522.0  0.09324789541860987
400.0  384.6  3514.0  0.09865566380091921
450.0  414.4  3493.0  0.10929565407645447
500.0  441.9  3467.0  0.11998824942468325
550.0  467.5  3439.0  0.13069330510779809
600.0  491.4  3408.0  0.14138868412995434
650.0  513.9  3375.0  0.15223754464651615
700.0  535.1  3342.0  0.16312464559348475
800.0  575.1  3274.0  0.1849183062868574
900.0  612.4  3207.0  0.20713630777823575
1000.0  648.1  3141.0  0.22947657832554502
1100.0  682.7  3076.0  0.25212653569190213
1200.0  716.4  3014.0  0.27507497159865346
1300.0  749.5  2954.0  0.29817199734381494
1400.0  782.1  2897.0  0.32148811797638804
1500.0  814.4  2841.0  0.3449534896185282
1600.0  846.3  2788.0  0.36862710155386025
1700.0  877.9  2737.0  0.3925523277220504
1800.0  909.2  2688.0  0.4165609799297097
2000.0  971.2  2596.0  0.46497438639133665
2250.0  1048.0  2491.0  0.5263298680485462
2500.0  1123.0  2395.0  0.5881744129082802
2750.0  1198.0  2308.0  0.6505791957940248
3000.0  1273.0  2228.0  0.7132018858640239
3250.0  1347.0  2154.0  0.7759893427103236
3500.0  1420.0  2086.0  0.8389215517555858
3750.0  1492.0  2023.0  0.9017685900495759
4000.0  1565.0  1964.0  0.964579416118756
4500.0  1708.0  1858.0  1.0870926363470594
5000.0  1849.0  1765.0  1.2128202216322086
5500.0  1989.0  1682.0  1.3380754911439041
6000.0  2128.0  1608.0  1.4534659438734712
6500.0  2265.0  1541.0  1.577731437856266
7000.0  2402.0  1480.0  1.6922219505726783
8000.0  2675.0  1374.0  1.919914927802792
9000.0  2945.0  1285.0  2.1365643636455234
10000.0  3214.0  1208.0  2.3518569790699435
11000.0  3481.0  1141.0  2.5564387612458077
12000.0  3746.0  1082.0  2.7504489560797163
13000.0  4010.0  1030.0  2.933977948110721
14000.0  4271.0  983.3  3.1166980251541854
15000.0  4529.0  941.2  3.2891418485677995
16000.0  4785.0  903.0  3.4513908747054427
17000.0  5036.0  868.3  3.613067745005621
18000.0  5284.0  836.5  3.7742885753476774
20000.0  5768.0  780.2  4.066740891672347
22500.0  6348.0  720.9  4.408800835828264
25000.0  6898.0  671.0  4.739660916141575
27500.0  7419.0  628.3  5.040293964641347
30000.0  7910.0  591.3  5.3303795831066285
