#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  53.46  1683.0  0.00824257241399795
11.0  56.06  1745.0  0.008696551040498757
12.0  58.56  1803.0  0.009069178573608528
13.0  60.95  1857.0  0.009509994742374992
14.0  63.25  1908.0  0.009882307422864358
15.0  65.47  1955.0  0.010208329931972224
16.0  67.62  2000.0  0.010580642702596095
17.0  69.7  2042.0  0.010906878563548786
18.0  71.72  2082.0  0.01127918436767482
20.0  75.6  2157.0  0.011977896309452675
22.5  80.18  2241.0  0.012792185114357906
25.0  84.52  2316.0  0.013619471355379402
27.5  88.65  2384.0  0.014433987668000829
30.0  92.59  2446.0  0.015216438479486586
32.5  96.37  2503.0  0.015915715503865984
35.0  100.0  2556.0  0.01661505341550246
37.5  103.5  2604.0  0.017398275776639476
40.0  106.9  2649.0  0.01805380846248237
45.0  113.4  2731.0  0.019453020331043715
50.0  119.5  2803.0  0.020724381776062707
55.0  125.4  2867.0  0.022080534413822506
60.0  130.9  2924.0  0.023352301813739908
65.0  136.3  2975.0  0.02459308845997184
70.0  141.4  3022.0  0.02586503431275513
80.0  151.2  3102.0  0.028293108701590217
90.0  160.4  3170.0  0.030679146011582527
100.0  169.0  3228.0  0.03303528416708414
110.0  177.3  3277.0  0.0353365250130796
120.0  185.2  3319.0  0.037652357163927994
130.0  192.7  3355.0  0.039924052900475925
140.0  200.0  3387.0  0.04206875324988845
150.0  207.0  3415.0  0.04434083896364614
160.0  213.8  3439.0  0.046572416729218594
170.0  220.4  3460.0  0.0487177585691296
180.0  226.8  3478.0  0.05086324802841439
200.0  239.1  3508.0  0.05524146992975477
225.0  253.6  3535.0  0.060620953473201
250.0  267.3  3553.0  0.06591411078062118
275.0  280.3  3564.0  0.07126668225755989
300.0  292.8  3570.0  0.07652163092877727
325.0  309.4  3572.0  0.08183678879330494
350.0  325.9  3570.0  0.08709293886418118
375.0  341.3  3566.0  0.09236038111658051
400.0  355.8  3559.0  0.09758949738573307
450.0  383.0  3540.0  0.10809888991104395
500.0  408.6  3516.0  0.11873689401361316
550.0  432.9  3489.0  0.12937638888143385
600.0  456.2  3459.0  0.13995274202387034
650.0  478.5  3428.0  0.15068344301880018
700.0  499.9  3395.0  0.16135144870747212
800.0  540.7  3329.0  0.1831109226671091
900.0  579.5  3262.0  0.20490158613344117
1000.0  616.8  3196.0  0.22711664404001747
1100.0  653.2  3132.0  0.24942487847045253
1200.0  688.9  3070.0  0.2720598831139939
1300.0  724.1  3010.0  0.29482423577446953
1400.0  758.9  2953.0  0.3178266508649015
1500.0  793.5  2897.0  0.3410130935902609
1600.0  827.7  2844.0  0.364317334201929
1700.0  861.7  2793.0  0.3877706280779915
1800.0  895.5  2743.0  0.4114082643798007
2000.0  962.5  2651.0  0.4591596889971941
2250.0  1045.0  2544.0  0.5193113324394144
2500.0  1126.0  2448.0  0.5799743873655111
2750.0  1206.0  2359.0  0.6410807281458397
3000.0  1284.0  2278.0  0.7023952733326158
3250.0  1362.0  2203.0  0.7638823535073971
3500.0  1438.0  2134.0  0.8252966678716207
3750.0  1513.0  2070.0  0.8868182677414804
4000.0  1587.0  2010.0  0.9482326876879957
4500.0  1732.0  1902.0  1.0705219334511553
5000.0  1874.0  1807.0  1.1933155366456938
5500.0  2015.0  1722.0  1.3090339376807616
6000.0  2153.0  1647.0  1.4335829519075625
6500.0  2291.0  1579.0  1.5483355224239996
7000.0  2428.0  1517.0  1.6626500684148786
8000.0  2700.0  1409.0  1.8900790459660677
9000.0  2970.0  1317.0  2.09715239551159
10000.0  3239.0  1239.0  2.312263049482044
11000.0  3506.0  1170.0  2.507228655308486
12000.0  3771.0  1110.0  2.7011292768025745
13000.0  4034.0  1057.0  2.884581695844304
14000.0  4294.0  1009.0  3.0672435345110767
15000.0  4551.0  965.8  3.2300712871390314
16000.0  4804.0  926.7  3.401866458284334
17000.0  5054.0  891.2  3.563520462969169
18000.0  5299.0  858.6  3.7151077077253087
20000.0  5777.0  800.9  4.00756590713116
22500.0  6348.0  740.1  4.349637494090743
25000.0  6888.0  689.0  4.6708509342517015
27500.0  7399.0  645.2  4.981238826838159
30000.0  7880.0  607.3  5.271350621994329
