#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  65.67  2135.0  0.007580897044545587
11.0  68.88  2211.0  0.007945438943192504
12.0  71.94  2281.0  0.008342661445845685
13.0  74.88  2346.0  0.008673522929006415
14.0  77.71  2407.0  0.009004443347592345
15.0  80.43  2464.0  0.009426558226627574
16.0  83.07  2517.0  0.009757561170702441
17.0  85.63  2568.0  0.01006429331846007
18.0  88.11  2616.0  0.010395191195932858
20.0  92.88  2704.0  0.011000909053346455
22.5  98.51  2803.0  0.01175457357797381
25.0  103.8  2891.0  0.01250839717949506
27.5  108.9  2970.0  0.013238579984273238
30.0  113.7  3042.0  0.013900359707575916
32.5  118.4  3108.0  0.01463078945238431
35.0  122.9  3168.0  0.015292481812969405
37.5  127.2  3224.0  0.01593078780224004
40.0  131.3  3275.0  0.016569248625088587
45.0  139.3  3368.0  0.01783872192731307
50.0  146.9  3448.0  0.01910863679072895
55.0  154.0  3519.0  0.020356080172764107
60.0  160.9  3582.0  0.021533694527414472
65.0  167.4  3638.0  0.0226887637389083
70.0  173.8  3688.0  0.023844076832622397
80.0  185.8  3774.0  0.026177280225416853
90.0  197.0  3845.0  0.02839542216625772
100.0  207.7  3903.0  0.0306073520579615
110.0  217.8  3952.0  0.03273239985091225
120.0  227.5  3993.0  0.034923201456911135
130.0  236.8  4028.0  0.03702080496153481
140.0  245.7  4057.0  0.039146136463257784
150.0  254.4  4082.0  0.041244029871000724
160.0  262.7  4102.0  0.04324823695828536
170.0  270.8  4119.0  0.045346444182537624
180.0  278.6  4134.0  0.04744481004282766
200.0  293.7  4155.0  0.05150048543460537
225.0  311.5  4170.0  0.05655209987259536
250.0  328.4  4175.0  0.061692219930879456
275.0  344.4  4174.0  0.06671821340533633
300.0  359.7  4167.0  0.07169888423120684
325.0  376.7  4156.0  0.07682050507514253
350.0  395.0  4141.0  0.08184778555342839
375.0  413.5  4124.0  0.08684987046622465
400.0  432.0  4105.0  0.09195308586447766
450.0  468.0  4063.0  0.10205988438167074
500.0  502.1  4016.0  0.11226281664023935
550.0  534.5  3967.0  0.1225618619310265
600.0  565.3  3917.0  0.13283745706689812
650.0  594.8  3866.0  0.1431382548447479
700.0  623.1  3816.0  0.15360631497435256
800.0  677.2  3716.0  0.17467008902499592
900.0  728.6  3619.0  0.1958805248104058
1000.0  778.1  3527.0  0.21751721770931146
1100.0  826.5  3438.0  0.23930737556540124
1200.0  873.9  3354.0  0.26130887853266677
1300.0  920.7  3274.0  0.2835609458299926
1400.0  967.1  3199.0  0.3059505515602154
1500.0  1013.0  3127.0  0.3286081404956366
1600.0  1059.0  3058.0  0.35134214093956906
1700.0  1104.0  2993.0  0.37417447801794285
1800.0  1149.0  2931.0  0.3972012839858401
2000.0  1239.0  2815.0  0.4435281050846722
2250.0  1349.0  2685.0  0.5018952181481708
2500.0  1458.0  2568.0  0.5605976364559523
2750.0  1565.0  2463.0  0.619326747363619
3000.0  1670.0  2367.0  0.6781075504667383
3250.0  1773.0  2280.0  0.736805123489244
3500.0  1875.0  2200.0  0.7951491055141797
3750.0  1975.0  2126.0  0.8533340494788663
4000.0  2073.0  2058.0  0.91116651057861
4500.0  2266.0  1937.0  1.025619256839496
5000.0  2454.0  1831.0  1.139464655002515
5500.0  2637.0  1738.0  1.2510197120749136
6000.0  2817.0  1655.0  1.352609126835983
6500.0  2994.0  1581.0  1.4637654525230468
7000.0  3168.0  1514.0  1.5649684373814061
8000.0  3510.0  1398.0  1.7669974448198844
9000.0  3845.0  1302.0  1.958679976412686
10000.0  4175.0  1219.0  2.1400821759923145
11000.0  4500.0  1148.0  2.32108850542154
12000.0  4821.0  1085.0  2.4820950767446437
13000.0  5138.0  1030.0  2.642823732298467
14000.0  5451.0  981.0  2.8033115738354875
15000.0  5760.0  937.0  2.95375303300733
16000.0  6064.0  897.2  3.094149674789505
17000.0  6363.0  861.1  3.2344133471156713
18000.0  6657.0  828.2  3.364670043258328
20000.0  7228.0  770.2  3.6150859049267416
22500.0  7910.0  709.4  3.9152753325915666
25000.0  8555.0  658.4  4.1854088067953406
27500.0  9161.0  615.1  4.445314839243673
30000.0  9730.0  577.7  4.695114240356671
