#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  60.41  1505.0  0.008615103017375938
11.0  63.36  1555.0  0.00910274683818022
12.0  66.18  1601.0  0.009475230867899738
13.0  68.88  1644.0  0.00992924971989324
14.0  71.48  1684.0  0.010416813332300814
15.0  73.99  1720.0  0.010742439201596628
16.0  76.42  1755.0  0.011196874563912915
17.0  78.77  1788.0  0.01156935607542615
18.0  81.05  1818.0  0.011928537211242627
20.0  85.44  1874.0  0.012755391017134677
22.5  90.62  1937.0  0.01369781004394498
25.0  95.52  1993.0  0.014640355186948164
27.5  100.2  2042.0  0.01553769609691218
30.0  104.6  2087.0  0.01636490146624782
32.5  108.9  2127.0  0.017179639111459824
35.0  113.0  2164.0  0.01809032890801049
37.5  117.0  2198.0  0.018905290264896756
40.0  120.8  2229.0  0.0197327139542436
45.0  128.2  2285.0  0.021330963410029092
50.0  135.1  2332.0  0.022889735690916138
55.0  141.7  2373.0  0.024456900866626583
60.0  148.0  2410.0  0.025971907900652968
65.0  154.0  2441.0  0.027455600521569368
70.0  159.8  2469.0  0.028970847415980088
80.0  170.9  2517.0  0.03181147591671911
90.0  181.2  2554.0  0.034695532853668644
100.0  191.0  2584.0  0.037568204641691354
110.0  200.4  2609.0  0.040410518432705114
120.0  209.3  2628.0  0.043137338814535145
130.0  217.8  2644.0  0.04589487988871962
140.0  226.1  2656.0  0.04865254361284722
150.0  234.0  2666.0  0.05145464021835155
160.0  241.7  2673.0  0.05418265405090452
170.0  249.1  2678.0  0.056940758688306926
180.0  256.3  2682.0  0.05954183403288817
200.0  270.2  2685.0  0.06498776807984716
225.0  286.6  2683.0  0.07176384883769822
250.0  313.5  2676.0  0.07854100839688781
275.0  346.5  2665.0  0.08527871950258165
300.0  369.8  2652.0  0.09193040846205351
325.0  387.3  2637.0  0.09864126925379661
350.0  401.5  2621.0  0.105381449980535
375.0  413.9  2603.0  0.11213349187464021
400.0  425.4  2585.0  0.1188745977911177
450.0  447.4  2547.0  0.1324775075248625
500.0  469.9  2508.0  0.14628622628258617
550.0  493.4  2469.0  0.16019644190805238
600.0  517.9  2430.0  0.1741582613601778
650.0  543.1  2392.0  0.18827567553988486
700.0  568.7  2355.0  0.2024447085008645
800.0  620.4  2283.0  0.23102688155277518
900.0  671.3  2215.0  0.25995953531270977
1000.0  720.4  2152.0  0.28906514836624636
1100.0  767.4  2092.0  0.31850747243981575
1200.0  812.0  2036.0  0.34808718735397315
1300.0  854.3  1983.0  0.3778517831107854
1400.0  894.6  1934.0  0.4077653001421283
1500.0  933.0  1887.0  0.43791847414787155
1600.0  969.7  1843.0  0.4681319472114673
1700.0  1005.0  1801.0  0.49849631894327967
1800.0  1039.0  1761.0  0.5290371820581234
2000.0  1105.0  1688.0  0.5903786412125697
2250.0  1183.0  1606.0  0.6674843368948818
2500.0  1259.0  1534.0  0.7449692476874465
2750.0  1333.0  1468.0  0.8224830089430419
3000.0  1407.0  1409.0  0.8999950277640427
3250.0  1482.0  1356.0  0.9770853647455785
3500.0  1557.0  1307.0  1.0538795471969271
3750.0  1632.0  1262.0  1.1265334482384446
4000.0  1709.0  1220.0  1.2095938905268993
4500.0  1865.0  1146.0  1.3565356611604429
5000.0  2025.0  1082.0  1.5024992512477333
5500.0  2189.0  1026.0  1.6382664771031605
6000.0  2357.0  976.5  1.7731373607253331
6500.0  2527.0  932.1  1.9072185821242411
7000.0  2699.0  892.1  2.040589652526936
8000.0  3046.0  823.1  2.2772003908308114
9000.0  3394.0  765.4  2.5021343389194755
10000.0  3740.0  716.3  2.715767900613011
11000.0  4081.0  673.9  2.9184469859841546
12000.0  4415.0  636.9  3.1008991631460705
13000.0  4740.0  604.3  3.2823530644950427
14000.0  5055.0  575.2  3.4534917894791644
15000.0  5361.0  549.2  3.614372426853658
16000.0  5656.0  525.7  3.7747267199096677
17000.0  5941.0  504.4  3.9153906688860562
18000.0  6215.0  485.0  4.065321444855253
20000.0  6733.0  450.8  4.3354171102674774
22500.0  7327.0  415.0  4.654872794180309
25000.0  7868.0  385.0  4.953953012494163
27500.0  8361.0  359.6  5.232896215290343
30000.0  8814.0  337.6  5.501608873775017
