#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  60.47  1235.0  0.009159148432032315
11.0  63.42  1270.0  0.00977496803063826
12.0  66.24  1303.0  0.010262066068779717
13.0  68.94  1332.0  0.010763363786474934
14.0  71.55  1359.0  0.011250333328395208
15.0  74.06  1385.0  0.011737546592026804
16.0  76.49  1408.0  0.012189339604752998
17.0  78.84  1430.0  0.012725957724273644
18.0  81.13  1450.0  0.01321325092473461
20.0  85.51  1487.0  0.01415273825095342
22.5  90.7  1528.0  0.015221366561514772
25.0  95.61  1563.0  0.01632513399638729
27.5  100.3  1593.0  0.017428998823799377
30.0  104.7  1621.0  0.018450203250912983
32.5  109.0  1645.0  0.01947357183466865
35.0  113.1  1666.0  0.02054288197892399
37.5  117.1  1686.0  0.021565017968923652
40.0  120.9  1703.0  0.022506443521800597
45.0  128.3  1734.0  0.024552189311749777
50.0  135.2  1758.0  0.026482447016844952
55.0  141.8  1779.0  0.028366177042386236
60.0  148.1  1796.0  0.030332325990599533
65.0  154.2  1811.0  0.032262981883266775
70.0  160.0  1823.0  0.034065378318756424
80.0  171.0  1841.0  0.03783503667237551
90.0  181.4  1853.0  0.04160540830228686
100.0  191.2  1861.0  0.04521526290977417
110.0  200.6  1865.0  0.04887085020746008
120.0  209.5  1867.0  0.052526755087288615
130.0  218.0  1867.0  0.05613813320729502
140.0  226.3  1865.0  0.05983351903406652
150.0  234.2  1861.0  0.06349023546971613
160.0  241.9  1857.0  0.06710275702234596
170.0  249.3  1852.0  0.07071555698712978
180.0  266.0  1846.0  0.07441256614309172
200.0  310.8  1832.0  0.08160772022302792
225.0  343.8  1812.0  0.09060347675448222
250.0  363.5  1791.0  0.09960090361035888
275.0  377.5  1770.0  0.10861127934059152
300.0  389.5  1747.0  0.11779244457943812
325.0  401.5  1725.0  0.12693234418382102
350.0  414.0  1703.0  0.13617066497597788
375.0  427.4  1681.0  0.14552614885304976
400.0  441.7  1660.0  0.15488269754882242
450.0  472.8  1618.0  0.17381423992297065
500.0  506.6  1578.0  0.1928657823461694
550.0  542.0  1540.0  0.21205211623560846
600.0  578.1  1504.0  0.23125859984009245
650.0  614.4  1470.0  0.250457780873344
700.0  650.4  1437.0  0.2697941622793199
800.0  720.3  1377.0  0.30848607748162643
900.0  786.5  1322.0  0.34709412268144213
1000.0  848.5  1273.0  0.3856213168381644
1100.0  906.7  1227.0  0.42414621299735783
1200.0  961.4  1186.0  0.4625664168527586
1300.0  1013.0  1147.0  0.5009504366701361
1400.0  1062.0  1112.0  0.5392390749936433
1500.0  1109.0  1079.0  0.5773777706146991
1600.0  1154.0  1048.0  0.615278961122514
1700.0  1198.0  1019.0  0.6532128902586049
1800.0  1240.0  992.6  0.690911325714089
2000.0  1323.0  943.8  0.7659295855364252
2250.0  1423.0  890.2  0.8585884811712768
2500.0  1522.0  843.4  0.9498934256009988
2750.0  1622.0  802.1  1.0394561366406956
3000.0  1722.0  765.4  1.1255462540473402
3250.0  1824.0  732.3  1.2095293134107996
3500.0  1928.0  702.5  1.2930321728402585
3750.0  2033.0  675.4  1.3760390837472605
4000.0  2141.0  650.7  1.4586188878524782
4500.0  2360.0  607.0  1.613389491102505
5000.0  2583.0  569.7  1.7574291450866517
5500.0  2810.0  537.3  1.8909142365533134
6000.0  3038.0  508.9  2.0233239705988755
6500.0  3265.0  483.7  2.145460754709813
7000.0  3491.0  461.3  2.2668444675363153
8000.0  3934.0  422.9  2.489049475201327
9000.0  4361.0  391.1  2.6904286814558014
10000.0  4768.0  364.3  2.8714004196558864
11000.0  5155.0  341.4  3.051373067981036
12000.0  5520.0  321.5  3.211418689613673
13000.0  5863.0  304.1  3.3709264750213705
14000.0  6186.0  288.7  3.520368696599832
15000.0  6490.0  274.9  3.6598056027608896
16000.0  6775.0  262.5  3.798995093442475
17000.0  7043.0  251.4  3.9283074739638186
18000.0  7296.0  241.2  4.057415390368603
20000.0  7761.0  223.4  4.305622441645342
22500.0  8275.0  204.9  4.593521372541985
25000.0  8731.0  189.5  4.871298579434441
27500.0  9139.0  176.5  5.139065693294842
30000.0  9511.0  165.3  5.396915333780956
