#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  94.64  1805.0  0.008121576201698781
11.0  99.26  1876.0  0.00849352694703443
12.0  103.7  1943.0  0.008949301648732151
13.0  107.9  2005.0  0.009276852914647296
14.0  112.0  2063.0  0.009648834126463154
15.0  115.9  2118.0  0.010007996802557444
16.0  119.7  2170.0  0.010304368005850724
17.0  123.4  2219.0  0.010676141625137801
18.0  127.0  2266.0  0.01100409014866745
20.0  133.8  2353.0  0.011575836902790225
22.5  142.0  2452.0  0.012360420704814218
25.0  149.6  2541.0  0.013091218430688566
27.5  156.9  2623.0  0.013875878350576586
30.0  163.9  2697.0  0.014575664650368438
32.5  170.6  2766.0  0.015202631351183913
35.0  177.0  2830.0  0.01581707937642092
37.5  183.3  2889.0  0.01647482928591371
40.0  189.3  2945.0  0.01717469068134853
45.0  200.8  3046.0  0.01837525510027004
50.0  211.6  3136.0  0.0195616972678753
55.0  221.9  3216.0  0.020762947767597933
60.0  231.8  3289.0  0.021878528286884382
65.0  241.3  3355.0  0.02303497341001287
70.0  250.4  3415.0  0.02415077638503574
80.0  267.7  3522.0  0.02625604692256624
90.0  283.9  3613.0  0.028401936553692955
100.0  299.3  3691.0  0.03039226875374723
110.0  313.9  3759.0  0.03242252303569234
120.0  327.8  3820.0  0.034442270540717836
130.0  341.2  3873.0  0.0364336383030847
140.0  354.1  3920.0  0.03829895559933717
150.0  366.5  3962.0  0.04017499222153005
160.0  378.6  4000.0  0.04207944866558972
170.0  390.2  4033.0  0.04394564824871742
180.0  401.5  4064.0  0.045850299889968006
200.0  423.2  4116.0  0.04946786835916826
225.0  448.9  4167.0  0.05399972222150777
250.0  473.2  4207.0  0.058406249665596585
275.0  496.3  4238.0  0.06281345397285522
300.0  518.4  4262.0  0.06722120201246033
325.0  539.5  4279.0  0.07162939340801373
350.0  559.9  4292.0  0.07592213116081503
375.0  599.7  4300.0  0.08026811322063077
400.0  645.5  4305.0  0.08452549911121494
450.0  704.0  4307.0  0.09297816948079803
500.0  736.9  4300.0  0.10137987966061116
550.0  757.6  4287.0  0.10977312968117472
600.0  773.1  4270.0  0.11826728203522732
650.0  787.1  4249.0  0.12676253389704706
700.0  801.4  4225.0  0.13519870561510566
800.0  834.5  4172.0  0.15233994879873106
900.0  874.3  4115.0  0.16955049395386615
1000.0  919.6  4055.0  0.1869216680858589
1100.0  968.7  3995.0  0.20441088522874706
1200.0  1020.0  3935.0  0.22186874498225298
1300.0  1072.0  3875.0  0.23947797393497383
1400.0  1124.0  3817.0  0.25709970828454864
1500.0  1175.0  3759.0  0.27477208737424547
1600.0  1224.0  3703.0  0.2925711537387102
1700.0  1272.0  3649.0  0.31033937874526973
1800.0  1318.0  3596.0  0.3282381147886394
2000.0  1404.0  3494.0  0.36411933483406234
2250.0  1500.0  3375.0  0.40922780941671105
2500.0  1586.0  3265.0  0.4547683036448341
2750.0  1662.0  3163.0  0.5006365348234186
3000.0  1731.0  3068.0  0.5469173977850769
3250.0  1794.0  2979.0  0.5935498041445217
3500.0  1852.0  2896.0  0.6404623564269801
3750.0  1906.0  2818.0  0.6877695907787723
4000.0  1957.0  2746.0  0.7353370995672665
4500.0  2053.0  2613.0  0.8314901622989895
5000.0  2144.0  2494.0  0.9285166719020183
5500.0  2232.0  2388.0  1.0263967800027434
6000.0  2319.0  2291.0  1.1253958103707336
6500.0  2407.0  2204.0  1.2194352176315066
7000.0  2496.0  2124.0  1.3227592751517563
8000.0  2682.0  1983.0  1.519611318725943
9000.0  2879.0  1863.0  1.7158039048795755
10000.0  3086.0  1759.0  1.9017569771135323
11000.0  3304.0  1667.0  2.0965189863199427
12000.0  3531.0  1586.0  2.28108521761025
13000.0  3766.0  1513.0  2.4553894701248518
14000.0  4007.0  1448.0  2.6290408060735766
15000.0  4254.0  1390.0  2.792504986566721
16000.0  4505.0  1336.0  2.9554124263797767
17000.0  4758.0  1287.0  3.117802960419404
18000.0  5014.0  1242.0  3.2701153527054667
20000.0  5528.0  1162.0  3.5542619740249877
22500.0  6169.0  1077.0  3.89783536081246
25000.0  6800.0  1005.0  4.210626348893951
27500.0  7417.0  943.7  4.502610329575501
30000.0  8016.0  890.0  4.783809245778933
