#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  86.6  1816.0  0.008083316151184489
11.0  90.83  1888.0  0.00841011296000238
12.0  94.87  1955.0  0.008814760348415605
13.0  98.74  2018.0  0.00914166286842826
14.0  102.5  2076.0  0.00951367436903324
15.0  106.1  2132.0  0.009840731680114036
16.0  109.5  2185.0  0.01021273714534943
17.0  112.9  2235.0  0.010539924098398433
18.0  116.2  2282.0  0.010867382389517725
20.0  122.5  2371.0  0.01145120081039539
22.5  129.9  2471.0  0.012266213759754882
25.0  136.9  2562.0  0.012965724044572288
27.5  143.6  2644.0  0.013621673905948564
30.0  150.0  2720.0  0.014321312788986911
32.5  156.1  2790.0  0.015020985320544057
35.0  162.0  2855.0  0.015677691156544705
37.5  167.7  2916.0  0.016346559270990334
40.0  173.2  2973.0  0.016918628786045282
45.0  183.7  3076.0  0.0181906569425076
50.0  193.6  3167.0  0.019304662649215088
55.0  203.1  3249.0  0.020546532554180524
60.0  212.1  3324.0  0.021661255734605974
65.0  220.8  3391.0  0.022690306300268404
70.0  229.1  3453.0  0.02380546155822231
80.0  244.9  3562.0  0.025950144508268158
90.0  259.8  3655.0  0.028008748633239582
100.0  273.9  3736.0  0.030084215130197434
110.0  287.2  3806.0  0.03201624587611733
120.0  300.0  3868.0  0.03400617590967853
130.0  312.3  3923.0  0.035909469503182585
140.0  324.0  3972.0  0.03781296074099461
150.0  335.4  4015.0  0.039716621205737025
160.0  346.4  4054.0  0.04158136601892728
170.0  357.1  4089.0  0.04339781100470391
180.0  367.4  4121.0  0.04523472117743184
200.0  387.3  4175.0  0.04882919208833994
225.0  410.8  4230.0  0.053270817527047584
250.0  433.0  4272.0  0.05767512462058492
275.0  454.2  4305.0  0.062080431699529925
300.0  474.3  4330.0  0.06639796683634222
325.0  493.7  4349.0  0.07071591051524402
350.0  512.4  4363.0  0.07500706633377952
375.0  551.2  4373.0  0.07926178145865762
400.0  596.5  4379.0  0.08349185589026034
450.0  653.1  4383.0  0.09182554110921427
500.0  683.6  4379.0  0.10012442259508916
550.0  702.4  4367.0  0.10852437514217718
600.0  716.9  4351.0  0.11683616734556128
650.0  730.9  4331.0  0.1252031149772241
700.0  745.8  4308.0  0.13360688605008353
800.0  780.5  4257.0  0.15059707832491306
900.0  822.2  4201.0  0.16762085192481274
1000.0  869.5  4142.0  0.18473854497640715
1100.0  920.6  4082.0  0.20191535355192777
1200.0  973.9  4022.0  0.21918585720798686
1300.0  1028.0  3962.0  0.23654982561819826
1400.0  1083.0  3904.0  0.2539734238065078
1500.0  1136.0  3846.0  0.2713993736175528
1600.0  1189.0  3790.0  0.28888537519230706
1700.0  1239.0  3735.0  0.30646502247401747
1800.0  1288.0  3681.0  0.3240138422968994
2000.0  1381.0  3579.0  0.3592780260466816
2250.0  1486.0  3459.0  0.403626869769593
2500.0  1581.0  3347.0  0.44829175767573515
2750.0  1665.0  3243.0  0.493251822094962
3000.0  1741.0  3146.0  0.5384692191759897
3250.0  1810.0  3056.0  0.584006198597241
3500.0  1874.0  2972.0  0.6298725744148574
3750.0  1932.0  2893.0  0.6760828129748604
4000.0  1987.0  2819.0  0.7224381357597341
4500.0  2088.0  2683.0  0.8162302003724194
5000.0  2181.0  2562.0  0.9108497735631271
5500.0  2270.0  2453.0  1.0061855147039238
6000.0  2358.0  2355.0  1.105647253874399
6500.0  2445.0  2265.0  1.199526010555836
7000.0  2535.0  2184.0  1.2932537338047783
8000.0  2720.0  2040.0  1.4898032252616449
9000.0  2916.0  1916.0  1.6762475622651927
10000.0  3124.0  1809.0  1.8619879510888355
11000.0  3342.0  1715.0  2.047025451722572
12000.0  3569.0  1632.0  2.2313935242354717
13000.0  3805.0  1558.0  2.4055786871353844
14000.0  4047.0  1491.0  2.579131202556396
15000.0  4293.0  1430.0  2.74248468728633
16000.0  4544.0  1375.0  2.905324541251803
17000.0  4798.0  1325.0  3.05801247381367
18000.0  5053.0  1279.0  3.2102717704269215
20000.0  5565.0  1197.0  3.4943627316007135
22500.0  6201.0  1109.0  3.828203539520855
25000.0  6827.0  1036.0  4.140957190070914
27500.0  7436.0  972.2  4.432945876051274
30000.0  8027.0  917.0  4.704435834401401
