#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  127.2  1722.0  0.008000624975587844
11.0  133.4  1787.0  0.008405950273467005
12.0  139.3  1848.0  0.00873212459828649
13.0  145.0  1904.0  0.009104394543296111
14.0  150.5  1957.0  0.00951367436903324
15.0  155.8  2007.0  0.009885848471426215
16.0  160.9  2054.0  0.01021273714534943
17.0  165.8  2098.0  0.010539924098398433
18.0  170.6  2140.0  0.01082866566110525
20.0  179.9  2219.0  0.011483030958766943
22.5  190.8  2307.0  0.012310564568694646
25.0  201.1  2386.0  0.013041855696180663
27.5  210.9  2458.0  0.013824977396003222
30.0  220.3  2524.0  0.014480676779764128
32.5  229.3  2585.0  0.01518025032731674
35.0  238.0  2641.0  0.01587986146035286
37.5  246.3  2693.0  0.016536323654307204
40.0  254.4  2741.0  0.017151384783742684
45.0  269.8  2829.0  0.018476742137076008
50.0  284.4  2906.0  0.01966367208839692
55.0  298.3  2974.0  0.02086240638085645
60.0  311.6  3036.0  0.022134588317834148
65.0  324.3  3092.0  0.023248870940327404
70.0  336.5  3142.0  0.024405122413132866
80.0  359.8  3231.0  0.026634751735279984
90.0  381.6  3305.0  0.028779159126006447
100.0  402.2  3369.0  0.03092393894703584
110.0  421.9  3423.0  0.0330690187335518
120.0  440.6  3471.0  0.03508746214818051
130.0  458.6  3512.0  0.03720362885526088
140.0  475.9  3548.0  0.039222697510497666
150.0  492.6  3580.0  0.0411257826673244
160.0  508.8  3608.0  0.043116238240366006
170.0  524.4  3632.0  0.045146428430164885
180.0  539.7  3654.0  0.047010849811506286
200.0  568.8  3690.0  0.050906286448728515
225.0  603.4  3724.0  0.055705475493886596
250.0  636.0  3748.0  0.06038915465545118
275.0  667.0  3765.0  0.06500723036709072
300.0  696.7  3776.0  0.06965414560526889
325.0  727.4  3782.0  0.07427415432032869
350.0  760.6  3784.0  0.07883374911800149
375.0  790.5  3783.0  0.08345495791143868
400.0  817.7  3779.0  0.08795078169067061
450.0  866.3  3766.0  0.09698108062916189
500.0  910.2  3747.0  0.10603871934345492
550.0  950.9  3723.0  0.11503551625476369
600.0  988.9  3696.0  0.12409677675105023
650.0  1024.0  3667.0  0.13304394011002532
700.0  1057.0  3637.0  0.14207216476143386
800.0  1117.0  3573.0  0.1602323625239296
900.0  1170.0  3509.0  0.17851711402551856
1000.0  1218.0  3444.0  0.1968970289262893
1100.0  1262.0  3380.0  0.21537142335973916
1200.0  1303.0  3318.0  0.23403068174921
1300.0  1342.0  3257.0  0.252841096343138
1400.0  1379.0  3199.0  0.27174600273049093
1500.0  1414.0  3142.0  0.29074512893598065
1600.0  1449.0  3088.0  0.3099296855740024
1700.0  1483.0  3035.0  0.32926700411671983
1800.0  1515.0  2984.0  0.3486073005546499
2000.0  1579.0  2888.0  0.38775430365116514
2250.0  1657.0  2777.0  0.4372032364930525
2500.0  1732.0  2676.0  0.48709631491112726
2750.0  1806.0  2583.0  0.5374864184330614
3000.0  1878.0  2497.0  0.5881065974804228
3250.0  1948.0  2418.0  0.6389573381689893
3500.0  2017.0  2345.0  0.6901027459733804
3750.0  2084.0  2276.0  0.7412948738525041
4000.0  2150.0  2212.0  0.7925981642673671
4500.0  2279.0  2097.0  0.8953271301596976
5000.0  2403.0  1995.0  0.9979714875686581
5500.0  2524.0  1904.0  1.0963224571265517
6000.0  2641.0  1822.0  1.200049936460979
6500.0  2757.0  1748.0  1.3035004641349384
7000.0  2870.0  1681.0  1.406756457244821
8000.0  3093.0  1564.0  1.6031237538006853
9000.0  3311.0  1464.0  1.7986068747783657
10000.0  3528.0  1378.0  1.983760723978575
11000.0  3743.0  1303.0  2.168124078552701
12000.0  3959.0  1237.0  2.351790613553851
13000.0  4175.0  1179.0  2.5252870411103765
14000.0  4392.0  1126.0  2.6982232542916087
15000.0  4610.0  1079.0  2.870599771824696
16000.0  4830.0  1036.0  3.0329421046238254
17000.0  5050.0  996.3  3.185186777882892
18000.0  5272.0  960.3  3.3370584561856274
20000.0  5718.0  896.6  3.630143826351788
22500.0  6277.0  829.2  3.9828403093772162
25000.0  6835.0  772.5  4.30494087299698
27500.0  7389.0  723.9  4.6064502341825
30000.0  7935.0  681.7  4.887549645783662
