#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  57.44  1342.0  0.0088656641037206
11.0  60.24  1383.0  0.009317188417113823
12.0  62.92  1421.0  0.00985393322486001
13.0  65.49  1456.0  0.01030582359639442
14.0  67.96  1488.0  0.010793053321465618
15.0  70.35  1517.0  0.011165572085656874
16.0  72.66  1545.0  0.011652896635600953
17.0  74.89  1571.0  0.012105370708904373
18.0  77.06  1595.0  0.01251279345310231
20.0  81.23  1640.0  0.013372733452813604
22.5  86.16  1689.0  0.014393401265857909
25.0  90.82  1732.0  0.015382132491953126
27.5  95.25  1770.0  0.016438369748852835
30.0  99.49  1804.0  0.0173795857257876
32.5  103.6  1834.0  0.018368179006096386
35.0  107.5  1862.0  0.01930958311305555
37.5  111.2  1887.0  0.02016977937410323
40.0  114.9  1910.0  0.021111371343425327
45.0  121.8  1949.0  0.02283287104154885
50.0  128.4  1983.0  0.02463513750722736
55.0  134.7  2011.0  0.02643747340424194
60.0  140.7  2036.0  0.02816043323530375
65.0  146.4  2057.0  0.02980151002885592
70.0  152.0  2075.0  0.031525545197506104
80.0  162.5  2104.0  0.034886960314707845
90.0  172.3  2125.0  0.03817040738582705
100.0  181.6  2141.0  0.0414095399636364
110.0  190.5  2153.0  0.044693959323380605
120.0  199.0  2161.0  0.04797864108121446
130.0  207.1  2167.0  0.051187205432607866
140.0  214.9  2170.0  0.05442848518928302
150.0  222.5  2171.0  0.05759809024611841
160.0  229.8  2171.0  0.06083987179473672
170.0  236.8  2169.0  0.06405037080298599
180.0  243.7  2166.0  0.06730482895008352
200.0  270.7  2158.0  0.07367428316583746
225.0  323.3  2145.0  0.08161335674998302
250.0  353.3  2128.0  0.08942594701763018
275.0  371.4  2110.0  0.09732476560464969
300.0  384.0  2090.0  0.10523640054657894
325.0  394.3  2070.0  0.11319227005409867
350.0  404.2  2049.0  0.12127695576654289
375.0  414.5  2028.0  0.12936262984339797
400.0  425.5  2007.0  0.1375350500781528
450.0  450.0  1966.0  0.15399808440367044
500.0  478.0  1925.0  0.17065257103249282
550.0  508.4  1885.0  0.18738054861697892
600.0  540.7  1847.0  0.20424370247329537
650.0  574.0  1811.0  0.22115625697682623
700.0  607.8  1775.0  0.2381587705712305
800.0  675.0  1709.0  0.272255872296632
900.0  740.2  1649.0  0.3064604379034919
1000.0  802.2  1593.0  0.3407733851109855
1100.0  860.7  1541.0  0.37504190432537005
1200.0  915.8  1493.0  0.4093057292538183
1300.0  967.7  1449.0  0.4436820821263802
1400.0  1017.0  1407.0  0.4780193824522182
1500.0  1063.0  1369.0  0.5123032402786459
1600.0  1108.0  1333.0  0.5465778169666237
1700.0  1150.0  1299.0  0.5808890599761714
1800.0  1191.0  1267.0  0.615077174019651
2000.0  1270.0  1208.0  0.6834966422741228
2250.0  1363.0  1144.0  0.7686018735340164
2500.0  1454.0  1087.0  0.8531101394310115
2750.0  1543.0  1037.0  0.9367355496616961
3000.0  1633.0  991.3  1.019502373709841
3250.0  1723.0  950.6  1.1023436170269232
3500.0  1814.0  913.6  1.185879509056464
3750.0  1907.0  879.9  1.2598709814897713
4000.0  2002.0  849.0  1.3334703896225069
4500.0  2197.0  794.2  1.4888734331701938
5000.0  2398.0  747.1  1.6337420236989681
5500.0  2603.0  706.1  1.7681389594712287
6000.0  2813.0  670.0  1.9015139889046309
6500.0  3024.0  637.9  2.0246004297144657
7000.0  3237.0  609.2  2.1468670405965993
8000.0  3660.0  559.9  2.370749151639625
9000.0  4077.0  518.9  2.5830270323788715
10000.0  4481.0  484.3  2.774772136590679
11000.0  4871.0  454.5  2.9462461540068237
12000.0  5244.0  428.6  3.1167436853228723
13000.0  5599.0  405.9  3.2769759489504957
14000.0  5937.0  385.7  3.4270350931964497
15000.0  6258.0  367.7  3.5766457540550474
16000.0  6562.0  351.5  3.716269200421304
17000.0  6851.0  336.8  3.845949002522004
18000.0  7124.0  323.5  3.975389023730885
20000.0  7631.0  300.0  4.224111131350594
22500.0  8197.0  275.6  4.51247089962916
25000.0  8701.0  255.2  4.79051432938051
27500.0  9156.0  237.9  5.048709367749345
30000.0  9570.0  223.0  5.306648848378796
