#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  54.22  1544.0  0.008567963585356792
11.0  56.87  1596.0  0.00902219485491197
12.0  59.4  1645.0  0.009509994742374992
13.0  61.82  1690.0  0.009882307422864358
14.0  64.16  1732.0  0.010336827366266694
15.0  66.41  1771.0  0.010742439201596628
16.0  68.59  1808.0  0.011150784725749126
17.0  70.7  1842.0  0.011523020437367974
18.0  72.75  1875.0  0.011977896309452675
20.0  76.68  1935.0  0.01270944530654269
22.5  81.33  2003.0  0.013619471355379402
25.0  85.73  2062.0  0.014517231140957976
27.5  89.92  2116.0  0.015376930773076922
30.0  93.92  2164.0  0.016287725439729145
32.5  97.75  2208.0  0.01710263137648707
35.0  101.4  2249.0  0.017885748516626304
37.5  105.0  2286.0  0.018745132701584167
40.0  108.4  2320.0  0.019528440797974632
45.0  115.0  2381.0  0.021043288716358
50.0  121.2  2433.0  0.022611059240999747
55.0  127.2  2479.0  0.02409502023240487
60.0  132.8  2520.0  0.02561034947047775
65.0  138.2  2556.0  0.027009813031563176
70.0  143.5  2588.0  0.02845153774403064
80.0  153.4  2642.0  0.03133592187889164
90.0  162.7  2686.0  0.034050844336080716
100.0  171.5  2722.0  0.03680828711037774
110.0  179.8  2751.0  0.039535680087738466
120.0  187.8  2775.0  0.04225198220202219
130.0  195.5  2795.0  0.04485275911245595
140.0  202.9  2811.0  0.04748368140740564
150.0  210.0  2825.0  0.05021214992409706
160.0  216.9  2835.0  0.052813634603196935
170.0  223.6  2844.0  0.05541534083627025
180.0  230.1  2850.0  0.058017238817441155
200.0  242.5  2859.0  0.0631810889428158
225.0  257.2  2863.0  0.06971635389203885
250.0  271.1  2860.0  0.07612548850417973
275.0  311.8  2854.0  0.08262263612352247
300.0  354.1  2844.0  0.08903325221511343
325.0  382.8  2832.0  0.09540497890571539
350.0  402.8  2819.0  0.10166169386745433
375.0  417.1  2803.0  0.10804577733534987
400.0  428.1  2787.0  0.11441914175521507
450.0  444.7  2752.0  0.12728794129845925
500.0  459.1  2716.0  0.1402586539219595
550.0  474.0  2678.0  0.15334699214526512
600.0  490.4  2641.0  0.16665203269087359
650.0  508.5  2603.0  0.1799829158559223
700.0  528.2  2566.0  0.1934685762598154
800.0  571.3  2494.0  0.22072510052098743
900.0  617.7  2426.0  0.2483179816283952
1000.0  665.4  2361.0  0.27611026782790965
1100.0  713.1  2300.0  0.3042018080156658
1200.0  760.0  2242.0  0.3324413482104776
1300.0  805.6  2187.0  0.36082955810188283
1400.0  849.6  2135.0  0.38930175956447977
1500.0  891.9  2086.0  0.4179891146908015
1600.0  932.4  2039.0  0.4467613792619053
1700.0  971.4  1995.0  0.47559404958430673
1800.0  1009.0  1953.0  0.5045879705264485
2000.0  1080.0  1876.0  0.56286497492738
2250.0  1162.0  1788.0  0.6360166192797166
2500.0  1239.0  1710.0  0.7096119643861708
2750.0  1312.0  1639.0  0.7833820077076062
3000.0  1382.0  1576.0  0.857271024822372
3250.0  1451.0  1517.0  0.9311586653197188
3500.0  1518.0  1464.0  1.004871145968477
3750.0  1585.0  1415.0  1.0784335399086957
4000.0  1652.0  1370.0  1.1543266435459245
4500.0  1785.0  1289.0  1.3009538654387403
5000.0  1920.0  1219.0  1.4375487539558442
5500.0  2057.0  1157.0  1.582761700320045
6000.0  2198.0  1102.0  1.717947519570956
6500.0  2341.0  1053.0  1.852453945446418
7000.0  2488.0  1008.0  1.9863765025795086
8000.0  2787.0  931.7  2.2337054282066826
9000.0  3094.0  867.4  2.4694605483789367
10000.0  3405.0  812.6  2.693989118389308
11000.0  3717.0  765.2  2.907523263879414
12000.0  4029.0  723.8  3.110320462589024
13000.0  4337.0  687.2  3.2929308799305215
14000.0  4641.0  654.6  3.474643950104816
15000.0  4939.0  625.3  3.6460559842108844
16000.0  5230.0  598.9  3.8072263421026076
17000.0  5515.0  574.9  3.9678790808188698
18000.0  5791.0  553.0  4.118486820423248
20000.0  6318.0  514.4  4.409021716889133
22500.0  6931.0  473.9  4.739306730947049
25000.0  7494.0  440.0  5.048961635821766
27500.0  8011.0  411.1  5.3382998229773495
30000.0  8485.0  386.2  5.6172865940772505
