#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  141.7  1963.0  0.007918333157931662
11.0  148.7  2047.0  0.008246817568007674
12.0  155.3  2126.0  0.008618004409374597
13.0  161.6  2200.0  0.008946507698538017
14.0  167.7  2270.0  0.009244457799135653
15.0  173.6  2336.0  0.009615612304996494
16.0  179.3  2399.0  0.009859006035092991
17.0  184.8  2459.0  0.010187737727287644
18.0  190.2  2516.0  0.010516653460107927
20.0  200.5  2624.0  0.011058933040759403
22.5  212.6  2746.0  0.011758826472059192
25.0  224.1  2858.0  0.01241732660438631
27.5  235.1  2961.0  0.013031116606031887
30.0  245.5  3056.0  0.013689777207829205
32.5  255.5  3144.0  0.014232708807532036
35.0  265.2  3227.0  0.014805404418657398
37.5  274.5  3304.0  0.015348615572747923
40.0  283.5  3377.0  0.015921369287847074
45.0  300.7  3510.0  0.017037605465557652
50.0  317.0  3631.0  0.01803801541190161
55.0  332.4  3739.0  0.01906751163628857
60.0  347.2  3839.0  0.020057417580536134
65.0  361.4  3930.0  0.021019038988498023
70.0  375.0  4015.0  0.021961101975993828
80.0  400.9  4166.0  0.023710124419749467
90.0  425.2  4297.0  0.02548803640926464
100.0  448.2  4413.0  0.027238208457973152
110.0  470.1  4517.0  0.028890655928863924
120.0  491.0  4609.0  0.030553232234904377
130.0  511.1  4693.0  0.032178564293641194
140.0  530.4  4768.0  0.033752925799106666
150.0  549.0  4837.0  0.035290083592986854
160.0  567.0  4900.0  0.03682743542523699
170.0  584.4  4958.0  0.03833770989508893
180.0  601.4  5012.0  0.03987543103215312
200.0  633.9  5106.0  0.04279883175975718
225.0  672.4  5206.0  0.04642090046519994
250.0  708.7  5289.0  0.04989158245636232
275.0  743.3  5359.0  0.05338941842725018
300.0  776.4  5418.0  0.0568614104643914
325.0  808.1  5469.0  0.06024400385100579
350.0  838.6  5512.0  0.06362688111168109
375.0  868.0  5548.0  0.0669495332321294
400.0  896.5  5579.0  0.07020826162211966
450.0  950.9  5627.0  0.07682571184180464
500.0  1060.0  5661.0  0.08316976614130883
550.0  1158.0  5683.0  0.08957393594121003
600.0  1231.0  5697.0  0.0957958767379891
650.0  1285.0  5704.0  0.10202759430663845
700.0  1328.0  5704.0  0.10816052884486096
800.0  1393.0  5693.0  0.12047119987781313
900.0  1445.0  5668.0  0.13278501421470723
1000.0  1490.0  5635.0  0.1451011716010591
1100.0  1532.0  5595.0  0.1573723609786674
1200.0  1572.0  5551.0  0.1697293139089415
1300.0  1612.0  5504.0  0.18208827529525343
1400.0  1652.0  5455.0  0.19451843100333707
1500.0  1693.0  5404.0  0.20695047716784806
1600.0  1735.0  5353.0  0.21947658189428776
1700.0  1777.0  5302.0  0.23197355452723487
1800.0  1820.0  5250.0  0.24459523707545902
2000.0  1906.0  5148.0  0.26985294143292193
2250.0  2015.0  5023.0  0.3015754631928798
2500.0  2124.0  4902.0  0.33350338828863496
2750.0  2231.0  4787.0  0.36550214773650785
3000.0  2335.0  4676.0  0.397571389815716
3250.0  2437.0  4571.0  0.4297761510367927
3500.0  2534.0  4470.0  0.46203175215562836
3750.0  2628.0  4374.0  0.4943789740674658
4000.0  2718.0  4283.0  0.5267774197894212
4500.0  2887.0  4113.0  0.5917894473543779
5000.0  3041.0  3957.0  0.6569756540390215
5500.0  3181.0  3815.0  0.7223574046135335
6000.0  3308.0  3684.0  0.787828953517196
6500.0  3425.0  3564.0  0.8534991212649254
7000.0  3532.0  3452.0  0.9193759242007593
8000.0  3723.0  3252.0  1.0504423925185045
9000.0  3890.0  3078.0  1.1842906104499857
10000.0  4041.0  2924.0  1.3179525977818778
11000.0  4180.0  2787.0  1.4514045783309353
12000.0  4311.0  2665.0  1.5846704704764332
13000.0  4438.0  2555.0  1.7177693238616178
14000.0  4562.0  2455.0  1.8506889663041708
15000.0  4687.0  2363.0  1.9834658807249497
16000.0  4812.0  2280.0  2.11608429179936
17000.0  4940.0  2203.0  2.248549243401176
18000.0  5070.0  2132.0  2.3808597711751105
20000.0  5341.0  2004.0  2.6451412760002064
22500.0  5702.0  1868.0  2.960138674116468
25000.0  6088.0  1751.0  3.26448342008349
27500.0  6498.0  1651.0  3.5679698681463106
30000.0  6928.0  1562.0  3.851195156052209
